# r	p	err_p
2.653698381176470722e+00 9.019082756775134158e-01 6.013499112913347567e-04
3.519749892994607610e+00 8.996701392116214224e-01 1.405695490878167099e-03
4.322691824184581755e+00 9.016902631882116603e-01 3.652331899727257196e-04
4.975988088531915210e+00 8.989610522614260857e-01 6.116268462532062789e-04
5.584405782753156799e+00 8.985826927795217411e-01 5.839827405543797888e-04
6.104981480314951803e+00 9.009042584177109347e-01 7.659064549296665378e-04
6.605821287803802733e+00 9.006462976972432477e-01 2.916995205151885415e-04
7.427543579080572833e+00 8.984626799176174128e-01 2.826885028709513292e-04
7.908410931594061388e+00 8.989087797018184833e-01 8.650785686053169381e-04
8.289810432760399195e+00 8.996939411550105570e-01 5.941093465199636563e-04
8.619612607438075003e+00 8.990383403920896299e-01 4.627776875952299847e-04
9.009221434463473344e+00 8.988363952176847693e-01 3.078541389624330697e-04
9.656809037715090582e+00 9.002284969388190117e-01 5.352989618025633979e-04
