# r	p	err_p
2.662839762904640306e+00 9.755473050825758108e-02 1.403090052169072731e-03
3.519399610274570822e+00 9.639685792349726723e-02 1.978170683613087160e-03
4.343558951120601641e+00 9.987209550202515163e-02 9.979971395662114858e-04
4.993063828361401946e+00 9.918524871355059724e-02 1.412829804528385313e-03
5.587095616680723076e+00 1.014118199876118676e-01 1.003066036665088440e-03
6.126295368857743284e+00 1.002687484003071394e-01 1.730903129543705406e-03
6.615991477325652959e+00 1.009660130299431940e-01 7.090515533626322309e-04
7.054126388511011925e+00 1.117398648648648685e-01 2.045139792742405212e-03
7.497157482199592771e+00 9.878908316296625136e-02 8.148908713568403864e-04
7.893676145864580995e+00 1.014189597170706419e-01 1.007907839022288438e-03
8.283524249413005691e+00 9.933395554047175224e-02 9.940691362758432431e-04
8.640599375586136333e+00 1.015524079320113265e-01 1.033614102872613830e-03
9.012740163549290529e+00 9.984864054211681217e-02 5.695227913683545678e-04
9.670873320835331910e+00 9.864668140400065233e-02 7.074445893284918210e-04
