# r	p	err_p
nan 9.999799988873113721e-01 1.027475795270063200e-05
3.525026649769575915e+00 8.499339031872091832e-01 1.228202843030068783e-03
4.327740189345829158e+00 9.194509592054037617e-01 5.239011941584103887e-04
4.982350743021348727e+00 8.946730534928730716e-01 6.659728004463011733e-04
5.588497452704476842e+00 9.099252911034234614e-01 4.332630272331991776e-04
6.114015743806375802e+00 8.954360931504719012e-01 9.384648411084760191e-04
6.608071903434189487e+00 9.037778864421058822e-01 2.965756265788080837e-04
7.062373408251854556e+00 9.047138692944629579e-01 6.115971623475522506e-04
7.482853168214169237e+00 9.091548283046496648e-01 2.108780858760899942e-04
7.911917928571460479e+00 9.089374848070870261e-01 3.103130329739819926e-04
8.289336037012210667e+00 9.086142383249309340e-01 4.837093867112554927e-04
8.643536546370601314e+00 9.081674641705501649e-01 6.790191438607126205e-04
9.011808562267694001e+00 9.077296729393756758e-01 2.855586598200846840e-04
9.670194055459814919e+00 9.068716495148666512e-01 2.575098770525403521e-04
