# r	p	err_p
2.527973141636736365e+00 1.688753401189156400e-01 0.000000000000000000e+00
3.580374568948612612e+00 2.008294138471653223e-01 0.000000000000000000e+00
4.381365262051171605e+00 2.328207470564352399e-01 0.000000000000000000e+00
5.049288552713457889e+00 2.809183231947873227e-01 0.000000000000000000e+00
5.654817615274851050e+00 3.098970967494829032e-01 0.000000000000000000e+00
6.171555470072429550e+00 3.193149455779659140e-01 0.000000000000000000e+00
6.697462433302414198e+00 3.211829348764022041e-01 0.000000000000000000e+00
7.150238441498681929e+00 3.338224935430852414e-01 0.000000000000000000e+00
7.576911673435858141e+00 3.533991835911908241e-01 0.000000000000000000e+00
8.002797488811502546e+00 3.471799132280993239e-01 0.000000000000000000e+00
8.381235758000601166e+00 3.356073211314475890e-01 0.000000000000000000e+00
8.729764720701419733e+00 3.540278619018776274e-01 0.000000000000000000e+00
9.111110904734079696e+00 3.659055857305706372e-01 0.000000000000000000e+00
9.831375290603505235e+00 3.554289640168322162e-01 0.000000000000000000e+00
1.039271781277662221e+01 3.496319864017476964e-01 0.000000000000000000e+00
1.098696779551344171e+01 3.502232476080613388e-01 0.000000000000000000e+00
1.159277165881906591e+01 3.491348115007566477e-01 0.000000000000000000e+00
1.211726409917785574e+01 3.415060408804235226e-01 0.000000000000000000e+00
1.263602242602869730e+01 3.351268570706831262e-01 0.000000000000000000e+00
1.323287552225243147e+01 3.317435455201421801e-01 0.000000000000000000e+00
1.407139823066171935e+01 3.226223830959097372e-01 0.000000000000000000e+00
1.468504468765997117e+01 3.222133034177288580e-01 0.000000000000000000e+00
1.535467057611664465e+01 3.239901896081843202e-01 0.000000000000000000e+00
1.581681116729863668e+01 3.177793541945823641e-01 0.000000000000000000e+00
1.643457159202934292e+01 3.197164638223886635e-01 0.000000000000000000e+00
1.694490159227715509e+01 3.216092093305059074e-01 0.000000000000000000e+00
1.733525421405363787e+01 3.192582628388936916e-01 0.000000000000000000e+00
1.770999884603740071e+01 3.224773610682276637e-01 0.000000000000000000e+00
1.823628289818080717e+01 3.252036697373401064e-01 0.000000000000000000e+00
1.872048567680835163e+01 3.244710812294379076e-01 0.000000000000000000e+00
1.922797161760841433e+01 3.295435789391923942e-01 0.000000000000000000e+00
1.969316608572814431e+01 3.293548091846849046e-01 0.000000000000000000e+00
2.008398797461234864e+01 3.284297198019626163e-01 0.000000000000000000e+00
2.079060463317479091e+01 3.331421466867260373e-01 0.000000000000000000e+00
2.156746431403138331e+01 3.353387096961808478e-01 0.000000000000000000e+00
2.203855874051940589e+01 3.349582914275572310e-01 0.000000000000000000e+00
2.280112082718985889e+01 3.365151198780693687e-01 0.000000000000000000e+00
2.330153405404614730e+01 3.350492402592303853e-01 0.000000000000000000e+00
2.359278136721314567e+01 3.354806609579176202e-01 0.000000000000000000e+00
2.414308946411794210e+01 3.360955701961170772e-01 0.000000000000000000e+00
2.501602240325095394e+01 3.344114306388809021e-01 0.000000000000000000e+00
2.569905170465728972e+01 3.337813270165997381e-01 0.000000000000000000e+00
2.627120786263175489e+01 3.337533173992645041e-01 0.000000000000000000e+00
2.665893101500396867e+01 3.310088491303440628e-01 0.000000000000000000e+00
2.704883814893087290e+01 3.311238271397072275e-01 0.000000000000000000e+00
2.743240154335029146e+01 3.303558100685606846e-01 0.000000000000000000e+00
2.804335539145704814e+01 3.303850446582813905e-01 0.000000000000000000e+00
2.851742922310971551e+01 3.298980763018810602e-01 0.000000000000000000e+00
2.911327743468245544e+01 3.289008482859314686e-01 0.000000000000000000e+00
2.976830872824442409e+01 3.289265129919227704e-01 0.000000000000000000e+00
3.051811553176317560e+01 3.289182667940542815e-01 0.000000000000000000e+00
3.121505008567589101e+01 3.284830988798463913e-01 0.000000000000000000e+00
3.169705014740658910e+01 3.297719566018300630e-01 0.000000000000000000e+00
3.224873112893659055e+01 3.304353435844502584e-01 0.000000000000000000e+00
3.293649060676748519e+01 3.308716315801918384e-01 0.000000000000000000e+00
3.357276936867579309e+01 3.316583187532285981e-01 0.000000000000000000e+00
3.402692890854932273e+01 3.323039881419433961e-01 0.000000000000000000e+00
3.458757600359918172e+01 3.329979879275654087e-01 0.000000000000000000e+00
3.521542712179644496e+01 3.344420934044903815e-01 0.000000000000000000e+00
3.585896269881927623e+01 3.345824485562570172e-01 0.000000000000000000e+00
3.640624477705275552e+01 3.344483226303220369e-01 0.000000000000000000e+00
3.684721845700813248e+01 3.349491466361342318e-01 0.000000000000000000e+00
3.729232573026897057e+01 3.359410488635140579e-01 0.000000000000000000e+00
3.777853176274830105e+01 3.355413077740407868e-01 0.000000000000000000e+00
3.823197785145928407e+01 3.359837450532071612e-01 0.000000000000000000e+00
3.876852606824422054e+01 3.350360348006277689e-01 0.000000000000000000e+00
3.947074495791900262e+01 3.356749446361790290e-01 0.000000000000000000e+00
