# r	p	err_p
2.527973141636736365e+00 3.074369356907522555e-01 1.238871792326566666e-03
3.580374568948612612e+00 5.170116102978293826e-01 1.435356674579365286e-03
4.381365262051171605e+00 4.896413737210009165e-01 7.476622969754284729e-04
5.049288552713457889e+00 2.831934909738113570e-01 1.255387173087872330e-03
5.654817615274851050e+00 2.579690926709848342e-01 8.924745223962002793e-04
6.171555470072429550e+00 1.099163212637835341e-01 1.385828815783867298e-03
6.697462433302414198e+00 4.028508980328803779e-01 5.835795292953552434e-04
7.150238441498681929e+00 5.111045306485045847e-01 1.568474839284720104e-03
7.576911673435858141e+00 2.717882667878879777e-01 7.240306022379330983e-04
8.002797488811502546e+00 3.711240310077519311e-01 8.615072574097062518e-04
8.381235758000601166e+00 3.884574678346913723e-01 8.384702129129922637e-04
8.729764720701419733e+00 2.713680829318148580e-01 9.535967453036187568e-04
9.111110904734079696e+00 2.542872688155965455e-01 5.094555052392451015e-04
9.831375290603505235e+00 3.667789734245539002e-01 5.717272945751472168e-04
1.039271781277662221e+01 3.046916298359101383e-01 5.773041159084265749e-04
1.098696779551344171e+01 3.501907672964155172e-01 3.976708556065747181e-04
1.159277165881906591e+01 2.824310065886656007e-01 5.392370952825788384e-04
1.211726409917785574e+01 3.211810271113123005e-01 5.507012950424574910e-04
1.263602242602869730e+01 3.116419003602085014e-01 4.381669845545521223e-04
1.323287552225243147e+01 3.369659316596221310e-01 3.227016314782901220e-04
1.407139823066171935e+01 3.646391107184736025e-01 4.264343014876965194e-04
1.468504468765997117e+01 3.389819059107358479e-01 3.084795795805018222e-04
1.535467057611664465e+01 3.157906206811383898e-01 3.317325727419901749e-04
1.581681116729863668e+01 3.487775226259624550e-01 5.511365685899787328e-04
1.643457159202934292e+01 3.462994693971855331e-01 2.798663206013433046e-04
1.694490159227715509e+01 3.293549173462959612e-01 3.799109166285784462e-04
1.733525421405363787e+01 3.516696911885595633e-01 4.250786780888057121e-04
1.770999884603740071e+01 3.410884142242538442e-01 3.521111420933163380e-04
1.823628289818080717e+01 3.317628227552819054e-01 3.190357039638903381e-04
1.872048567680835163e+01 3.320819570879991467e-01 3.267170532107274055e-04
1.922797161760841433e+01 3.358195697470566787e-01 2.859644967884965045e-04
1.969316608572814431e+01 3.259016520592569743e-01 3.411277962988686833e-04
2.008398797461234864e+01 3.402712889168073573e-01 3.405408477117804534e-04
2.079060463317479091e+01 3.318943574781936245e-01 2.040720056597675972e-04
2.156746431403138331e+01 3.294426362802687636e-01 2.627930152136606157e-04
2.203855874051940589e+01 3.290654727014639680e-01 2.653423049042669905e-04
2.280112082718985889e+01 3.289090299941810347e-01 2.054221440849312685e-04
2.330153405404614730e+01 3.301744502998364417e-01 3.295043919801692923e-04
2.359278136721314567e+01 3.320246140607265306e-01 3.325472637836560368e-04
2.414308946411794210e+01 3.301158301158301223e-01 1.962179340821413286e-04
2.501602240325095394e+01 3.298257870919628076e-01 1.876404128797466535e-04
2.569905170465728972e+01 3.310312250253031885e-01 2.005603893562718780e-04
2.627120786263175489e+01 3.299070477596664497e-01 2.503442503598653267e-04
2.665893101500396867e+01 3.339357677864052132e-01 3.195782554034784181e-04
2.704883814893087290e+01 3.346624574181604750e-01 2.180997996244278428e-04
2.743240154335029146e+01 3.341673173315407586e-01 2.369937053132966038e-04
2.804335539145704814e+01 3.331092994383228478e-01 1.808423370406665493e-04
2.851742922310971551e+01 3.343412223765064861e-01 3.191170760596475676e-04
2.911327743468245544e+01 3.336891579829460164e-01 1.542616535383935607e-04
2.976830872824442409e+01 3.371514054545004524e-01 1.965463943041927293e-04
3.051811553176317560e+01 3.351229734655934989e-01 1.535336895121877925e-04
3.121505008567589101e+01 3.361058623251569344e-01 1.863497994923867776e-04
3.169705014740658910e+01 3.350727881865638302e-01 1.923397251862013480e-04
3.224873112893659055e+01 3.346692351845346747e-01 1.788417952667257138e-04
3.293649060676748519e+01 3.351028659787044228e-01 1.489112355043225298e-04
3.357276936867579309e+01 3.353297191308441394e-01 1.789959116472054153e-04
3.402692890854932273e+01 3.355924724188557029e-01 1.943340716365768515e-04
3.458757600359918172e+01 3.343913021322150736e-01 1.544810285830957566e-04
3.521542712179644496e+01 3.336559381440341032e-01 1.687072366564253416e-04
3.585896269881927623e+01 3.340591988664112222e-01 1.350560535824291998e-04
3.640624477705275552e+01 3.344173138713790183e-01 2.148958852669824904e-04
3.684721845700813248e+01 3.341037181587454552e-01 1.680295087608374004e-04
3.729232573026897057e+01 3.341755178534868698e-01 1.829206224131566764e-04
3.777853176274830105e+01 3.343113873047645068e-01 1.578536250307206561e-04
3.823197785145928407e+01 3.341175055458787124e-01 1.659025687916848655e-04
3.876852606824422054e+01 3.337711350565847335e-01 1.580563407607252799e-04
3.947074495791900262e+01 3.346548469358516242e-01 1.204145521470750938e-04
