# r	stdNi	stdCo	stdCr
5.334264270796764151e+01 8.492527289902136733e-03 7.430258132182205634e-03 7.710971408290482644e-03
3.556176180531176101e+01 1.235271608238079633e-02 1.081633303840092569e-02 1.166083105745622725e-02
2.667132135398382076e+01 1.545262282366462875e-02 1.625932265847721339e-02 1.434701959772810564e-02
2.133705708318705518e+01 2.110341196488987880e-02 2.094898662865015554e-02 2.049999042348224845e-02
1.778088090265588050e+01 2.697761537797182044e-02 2.700616939698374797e-02 2.592791614023071123e-02
1.524075505941932640e+01 3.199029703191343110e-02 3.281476067837023336e-02 3.182646043620214471e-02
1.333566067699191038e+01 3.751277377044550526e-02 3.908816172847065507e-02 3.736133873169245750e-02
1.185392060177058760e+01 4.513792775735334106e-02 4.409639269300745512e-02 4.306050148506685576e-02
1.066852854159352759e+01 5.204382858990247440e-02 5.324503063421311133e-02 5.041166357096299455e-02
9.698662310539571507e+00 5.911558036764415908e-02 5.686685328199787837e-02 5.403838463772455553e-02
8.206560416610406250e+00 7.382521482082703146e-02 7.410518735040268201e-02 7.192995002780466773e-02
7.620377529709663200e+00 8.270258836753544007e-02 7.953855092181390252e-02 7.564894076084253960e-02
6.667830338495955189e+00 1.023900493230352204e-01 9.986375535001577874e-02 1.002330311659580392e-01
5.926960300885293798e+00 1.201473646003040491e-01 1.186869474921490031e-01 1.148712141732092101e-01
5.334264270796763796e+00 1.486629850180758161e-01 1.368751454797171030e-01 1.371899873261075153e-01
4.638490670258056170e+00 1.748694056095089766e-01 1.663862540849858629e-01 1.680625993963365539e-01
4.103280208305203125e+00 2.035655875860520603e-01 1.929478299993458990e-01 2.008160213357704504e-01
3.678802945377078526e+00 2.582992259440576310e-01 2.379940715362052761e-01 2.397400869031985071e-01
3.333915169247977595e+00 3.215966137017683968e-01 3.159365652530407576e-01 3.092652887400142991e-01
