# r	p	err_p
2.127659574468085124e-01 nan nan
6.382978723404255650e-01 nan nan
1.063829787234042534e+00 nan nan
1.489361702127659726e+00 nan nan
1.914893617021276473e+00 nan nan
2.340425531914893664e+00 3.254577672770230246e-01 1.651662831162014136e-03
2.765957446808510412e+00 3.574726609963547741e-01 1.873920602921639320e-03
3.191489361702127603e+00 3.311061618411284546e-01 6.656733292026641331e-03
3.617021276595744794e+00 3.409376069350975036e-01 1.834831137810342440e-03
4.042553191489361986e+00 3.396536007292615955e-01 2.321459424663152842e-03
4.468085106382979177e+00 3.382990988804271959e-01 9.477720775961103556e-04
4.893617021276595480e+00 3.469075906329984194e-01 1.496238463943256637e-03
5.319148936170213560e+00 3.333981337480559914e-01 1.521489749528817052e-03
5.744680851063829863e+00 3.390717510505678600e-01 9.613412177509347931e-04
6.170212765957446166e+00 3.358262391598376695e-01 1.536924788014338954e-03
6.595744680851064246e+00 3.393711525274860641e-01 6.750102283466248966e-04
7.021276595744680549e+00 3.297165125697256727e-01 1.233916213596387805e-03
7.446808510638298628e+00 3.380354108915317735e-01 8.136689326929814718e-04
7.872340425531914931e+00 3.357506643046944128e-01 8.108573986786051088e-04
8.297872340425531235e+00 3.370718793580258499e-01 8.371251794402679615e-04
8.723404255319149314e+00 3.369247607667513744e-01 7.716888457549219088e-04
9.148936170212767394e+00 3.384635696637054436e-01 5.283466120223945283e-04
9.574468085106381920e+00 3.348086530533055383e-01 8.490295416556862922e-04
1.000000000000000000e+01 3.369346034836421810e-01 7.179569258173181629e-04
1.042553191489361808e+01 3.359354610463801127e-01 5.868047986569106941e-04
1.085106382978723438e+01 3.362071598420559027e-01 5.088878593100765136e-04
1.127659574468085069e+01 3.370396702785632970e-01 5.630162099442423884e-04
1.170212765957446877e+01 3.352850756888582362e-01 5.680838372126685923e-04
1.212765957446808507e+01 3.375430408924048886e-01 5.807678429599236972e-04
1.255319148936170137e+01 3.369840221941530212e-01 4.757078801917466546e-04
1.297872340425531945e+01 3.366593825982580057e-01 4.272990031499221799e-04
1.340425531914893753e+01 3.357955017013860011e-01 4.628988165310485574e-04
1.382978723404255206e+01 3.370536506846882885e-01 5.923737522679871489e-04
1.425531914893617014e+01 3.365320226508812795e-01 4.391706198265766864e-04
1.468085106382978822e+01 3.372605788351175082e-01 3.907701111405834722e-04
1.510638297872340452e+01 3.372732029471243176e-01 4.094746321306714327e-04
1.553191489361702082e+01 3.356388806147228565e-01 3.872006767931350231e-04
1.595744680851063890e+01 3.378591137156988222e-01 4.853196923435467033e-04
1.638297872340425698e+01 3.380465993029831417e-01 3.603107127009376790e-04
1.680851063829787151e+01 3.376113942500513776e-01 3.404942703911619309e-04
1.723404255319148959e+01 3.363724336601299214e-01 3.842202217017136323e-04
1.765957446808510767e+01 3.372494599889486189e-01 3.522564823021486413e-04
1.808510638297872219e+01 3.364876965841464007e-01 3.719770687382643274e-04
1.851063829787234027e+01 3.369126897747606320e-01 3.307616838497991619e-04
1.893617021276595835e+01 3.366167283760819195e-01 3.304983059035883548e-04
1.936170212765957643e+01 3.367240222245689862e-01 3.178646097308483352e-04
1.978723404255319096e+01 3.353122745603557275e-01 3.168250586466875665e-04
