# r	p	err_p
2.521817055319771406e+00 3.368686868686868729e-01 1.223810491567116961e-03
nan nan nan
3.560476718084330194e+00 3.316834183544623560e-01 1.735754997337969315e-03
4.353220718406744183e+00 3.353995707612675292e-01 8.660282817662870837e-04
5.022876504540795928e+00 3.376052172594221634e-01 1.223898845222622317e-03
5.617510080272212214e+00 3.347045388585345171e-01 8.661514247289335642e-04
6.152081399028703323e+00 3.372132961874594326e-01 1.504184053345246613e-03
6.645336068423076448e+00 3.346298611940204948e-01 6.112445480927508092e-04
7.103405414641976279e+00 3.350526658703442129e-01 1.796326036795913754e-03
7.533190576720723008e+00 3.317869672935268577e-01 7.041828538271304458e-04
7.944010495332374688e+00 3.326815178354612934e-01 8.726741764113527975e-04
8.328215066303357617e+00 3.319195392202381467e-01 8.650675027827488825e-04
8.686735092085216436e+00 3.333197206681096092e-01 9.003156449049720374e-04
9.051962229225095413e+00 3.337788378500637365e-01 4.947188993023567604e-04
9.737665583655735091e+00 3.339044151764999913e-01 5.949725917056424181e-04
1.004373025244330009e+01 3.290537084398976742e-01 1.749220600788405468e-03
1.034956511337904139e+01 3.317331204712945514e-01 5.790538708061506584e-04
1.063865848936812242e+01 3.352159709618874883e-01 9.288293651206632438e-04
1.098650700832811289e+01 3.327226794377024510e-01 4.297635450550225987e-04
1.154803940882310798e+01 3.335053885927363182e-01 5.146885617025962357e-04
1.203002770122110654e+01 3.339453356799058636e-01 5.493592853772447538e-04
1.256423813004102641e+01 3.326901279624165375e-01 4.255214215297147191e-04
1.316221849446514014e+01 3.327872429710448943e-01 3.162407210058692879e-04
1.398374143145110615e+01 3.321400825627979780e-01 4.261969210028557372e-04
1.449547492626636647e+01 3.322480542304795392e-01 3.460327053166050034e-04
1.487582970536561255e+01 3.329268446792109648e-01 6.135117421763358657e-04
1.526058553541055574e+01 3.320126852649131766e-01 3.240377858368835768e-04
1.570490216292108343e+01 3.329305475544814819e-01 5.282063910877409993e-04
1.633119802685879307e+01 3.339127818332149333e-01 2.742824960421923891e-04
1.683803882770806482e+01 3.325598904859685123e-01 3.687380254904473915e-04
1.722602632058578820e+01 3.323445974494063093e-01 4.139190926603000657e-04
1.759755972480930808e+01 3.329647205124933174e-01 3.473419364484619945e-04
1.812938706539070566e+01 3.343508852088025729e-01 3.019808152883413197e-04
1.860358233191827892e+01 3.334209584224716583e-01 3.208870096318514205e-04
1.911212660003902286e+01 3.337396520275010547e-01 2.730615132614744528e-04
1.958272201557442571e+01 3.320043500567241845e-01 3.282115927109762387e-04
