# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	
5.000000000000000000e-01 2.367299958000000117e+02 5.249956664999999703e+02 3.147908689999999510e+01 2.965463561999999911e+02 5.790819702000000007e+02 4.447861100000000079e+01 3.313686676499999635e+02 6.079970094000000245e+02 1.225601730499999888e+02 4.017195130000000063e+02 6.712578430500000195e+02 1.891814957499999537e+02 4.822606811999999650e+02 -1.443780822000007902e+01 2.621423340000000053e+02 5.363153075999998691e+02 3.825799940000000277e+01 3.225348510999999689e+02 5.966406555999999455e+02 1.120743389249999922e+02 3.941618500499999413e+02 6.720189818999999716e+02 1.779120178000000010e+02 4.731560059000000251e+02 -2.595263977000013256e+01 2.431803283999999792e+02 5.046463317999999276e+02 1.428020669999999903e+01 2.954743346999999289e+02 5.727606506499998886e+02 7.476641849999998612e+01 3.451639862499999367e+02 6.319753418000000238e+02
1.500000000000000000e+00 2.370638351500000454e+02 5.244033202999999048e+02 3.015409084999999578e+01 2.958438415499999792e+02 5.785240173499998946e+02 4.394734194999999488e+01 3.307498321500000316e+02 6.084053344999999808e+02 1.224973220999999910e+02 4.014244843000000174e+02 6.705751647999998113e+02 1.889379883000000291e+02 4.817586670000000595e+02 -1.506116027000007307e+01 2.616626587000000086e+02 5.367116698999998334e+02 3.821750639999999066e+01 3.224743346999998721e+02 5.966389770999999200e+02 1.107661591499999929e+02 3.939561768000000370e+02 6.715035095499998761e+02 1.785346755999999857e+02 4.737556763000000046e+02 -2.537897036999993361e+01 2.434741669000000002e+02 5.049848327500000096e+02 1.376788949999999900e+01 2.949086456500000395e+02 5.721206665500001236e+02 7.544335940000001983e+01 3.445414734000000294e+02 6.313498535500000344e+02
2.500000000000000000e+00 2.364606551999999624e+02 5.247373047000000952e+02 3.047807119999998804e+01 2.960616760000000340e+02 5.788213501000000178e+02 4.421700289999998290e+01 3.310166626000000178e+02 6.090156860499999993e+02 1.223624801499999819e+02 4.016333007999999154e+02 6.708239745999999286e+02 1.891709746999999879e+02 4.820369872999999643e+02 -1.474164127000005919e+01 2.619553223999998863e+02 5.373278197999998156e+02 3.805771260000000211e+01 3.223148346000000402e+02 5.964278259499999422e+02 1.110623245000000452e+02 3.942077025999999478e+02 6.718853149999999914e+02 1.785850067000000081e+02 4.744349975999998605e+02 -2.488031317000002218e+01 2.428508376999999427e+02 5.046883391999999731e+02 1.412193870000000118e+01 2.942995147999999972e+02 5.724343262000002142e+02 7.486613090000000170e+01 3.448526612000000569e+02 6.316906739000000925e+02
3.500000000000000000e+00 2.358973235999999361e+02 5.250641785000000255e+02 3.083530529999998748e+01 2.955808410500000036e+02 5.791223449500000697e+02 4.488091090000000349e+01 3.313470000999999456e+02 6.096403198000002703e+02 1.220524902999999881e+02 4.011756591999999273e+02 6.712276610999997501e+02 1.895643158000000312e+02 4.823306426999999985e+02 -1.442163387000005059e+01 2.622595062499999585e+02 5.370398254500000803e+02 3.868373109999998860e+01 3.220064849999998842e+02 5.970323486000002049e+02 1.116968345999999883e+02 3.945966796999998678e+02 6.722238159500000165e+02 1.780020141500000364e+02 4.747518463499999370e+02 -2.455780337000004465e+01 2.424681854000000385e+02 5.053156738000002406e+02 1.447514155000000358e+01 2.937251892000000453e+02 5.727628174499998295e+02 7.519840239999996356e+01 3.455264892999998665e+02 6.320263366999997743e+02
4.500000000000000000e+00 2.353716583000000355e+02 5.243930053999999927e+02 3.056430054999998447e+01 2.959083252000000357e+02 5.784560241499998483e+02 4.558080289999998058e+01 3.306977996999999050e+02 6.103173523000000387e+02 1.223536530000000084e+02 4.014893188999999438e+02 6.718259888000002320e+02 1.901778335499999457e+02 4.820231323499997416e+02 -1.503531187000004365e+01 2.619656829999998990e+02 5.373393554999997832e+02 3.926706412499999743e+01 3.223326720999998543e+02 5.973345032000001993e+02 1.113415031499998804e+02 3.948894958500000030e+02 6.716231689500002631e+02 1.773593520999999100e+02 4.740891723999998248e+02 -2.518097227000009752e+01 2.431326751999999942e+02 5.061975326249998943e+02 1.419252544999999799e+01 2.933583373999999822e+02 5.721543274000002839e+02 7.582517245000002504e+01 3.452098083999999290e+02 6.316974792500000149e+02
5.500000000000000000e+00 2.359606552500000589e+02 5.237218322999997326e+02 3.027110580000001505e+01 2.962095031499998186e+02 5.779376831999998103e+02 4.589811134999999354e+01 3.302043152000001101e+02 6.101766968000001725e+02 1.226711616499999877e+02 4.018065033000000312e+02 6.714986572500001785e+02 1.898928375499999675e+02 4.826286620999999286e+02 -1.567984312000004365e+01 2.618036803999998483e+02 5.377603149999999914e+02 3.904126739999998108e+01 3.226734924499999124e+02 5.968150024999995367e+02 1.107520142500000020e+02 3.942174835499999972e+02 6.709693298499996672e+02 1.770359955000000127e+02 4.734689942000002247e+02 -2.579330742000001919e+01 2.434360123000001295e+02 5.056691589500001101e+02 1.384977770000000419e+01 2.939739989999998215e+02 5.715885010000001785e+02 7.557241439999995691e+01 3.455443114999998215e+02 6.323433228000003510e+02
6.500000000000000000e+00 2.366036681999999018e+02 5.231310120000002826e+02 3.059237860000001774e+01 2.956399842000000717e+02 5.786168518499998754e+02 4.530118185000000608e+01 3.303885040499999377e+02 6.101616821999996318e+02 1.221339950999999928e+02 4.011325073500001963e+02 6.718043213000000833e+02 1.901969909999997981e+02 4.829313508000000184e+02 -1.616968077000012727e+01 2.616890106999999261e+02 5.383546752999995988e+02 3.933488469999997506e+01 3.221849975999998605e+02 5.974221802000001844e+02 1.110873489000000518e+02 3.935490265500000078e+02 6.702929992499998662e+02 1.777076569000000745e+02 4.728873139000002084e+02 -2.641113587000000962e+01 2.427863388000000668e+02 5.059599915999997393e+02 1.413540649999998777e+01 2.943583373999999822e+02 5.709725037000002885e+02 7.587313080000001264e+01 3.459599915999997393e+02 6.327616576999998870e+02
7.500000000000000000e+00 2.372620086500000980e+02 5.225301513499998691e+02 3.088431165000000078e+01 2.962923278499999924e+02 5.791839904999997088e+02 4.466965869999998517e+01 3.302308350000000701e+02 6.108163451999998870e+02 1.223393287999999757e+02 4.005018463500000507e+02 6.721446533499997713e+02 1.904973373499999525e+02 4.822906799500001398e+02 -1.554349062000000004e+01 2.622073364499999570e+02 5.389556886000000304e+02 3.974464799999998377e+01 3.227545013499998277e+02 5.979483337500000744e+02 1.114140205500000320e+02 3.929460296499996730e+02 6.696318359500005499e+02 1.780136566500000299e+02 4.722423096000002261e+02 -2.701098937000006117e+01 2.421016541500000585e+02 5.062516632000001664e+02 1.463046549999998547e+01 2.946129913499999020e+02 5.703216552500002763e+02 7.620942684999999983e+01 3.462280121000003419e+02 6.329278259499997148e+02
8.500000000000000000e+00 2.378846588000001248e+02 5.219034729999998490e+02 3.031298450000002731e+01 2.969196778000000450e+02 5.785423279000001457e+02 4.406063654999996970e+01 3.308526611999996021e+02 6.113923034999997981e+02 1.216793250999999145e+02 3.998906707999994978e+02 6.716146850999994058e+02 1.899161530000001221e+02 4.817030029999996259e+02 -1.494232477000014114e+01 2.616690063999999438e+02 5.393723755000000892e+02 4.038655855000001793e+01 3.233883361999996850e+02 5.973986816999995426e+02 1.108896789999998873e+02 3.923059997499999554e+02 6.690296631500004878e+02 1.775010071000001517e+02 4.716683044999999765e+02 -2.763632506999999805e+01 2.415743102999999792e+02 5.056809997999998814e+02 1.524115894999999909e+01 2.944199981500000831e+02 5.697743530999996437e+02 7.570645909999996093e+01 3.459881592000001547e+02 6.326711731499999587e+02
9.500000000000000000e+00 2.383326569000000745e+02 5.213876342999992630e+02 3.076300240000000485e+01 2.973123169000000416e+02 5.778893432999993820e+02 4.360224149999999099e+01 3.312826843000002555e+02 6.119899902000006477e+02 1.213476791999999023e+02 3.993983459999999468e+02 6.720196532999998453e+02 1.894699860000000626e+02 4.813679809499999465e+02 -1.429330752000004168e+01 2.621000060999999732e+02 5.400610046500000863e+02 4.089681434999999965e+01 3.238303223000002617e+02 5.970545044000000416e+02 1.110613289000000350e+02 3.918133239999997386e+02 6.684966430999993463e+02 1.779316863999997622e+02 4.721046447999997326e+02 -2.820331117000012000e+01 2.420083313000000089e+02 5.061323242000007667e+02 1.572652965000000336e+01 2.949449921000000359e+02 5.702233276000006299e+02 7.608962249999990490e+01 3.465201721499997802e+02 6.332731628499996077e+02
1.050000000000000000e+01 2.378113404000000628e+02 5.217443237999996200e+02 3.024643515000002481e+01 2.979488220500002171e+02 5.773493651999997383e+02 4.401362989999995534e+01 3.307598267000003034e+02 6.123959961000000476e+02 1.207668419500000709e+02 3.989038391499998397e+02 6.714855041500004518e+02 1.890051651000001129e+02 4.807143402500000775e+02 -1.365033267000001160e+01 2.626920013500000550e+02 5.397798461999996107e+02 4.033255010000004859e+01 3.243868256000000656e+02 5.963610229500000059e+02 1.105596618999998100e+02 3.914031677500001933e+02 6.689210206000007020e+02 1.774211731000000327e+02 4.715639800999997533e+02 -2.778131407000012132e+01 2.414678344999999808e+02 5.056108398500000476e+02 1.523493769999998904e+01 2.943993225000003804e+02 5.696908569499992154e+02 7.552775574999998298e+01 3.459963379999999233e+02 6.326900024999995367e+02
1.150000000000000000e+01 2.383385009999999511e+02 5.212396545499996137e+02 3.077969359999997323e+01 2.986153260000000955e+02 5.777529907000007370e+02 4.457456204999999727e+01 3.313703307999999197e+02 6.118330078500002855e+02 1.200916595500000312e+02 3.974259491249999883e+02 6.720020141499999227e+02 1.891873322000001281e+02 4.809030151999995724e+02 -1.321600647000013851e+01 2.625091705499999080e+02 5.391818237499992392e+02 4.075316620000000967e+01 3.242229919500000506e+02 5.965839844000001904e+02 1.100683250999998108e+02 3.916473389000002499e+02 6.696074829499993939e+02 1.779259948999999779e+02 4.720726623999998992e+02 -2.710461731999998847e+01 2.421715494999998555e+02 5.061431580500002383e+02 1.564098360000002685e+01 2.940494842499997503e+02 5.690706787500002974e+02 7.602938464999999724e+01 3.464509888000002320e+02 6.323026733500000773e+02
1.250000000000000000e+01 2.389463195999996969e+02 5.206213073999997505e+02 3.054730035000000044e+01 2.980943298499996672e+02 5.772126464999992095e+02 4.514614110000002256e+01 3.311363067500001307e+02 6.111186726666674076e+02 1.194623337000000447e+02 3.954995422666664240e+02 6.717619933999994828e+02 1.897913208999998460e+02 4.814940033000002586e+02 -1.374380797000009125e+01 2.626940002999999706e+02 5.386883545000000595e+02 4.024514959999999064e+01 3.234788361000000805e+02 5.960644836500005113e+02 1.094481620999999905e+02 3.922601623499999732e+02 6.693068237500001487e+02 1.776816559000001234e+02 4.718166656500006866e+02 -2.648163147000013851e+01 2.427397206666664715e+02 5.058993377999995573e+02 1.508063224999997942e+01 2.942453308000003744e+02 5.695574951499993404e+02 7.664850619999992887e+01 3.470911559999999554e+02 6.315896911999998338e+02
