# z	h(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 4.973650972030088740e-17
1.000000000000000000e+00 9.760281649814221971e-01 4.856832655825280530e-03
2.000000000000000000e+00 9.442122826669966384e-01 1.084734076783900290e-02
3.000000000000000000e+00 9.174273088962209277e-01 1.513185650207339930e-02
4.000000000000000000e+00 8.925892987507394460e-01 1.826663000688214661e-02
5.000000000000000000e+00 8.602544867624893898e-01 2.248490757287465933e-02
6.000000000000000000e+00 8.274301996901316514e-01 2.647604042981521744e-02
7.000000000000000000e+00 7.958768311755128888e-01 2.992964390919491610e-02
8.000000000000000000e+00 7.626025316501159335e-01 3.336279562566136364e-02
9.000000000000000000e+00 7.267495201971287955e-01 3.664792595108697787e-02
1.000000000000000000e+01 6.857947763656665474e-01 4.049981830054485976e-02
1.100000000000000000e+01 6.464043443956438706e-01 4.367696675754365737e-02
1.200000000000000000e+01 6.033157167517397834e-01 4.718927172833010941e-02
1.300000000000000000e+01 5.644646385034335356e-01 4.911344532766464405e-02
1.400000000000000000e+01 5.233141403995483776e-01 5.113086087653406775e-02
1.500000000000000000e+01 4.860847475066036871e-01 5.202539632893785071e-02
1.600000000000000000e+01 4.478171235323430976e-01 5.294358836622675007e-02
1.700000000000000000e+01 4.098981308854207084e-01 5.331576920189649155e-02
1.800000000000000000e+01 3.696948766995598046e-01 5.379355428660282518e-02
1.900000000000000000e+01 3.315194586879023908e-01 5.346960219083646271e-02
2.000000000000000000e+01 2.942876311302011771e-01 5.265014491278316444e-02
2.100000000000000000e+01 2.520317627220935996e-01 5.279514719655025584e-02
2.200000000000000000e+01 2.089114660877302021e-01 5.305736716491399330e-02
2.300000000000000000e+01 1.644098216907244614e-01 5.350439269854193741e-02
2.400000000000000000e+01 1.242966528759867906e-01 5.302649614483991025e-02
2.500000000000000000e+01 8.062844407646718725e-02 5.345534392736116247e-02
2.600000000000000000e+01 4.197453023902508740e-02 5.299413306039080229e-02
2.700000000000000000e+01 8.054979466907108768e-03 5.130413209914611028e-02
2.800000000000000000e+01 -2.184067736489489139e-02 4.884565875446612165e-02
2.900000000000000000e+01 -5.825018322573080609e-02 4.767398692846082364e-02
3.000000000000000000e+01 -9.261992331904442266e-02 4.638201559741028657e-02
3.100000000000000000e+01 -1.200149987440292804e-01 4.400543408295128772e-02
3.200000000000000000e+01 -1.425398070491440128e-01 4.097735251420104446e-02
3.300000000000000000e+01 -1.694254432996851467e-01 3.917437723059488675e-02
3.400000000000000000e+01 -2.007389804177284465e-01 3.816457299687594368e-02
3.500000000000000000e+01 -2.261779880580913338e-01 3.568596985010391576e-02
3.600000000000000000e+01 -2.505154909929679929e-01 3.339772858676482575e-02
3.700000000000000000e+01 -2.757271899141828242e-01 3.229903317334707064e-02
3.800000000000000000e+01 -3.035313957676051277e-01 3.093185744465909437e-02
3.900000000000000000e+01 -3.282399265748512929e-01 2.935132994296181172e-02
4.000000000000000000e+01 -3.528000143170629821e-01 2.705767816983181695e-02
4.100000000000000000e+01 -3.731762534493444083e-01 2.545851431544661134e-02
4.200000000000000000e+01 -3.919939795600114740e-01 2.453167732883093297e-02
4.300000000000000000e+01 -4.101184707163779697e-01 2.425622568478620622e-02
4.400000000000000000e+01 -4.275432061429361719e-01 2.443552418644769075e-02
4.500000000000000000e+01 -4.424455822744945421e-01 2.592915105150742777e-02
4.600000000000000000e+01 -4.585469743955913335e-01 2.838294178792369338e-02
4.700000000000000000e+01 -4.729326664643499489e-01 3.205796464402633356e-02
4.800000000000000000e+01 -4.809902591716900266e-01 3.747859691383409464e-02
4.900000000000000000e+01 -4.892001104774870157e-01 4.297382199128528535e-02
5.000000000000000000e+01 -4.968190257001701693e-01 4.845376642898635566e-02
5.100000000000000000e+01 -5.020941028048436783e-01 5.440163947245164194e-02
5.200000000000000000e+01 -5.027523120202475049e-01 6.119544255110492131e-02
5.300000000000000000e+01 -5.043121919115147733e-01 6.742040908079696693e-02
5.400000000000000000e+01 -5.039333962019058033e-01 7.345151006681688299e-02
5.500000000000000000e+01 -5.049678463317572863e-01 7.906119999012993504e-02
5.600000000000000000e+01 -5.057970218925141870e-01 8.406191573778896975e-02
5.700000000000000000e+01 -5.112600779765786863e-01 8.708761745607801474e-02
5.800000000000000000e+01 -5.190633309492990177e-01 8.866484304673709349e-02
5.900000000000000000e+01 -5.241958536744133479e-01 9.029454228890688994e-02
6.000000000000000000e+01 -5.256570545165103470e-01 9.251207843912553908e-02
6.100000000000000000e+01 -5.272388898750774988e-01 9.435361781951710769e-02
6.200000000000000000e+01 -5.286732585805293816e-01 9.606241751314548161e-02
6.300000000000000000e+01 -5.251375760117628078e-01 9.829601464930444454e-02
6.400000000000000000e+01 -5.183524131617777142e-01 1.007152541744809754e-01
