# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	vx_32	
0.000000000000000000e+00 1.000000000000000222e+00 9.999999999999998890e-01 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000444e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000222e+00 1.000000000000000222e+00 9.999999999999998890e-01 1.000000000000000222e+00 9.999999999999998890e-01 1.000000000000000222e+00 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000222e+00 1.000000000000000222e+00 nan
1.000000000000000000e+00 9.929240861010352193e-01 9.973332421869984810e-01 9.959915707759599002e-01 9.949420294210167270e-01 8.449585461985607004e-01 9.936542114120698876e-01 9.285427725875731175e-01 5.261046237369423340e-01 9.710501879118682567e-01 9.558465868442270752e-01 9.946365336673129720e-01 8.401323472601339715e-01 7.896325084815671858e-01 8.500491250230810536e-01 7.734515988721141211e-01 9.948963957210874565e-01 8.414354580242321413e-01 9.943659216683452540e-01 7.454058122441460377e-01 8.407577806136059539e-01 8.456785888990844269e-01 6.631236140878133956e-01 9.939319943054585327e-01 9.938650921239197134e-01 6.506342993935226859e-01 8.779775613337508222e-01 9.949915494970514862e-01 9.940576511215185596e-01 6.674702265235947785e-01 8.298515934322733267e-01 9.058064531349995230e-01 9.254146104150198227e-01 nan
2.000000000000000000e+00 9.783933105049901213e-01 9.915324511350819270e-01 9.888896606288868352e-01 9.865013615182673945e-01 6.096278816193283490e-01 9.832213319740871205e-01 8.420961798777779617e-01 1.432025397689842550e-01 9.334389411820434024e-01 9.072688048033520358e-01 9.860236545852314460e-01 6.206132327748354882e-01 5.865152189482888412e-01 6.560612970024096713e-01 4.723761446586901003e-01 9.858718924280319706e-01 6.470981650871083790e-01 9.850287368432867341e-01 4.095075392720023411e-01 6.036052528849809029e-01 6.256651485955081471e-01 3.116913114191307010e-01 9.844687960068859711e-01 9.833090933736290395e-01 1.875931215029190413e-01 7.479006068483036174e-01 9.866126816098279573e-01 9.849968836105885694e-01 2.517123419533179862e-01 5.942143370641942424e-01 7.658682353144521393e-01 8.239524787344303380e-01 nan
3.000000000000000000e+00 9.609408654595245070e-01 9.830586005394609250e-01 9.794508219631774537e-01 9.753778008334366145e-01 4.673872224095080852e-01 9.711402997262925663e-01 7.840947685261934197e-01 1.690529279640138327e-01 9.064519434497598782e-01 8.856023495848436289e-01 9.742627302229698305e-01 4.633457990751135291e-01 5.554675259080676941e-01 5.075994335699355320e-01 2.820932593718256665e-01 9.750865986623000747e-01 5.065526522182091096e-01 9.736874106397298556e-01 3.084005083237409961e-01 4.179021575147605638e-01 4.209249252924222584e-01 1.751477804185795906e-01 9.725209802681804572e-01 9.704179329137245791e-01 -3.252496610130005406e-02 6.792473315753267959e-01 9.756378343964647870e-01 9.736786613959169667e-01 1.511939689523354169e-01 4.056743616576096167e-01 6.343515213373782657e-01 7.446247443847670011e-01 nan
4.000000000000000000e+00 9.400883923911236284e-01 9.721164626933458397e-01 9.673363415095086459e-01 9.634724853584082371e-01 4.118067435053796577e-01 9.598054052424196403e-01 7.350036086919445877e-01 1.902129841815689004e-01 8.667539574926784729e-01 8.459346313102298343e-01 9.608564508676977756e-01 3.445841655501774015e-01 5.559386877734784349e-01 3.632268332576377157e-01 2.293520564335909673e-01 9.628208792482697564e-01 4.127774262753488022e-01 9.616536288883136274e-01 3.007837838364669780e-01 2.692647028919595287e-01 2.306886954116288968e-01 1.111064533844741131e-01 9.593939166999457813e-01 9.564171677328029419e-01 -2.441427088301811182e-02 6.304290103152494495e-01 9.626925238006386332e-01 9.611413110201425525e-01 1.868115100658906125e-01 2.506564617389953620e-01 5.306563931827745773e-01 6.817625505418785092e-01 nan
5.000000000000000000e+00 9.162652726671874914e-01 9.590434714907940528e-01 9.521449729018433006e-01 9.487109657605693469e-01 3.761712266715291353e-01 9.446308284482601847e-01 6.937827548192507798e-01 1.649191483560566718e-01 8.162451389446476746e-01 7.989470361423828271e-01 9.441299162843148629e-01 3.044639765829935119e-01 5.110092231349859793e-01 2.454768057413782845e-01 2.040324679004389963e-01 9.468608423171551713e-01 3.029734318178031738e-01 9.460755575332741030e-01 2.445350090135033350e-01 1.570513563959804737e-01 8.581643385570371374e-02 6.097040734897928027e-02 9.419205295466623884e-01 9.384043132908377327e-01 4.117162858232523842e-02 5.769696400843969952e-01 9.468025977139137295e-01 9.449914314975739194e-01 1.596113055960983740e-01 1.305029485939706024e-01 4.533468923299817099e-01 6.291154928325956019e-01 nan
6.000000000000000000e+00 8.917646030806547497e-01 9.437620909094427413e-01 9.343067694620772468e-01 9.321810776615283567e-01 3.831880765986235282e-01 9.260374216305936601e-01 6.486556398015098646e-01 6.066526232281012343e-02 7.644954869743590953e-01 7.636318750566039038e-01 9.257830032883976878e-01 3.408604764350919303e-01 4.242880296076643187e-01 1.526556437667447308e-01 1.523140158623944584e-01 9.285374172795761716e-01 2.064610741898074142e-01 9.283930027433329180e-01 2.136351297023887097e-01 1.024134298396031650e-01 -1.241232455953905460e-02 3.265076630931279013e-04 9.220744389355691739e-01 9.177939463472137849e-01 6.816846487862478210e-02 5.507776731447913132e-01 9.292668761532452137e-01 9.270169761148350229e-01 3.298889471760295487e-03 5.648754317098390182e-02 3.906931800358946494e-01 5.827330820865606054e-01 nan
7.000000000000000000e+00 8.674684139101164204e-01 9.264995800578572638e-01 9.140241688080222859e-01 9.133645178956172339e-01 4.109330695939522049e-01 9.043062587138235298e-01 6.039475880749690662e-01 1.458813772797946939e-02 7.118020720532688417e-01 7.337403961597644964e-01 9.056240545121839736e-01 3.846995617540592272e-01 2.904904589976808338e-01 6.340308192846097479e-02 1.223185474490774555e-01 9.091145742060643409e-01 1.308688862071850090e-01 9.086102515005310964e-01 2.467806157352675778e-01 9.614852134376847270e-02 -7.324230065457706940e-02 -3.402038504561021026e-03 8.998796413477357925e-01 8.949407261841156869e-01 4.816565098238799469e-02 5.208518702413081902e-01 9.097320800554686837e-01 9.078022484374005385e-01 -2.378766073191488153e-02 5.282242202316922430e-02 3.785695924389219646e-01 5.496219553190243579e-01 nan
8.000000000000000000e+00 8.423765725071390431e-01 9.073582387376730729e-01 8.911456378790396649e-01 8.930257947826258924e-01 3.985232866677378971e-01 8.806365863282029638e-01 5.519578490069751986e-01 -7.395569697580962887e-02 6.518028660849574107e-01 7.030749046976878525e-01 8.834145587382028486e-01 3.970245207572893897e-01 2.088610743779809042e-01 -3.432152017592337255e-03 8.637452146814894594e-02 8.883457498195157509e-01 4.308946807653513816e-02 8.859605525014512262e-01 2.272771616828219710e-01 9.402678351485256603e-02 -8.571142295755036777e-02 2.217154859265138209e-02 8.764295431316546647e-01 8.704414823349997388e-01 3.022126508727227424e-03 4.910099148376833589e-01 8.891061032043940937e-01 8.867954429374172998e-01 1.354028723882949869e-01 7.651342587632209424e-02 3.952774814455487506e-01 5.371724371882793392e-01 nan
9.000000000000000000e+00 8.158552034393494745e-01 8.863622446983685510e-01 8.664169347913989183e-01 8.724788550273795407e-01 3.676250172307378161e-01 8.558099106772150133e-01 4.967870752024597381e-01 -4.025463590401932162e-02 5.868624352747060513e-01 6.666482862673596133e-01 8.596811403193556078e-01 3.736887840857103793e-01 2.082540554486774498e-01 -1.219132207944422994e-02 8.608929691154694475e-02 8.663662139502918969e-01 -1.898807521549525715e-02 8.616808918407263818e-01 1.282037671066397211e-01 1.131885269559715773e-01 -5.619709290457017975e-02 1.071986956223165283e-01 8.523949042010133814e-01 8.453476618776673002e-01 -2.872866151489780404e-02 4.583033832512579120e-01 8.682877099490271533e-01 8.641034525634081476e-01 2.275389888272539851e-01 1.029918777731653190e-01 3.974270470255403809e-01 5.252219551825698662e-01 nan
