# z	v_x(z)	err
0.000000000000000000e+00 1.000000000000000000e+00 6.359601310784501511e-17
1.000000000000000000e+00 8.799467114938606116e-01 5.289065673123634348e-02
2.000000000000000000e+00 7.215169651217953062e-01 1.217250845044264979e-01
3.000000000000000000e+00 6.428678818855231292e-01 1.521917932009617391e-01
4.000000000000000000e+00 6.316530234669223143e-01 1.501065646046370328e-01
5.000000000000000000e+00 6.283693665473627510e-01 1.447256805392928281e-01
6.000000000000000000e+00 6.146054021416514912e-01 1.436089486514020575e-01
7.000000000000000000e+00 5.868085815180255072e-01 1.460837526903646377e-01
8.000000000000000000e+00 5.510369013590122877e-01 1.516901095899705898e-01
9.000000000000000000e+00 5.208765514487917470e-01 1.546878866601974767e-01
1.000000000000000000e+01 4.932903475746937549e-01 1.557657519359231524e-01
1.100000000000000000e+01 4.668336759275498737e-01 1.552758303914058280e-01
1.200000000000000000e+01 4.547872260736415262e-01 1.469896488335307450e-01
1.300000000000000000e+01 4.468725227242912323e-01 1.375265986761833870e-01
1.400000000000000000e+01 4.307516325677365754e-01 1.314430016767127174e-01
1.500000000000000000e+01 3.987228798250363471e-01 1.321720981549982243e-01
1.600000000000000000e+01 3.791274672564940995e-01 1.251315697811619942e-01
1.700000000000000000e+01 3.689855060782010199e-01 1.134700658782517024e-01
1.800000000000000000e+01 3.569011540037064223e-01 1.021490298661288931e-01
1.900000000000000000e+01 3.375780964879401824e-01 9.408521121749763294e-02
2.000000000000000000e+01 3.026627954199000992e-01 9.413738699548826472e-02
2.100000000000000000e+01 2.567824910401131921e-01 9.915788696488173071e-02
2.200000000000000000e+01 2.253095017517503518e-01 9.460649175448986037e-02
2.300000000000000000e+01 2.203932922567390373e-01 7.575401211277628388e-02
2.400000000000000000e+01 2.174030169713121463e-01 6.029644598346834555e-02
2.500000000000000000e+01 1.843743983273389286e-01 5.265479871493113084e-02
2.600000000000000000e+01 1.416731507521825084e-01 4.886472308004420617e-02
2.700000000000000000e+01 9.103683664970095568e-02 5.128794068418273538e-02
2.800000000000000000e+01 6.117697059127898823e-02 4.437669444503800076e-02
2.900000000000000000e+01 5.314760224367449243e-02 2.632265217263712181e-02
3.000000000000000000e+01 4.470766496090027020e-02 8.951796450286115397e-03
3.100000000000000000e+01 3.133561677381346833e-02 1.425907981027605374e-02
3.200000000000000000e+01 5.020858674662693338e-03 2.840788341957177845e-02
3.300000000000000000e+01 -4.079844216503978466e-02 2.927346444854922458e-02
3.400000000000000000e+01 -8.531653621129449416e-02 1.896476844762231412e-02
3.500000000000000000e+01 -1.175889095919828709e-01 1.472199931862975229e-02
3.600000000000000000e+01 -1.384777076747355784e-01 2.687999554715807954e-02
3.700000000000000000e+01 -1.555658508059343248e-01 4.299186153807933036e-02
3.800000000000000000e+01 -1.716591832723849131e-01 5.502296528630138545e-02
3.900000000000000000e+01 -1.946139990772614570e-01 5.754727326915731744e-02
4.000000000000000000e+01 -2.179630562448447717e-01 6.242038688915988592e-02
4.100000000000000000e+01 -2.443649663835805175e-01 6.732922901952266559e-02
4.200000000000000000e+01 -2.693489173652744428e-01 7.366064779274164587e-02
4.300000000000000000e+01 -2.965757389053682025e-01 7.796008050272551504e-02
4.400000000000000000e+01 -3.222341148108206488e-01 8.173678654852274683e-02
4.500000000000000000e+01 -3.381518830984350799e-01 8.971800289778461557e-02
4.600000000000000000e+01 -3.487589941563158380e-01 9.885622200182209163e-02
4.700000000000000000e+01 -3.688074654194183899e-01 1.043223361675383182e-01
4.800000000000000000e+01 -3.960641688915230163e-01 1.056380921932625894e-01
4.900000000000000000e+01 -4.154125945464191005e-01 1.087690453463619339e-01
5.000000000000000000e+01 -4.152906814060683960e-01 1.199282732652609401e-01
5.100000000000000000e+01 -4.273323317255595111e-01 1.256178085289554047e-01
5.200000000000000000e+01 -4.527933264684020354e-01 1.244082234909047180e-01
5.300000000000000000e+01 -4.802316410854885476e-01 1.221723446415901304e-01
5.400000000000000000e+01 -4.900975649827707392e-01 1.274895080449386930e-01
5.500000000000000000e+01 -4.932640330663060069e-01 1.349115710745347474e-01
5.600000000000000000e+01 -5.012496764970114649e-01 1.393384987996388047e-01
5.700000000000000000e+01 -5.231090163395555326e-01 1.388094885622455366e-01
5.800000000000000000e+01 -5.443546879284822948e-01 1.372464812586830785e-01
5.900000000000000000e+01 -5.518317368726082250e-01 1.387356660944717157e-01
6.000000000000000000e+01 -5.611736039750645499e-01 1.395307862501255214e-01
6.100000000000000000e+01 -5.873092896414435771e-01 1.327921199943144781e-01
6.200000000000000000e+01 -6.079103418329929731e-01 1.269446424406011076e-01
6.300000000000000000e+01 -5.996183599081983395e-01 1.335464965234914314e-01
6.400000000000000000e+01 -5.933965991241542115e-01 1.404108274924126820e-01
