# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000444e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 6.769615016102144001e-01 9.938020319475830977e-01 9.942344962282645415e-01 7.450858898375064543e-01 9.945777137002997925e-01 9.942603450889795358e-01 9.939672198313216356e-01 6.466844937067153243e-01
2.000000000000000000e+00 2.280569486851072858e-01 9.839208999184875237e-01 9.854133114909930935e-01 4.151394407392286490e-01 9.842623022307279701e-01 9.843945155378092116e-01 9.843876211120442532e-01 2.065606812599646569e-01
3.000000000000000000e+00 5.028176094273773683e-02 9.717842939693207560e-01 9.737528028298504390e-01 2.387865425841433908e-01 9.714241230604945265e-01 9.727947038457275264e-01 9.728543649918435232e-01 -8.735537139933255771e-03
4.000000000000000000e+00 3.219652178706337853e-02 9.588062538988626482e-01 9.606903987848433024e-01 1.591073572474094866e-01 9.573553133475702914e-01 9.603802523008642122e-01 9.603906919627855920e-01 6.429739840597924194e-02
5.000000000000000000e+00 8.125783480338152204e-03 9.426367190774944671e-01 9.440207663475947975e-01 9.843969841001207199e-02 9.399334583575096325e-01 9.443492301174750692e-01 9.448024308513131020e-01 2.046468457371646565e-01
6.000000000000000000e+00 8.254890380595923671e-03 9.250200351895254691e-01 9.256636215371851772e-01 3.212571573680513687e-02 9.201785431284462691e-01 9.259654742373898406e-01 9.276776597727048879e-01 2.519572771505597664e-01
7.000000000000000000e+00 2.584735784785340343e-02 9.056248538548933302e-01 9.056731555852750581e-01 -1.345685503669639266e-02 8.986661151700141570e-01 9.058472245641473464e-01 9.090803850809567876e-01 1.571864150777595726e-01
8.000000000000000000e+00 1.554800215047098290e-02 8.832543968389459099e-01 8.838442297927845415e-01 -4.825852297781801220e-02 8.755284624790916626e-01 8.836761239690987813e-01 8.886879865639664144e-01 2.601453205555750992e-02
9.000000000000000000e+00 6.663962922105212336e-03 8.587142296384014939e-01 8.603617984912480532e-01 -3.493325162641781195e-02 8.508115168205092615e-01 8.596553630599627072e-01 8.660723236584983997e-01 -1.003335313739733281e-01
1.000000000000000000e+01 -3.407548948127156908e-03 8.324206410606664885e-01 8.344754340752379429e-01 -3.627640508434155919e-02 8.236239124438803350e-01 8.330304076021219917e-01 8.397514287231703234e-01 -1.772950892750589369e-01
1.100000000000000000e+01 -4.270638382453939563e-02 8.065546209115681542e-01 8.083137571533359766e-01 -6.669093056397505659e-02 7.952724883196459205e-01 8.060929049176157601e-01 8.124355727892559331e-01 -1.846026222825083163e-01
1.200000000000000000e+01 -7.095769648863324564e-02 7.779650172675273145e-01 7.797877631973165746e-01 -7.225964417111839511e-02 7.651702887342640702e-01 7.777822941451635330e-01 7.829519427543462085e-01 -1.021421568497344751e-01
1.300000000000000000e+01 -4.161823878407808902e-02 7.491787002843606214e-01 7.509136091853649830e-01 -9.928974146143308699e-02 7.355861853822945884e-01 7.496200283490204175e-01 7.534959640035260309e-01 -2.290632516472512412e-02
1.400000000000000000e+01 3.332622306179381516e-02 7.178712262299092872e-01 7.191194991451638208e-01 -1.452922313509549535e-01 7.045421077233527951e-01 7.187296803584254379e-01 7.224034636320013636e-01 -2.468690825779825890e-02
1.500000000000000000e+01 4.536229024659396702e-02 6.866196029082509700e-01 6.873281983939907303e-01 -1.819732865702054780e-01 6.722546313103002769e-01 6.869219036750987550e-01 6.910167331556545944e-01 -9.774703451939333043e-02
1.600000000000000000e+01 2.226857053528104660e-02 6.531047323534082683e-01 6.537406900997574377e-01 -1.329754263033250117e-01 6.383284125440547019e-01 6.536671814963173066e-01 6.576130033993546897e-01 -1.127274260728956534e-01
1.700000000000000000e+01 1.622973151151075460e-02 6.182359026911123934e-01 6.188395838828872897e-01 -7.563926986587315993e-02 6.038840442467551251e-01 6.200042253784625590e-01 6.226963520970915100e-01 -7.236652131633811158e-02
1.800000000000000000e+01 3.451575268937856489e-02 5.809967615493861759e-01 5.816770891794428300e-01 -5.057317721176405462e-02 5.681767642966045750e-01 5.840970349754767144e-01 5.851094735283653980e-01 -2.879046697723906464e-02
1.900000000000000000e+01 8.176178271289419319e-02 5.426571070697472354e-01 5.433264879622411447e-01 -4.882817517968535137e-02 5.308377472875394076e-01 5.460895329802251119e-01 5.456884957289011018e-01 -4.090820665834155045e-02
2.000000000000000000e+01 1.117846688935576621e-01 5.033697150912868068e-01 5.035320447289564072e-01 -3.827907446548813736e-02 4.919406235548405837e-01 5.061731854800880503e-01 5.046647769147915019e-01 -1.618835768388322272e-01
2.100000000000000000e+01 6.850079666205548257e-02 4.623058324012193077e-01 4.616641184290249944e-01 -1.337631137077948881e-02 4.513758453537343174e-01 4.648588914544722894e-01 4.619370496295777673e-01 -3.030062942383994207e-01
2.200000000000000000e+01 4.104743401598837105e-02 4.203259166430303173e-01 4.193468864904347781e-01 -1.352895832963865209e-02 4.104159276769178688e-01 4.241649785994535127e-01 4.185355760916219525e-01 -3.178317471738054123e-01
2.300000000000000000e+01 1.329244161446800077e-01 3.757204345023642533e-01 3.737420334189726634e-01 -6.875362519913817694e-02 3.681418842467922836e-01 3.823824547695144904e-01 3.743330198490735228e-01 -1.753442796783469260e-01
2.400000000000000000e+01 2.253662704708990772e-01 3.308512251943138693e-01 3.284426026724140413e-01 -9.928690078280917597e-02 3.254746539470779187e-01 3.402930270357225062e-01 3.305636201310248601e-01 -4.248036289814576677e-02
2.500000000000000000e+01 1.742881074030855626e-01 2.845123188748545084e-01 2.823281608049506008e-01 -3.895572290284268074e-02 2.814447447621038489e-01 2.967822940059676173e-01 2.852048685920460236e-01 -9.060958492145418375e-02
2.600000000000000000e+01 7.042469003237350478e-02 2.395358471818894164e-01 2.370458488454163792e-01 -1.755831095140800158e-02 2.376250469426103573e-01 2.535881677169678494e-01 2.399714858229395620e-01 -1.272475695733290280e-01
2.700000000000000000e+01 4.054009172467861084e-03 1.944964904766383895e-01 1.916991774229836187e-01 -6.801318367967640333e-02 1.935810158639486300e-01 2.094748990958012480e-01 1.939499545068343600e-01 -1.909476696613902069e-01
2.800000000000000000e+01 -2.795878253636251837e-02 1.504193094617288784e-01 1.477939746225831741e-01 -5.589823195643372350e-02 1.499302965815462185e-01 1.652660475283097563e-01 1.487551837651688302e-01 -1.888920327363086682e-01
2.900000000000000000e+01 -1.645987562436208168e-02 1.049376930270074365e-01 1.028571996657048487e-01 -2.728971570049759741e-03 1.058069669472240931e-01 1.203062240903029906e-01 1.035884752645889195e-01 -9.312689385102050632e-02
3.000000000000000000e+01 7.122905057760912928e-03 6.049302010684654007e-02 5.913949813828366098e-02 1.838093291487232286e-02 6.300645831826114096e-02 7.655412806377701052e-02 5.973183372130626972e-02 1.323254336609430530e-02
3.100000000000000000e+01 1.193016329380082625e-02 1.751897020940605329e-02 1.676081181747008167e-02 -1.854065849036084287e-03 2.151937036098728467e-02 3.317679472010037767e-02 1.634259016786445903e-02 1.352902994699147210e-01
3.200000000000000000e+01 -1.288271053748541936e-02 -2.421279611934239184e-02 -2.426701044811925903e-02 -5.591609300519051473e-02 -1.966155972103239905e-02 -1.078111853550783004e-02 -2.694567175405714402e-02 2.148338295180365343e-01
3.300000000000000000e+01 -3.869632039484019459e-02 -6.579477091660776433e-02 -6.571165654785847410e-02 -1.354141558870486095e-01 -6.134073803822436000e-02 -5.520483560901060655e-02 -7.102833440839399770e-02 1.668032744816658197e-01
3.400000000000000000e+01 -4.986822416512717154e-02 -1.077747564145154630e-01 -1.085182966478890065e-01 -1.415356959561853700e-01 -1.030988695957292950e-01 -9.907148089122505552e-02 -1.146084096864953827e-01 4.194344366681082570e-02
3.500000000000000000e+01 -8.840385838195827239e-02 -1.489845811417256638e-01 -1.499987597679022788e-01 -7.403367490665396788e-02 -1.439709213310934877e-01 -1.417100427257307060e-01 -1.557303837877934694e-01 -3.787905469300516248e-02
3.600000000000000000e+01 -1.299472183971750461e-01 -1.912971531361527810e-01 -1.917862698681535583e-01 -4.578868882768898085e-02 -1.844835744801206767e-01 -1.840894655439091754e-01 -1.976642794289112104e-01 1.723498828422675294e-02
3.700000000000000000e+01 -1.705466495790741999e-01 -2.326866512770893458e-01 -2.330775854103417644e-01 -3.664472567868019143e-02 -2.250708007844863245e-01 -2.260021159565612781e-01 -2.391431134578751450e-01 1.186448356966335327e-01
3.800000000000000000e+01 -1.666040993847038576e-01 -2.742881270112607073e-01 -2.747248566276428994e-01 -1.378105803102650136e-02 -2.666443259008611788e-01 -2.682892299903825717e-01 -2.801140564797497956e-01 1.711722872465482881e-01
3.900000000000000000e+01 -1.024126763019509306e-01 -3.148081153322648262e-01 -3.151302507125336438e-01 -5.099079372721186665e-03 -3.077149208799821456e-01 -3.094077955405314939e-01 -3.192603139963286485e-01 1.169211595182211155e-01
4.000000000000000000e+01 -3.823429585799885400e-02 -3.551587978002774260e-01 -3.544838919844910397e-01 -8.166247283812298058e-03 -3.477285083477174021e-01 -3.498374975340885484e-01 -3.580294071348044116e-01 6.793419598443191376e-02
4.100000000000000000e+01 1.065783886059216631e-02 -3.934548271405846620e-01 -3.924187149662068386e-01 -4.131257897476232205e-02 -3.853405310760911751e-01 -3.883945255726972134e-01 -3.960991686040866711e-01 3.144277640519245465e-02
4.200000000000000000e+01 4.121358212952911521e-02 -4.308207247733171763e-01 -4.301335146173750346e-01 -7.669511719448419973e-02 -4.219268654459288892e-01 -4.261251075224341545e-01 -4.350064205944675355e-01 2.470282909628241860e-02
4.300000000000000000e+01 3.140814191699552171e-02 -4.665134891471979239e-01 -4.668189402094983231e-01 -9.305703981347439313e-02 -4.582617605023857066e-01 -4.629707335053955819e-01 -4.720622412268636880e-01 1.567015124487461386e-02
4.400000000000000000e+01 2.363478693913367845e-02 -5.005140969454421329e-01 -5.017324032819640012e-01 -8.457146105932641933e-02 -4.932727041160639980e-01 -4.985898527345161146e-01 -5.060681530926417482e-01 -1.675903419574433645e-02
4.500000000000000000e+01 5.496918755412560226e-02 -5.332967621848456741e-01 -5.357267941502793507e-01 -7.183152137883609678e-02 -5.258187498709182561e-01 -5.322547704773407107e-01 -5.385576474830331417e-01 -2.269800679635333024e-02
4.600000000000000000e+01 2.388764159715093052e-02 -5.653449435306199256e-01 -5.684611522332486677e-01 -2.056432304504611508e-02 -5.565512488953457959e-01 -5.649763962937837114e-01 -5.699018608944005360e-01 3.184033004476709283e-02
4.700000000000000000e+01 -7.564208444271541820e-02 -5.964497368535414124e-01 -5.989033232054581379e-01 5.148705602010979210e-02 -5.863960328966293378e-01 -5.968109336908770102e-01 -5.993007681268511799e-01 5.155609984061595291e-02
4.800000000000000000e+01 -1.299441532169169355e-01 -6.241093629726013337e-01 -6.263928200167874216e-01 7.690721230321576063e-02 -6.153797248214198934e-01 -6.270879874326241721e-01 -6.265049267819057244e-01 3.998411806855419609e-03
4.900000000000000000e+01 -9.432580345716037873e-02 -6.503030894505601456e-01 -6.525783043853359278e-01 7.603635607734370028e-02 -6.435204898550288544e-01 -6.564340438112696852e-01 -6.533502256615926207e-01 -4.882515582774901025e-02
5.000000000000000000e+01 -2.399787648943409180e-02 -6.752330036804334856e-01 -6.769437660098867049e-01 8.312814574440809123e-02 -6.699647815585112465e-01 -6.838106579119466177e-01 -6.797666877341050906e-01 4.263176391361967604e-03
5.100000000000000000e+01 -2.390505165471068939e-03 -7.001949181203031003e-01 -7.010418895548992113e-01 6.499777853436797259e-02 -6.947781845026195224e-01 -7.099499916010436618e-01 -7.051339815641268771e-01 2.983303816961931088e-02
