# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	
5.000000000000000000e-01 5.093994199999997375e-04 1.330559999985325761e-06 1.800540000010641912e-06 5.000897210000005040e-03 -3.695680000009815752e-06 5.359732049999990991e-03 2.180613404000000463e-02 5.341722411999989817e-03 1.854138280000029206e-04 -3.711395399999901294e-04 3.752746699999988801e-04 -3.736023000000045528e-04 1.899554500000021930e-04 1.845776300000011468e-04 -1.897460859999910055e-04 1.865081759999952823e-04 -3.703613300000028964e-04 3.800628699999947561e-04 -2.468869999995604115e-06 -1.579894999998714432e-05 1.796873999998069681e-05 -4.412353499999880843e-04 6.380309999999553348e-05 3.690032900000005394e-04 -2.606199999991076644e-06 -3.622650100000100585e-04 -1.467890000003535619e-06 3.637390200000140909e-04 -2.234588700000017557e-04 2.281890900000007585e-04 -2.248535100000026345e-04 2.214538499999889689e-04
1.500000000000000000e+00 6.891326900000080457e-04 1.632689999996728114e-06 1.931759999979476426e-06 5.095462029999998400e-03 -4.125969999972767454e-06 5.101028449999990035e-03 2.199103393000001461e-02 5.531365959999959628e-03 -3.500359999975444235e-06 -3.675659199999927276e-04 3.726654100000132666e-04 -4.290313800000262567e-04 2.418945300000245927e-04 1.572692799999913474e-04 -7.324200000311975898e-07 -1.611999399999831516e-04 -1.756683399999928944e-04 3.436675999999806632e-04 -1.599119999968934208e-06 -4.253539000001183002e-05 4.453735000001870392e-05 -4.063354500000286866e-04 6.209716000003027254e-05 3.072723499999824282e-04 -1.699839999992036679e-06 -3.019378600000095260e-04 -1.766959999986283931e-06 3.020385699999678770e-04 1.528930000040418156e-06 2.636709999967479392e-06 -7.970275999999784774e-05 7.656860999999253738e-05
2.500000000000000000e+00 7.486968999999931264e-04 1.336660000015399489e-06 2.667239999982484523e-06 5.541972652000004378e-03 -4.412840000009055378e-06 4.770005497999977966e-03 2.187530211000002917e-02 5.537329100000033984e-03 -7.000720000041837786e-06 -2.009338400000160597e-04 2.093383799999628593e-04 -5.066039999999247733e-04 3.038696199999776416e-04 2.464965900000152263e-04 6.988399999954708384e-07 -2.517974700000195367e-04 3.735340000048381558e-06 2.531311099999584415e-04 -8.972200000243901912e-07 -1.678399999491375768e-07 2.130119999992530300e-06 -2.529266300000472447e-04 1.794420000078389349e-06 2.548339899999291398e-04 5.676300000232003992e-07 -2.531310999999959407e-04 -2.069099999971513242e-06 2.523345999999491930e-04 2.099610000004759100e-06 3.131100000018705001e-06 -2.502288899999711991e-04 2.478332599999703216e-04
3.500000000000000000e+00 6.333282399999916193e-04 1.638790000015433178e-06 4.095459999984996254e-06 5.976971440000011446e-03 -1.965330000030007873e-06 4.465393059999996951e-03 2.173736877999999859e-02 5.505068960000108168e-03 2.223512999994454848e-05 -1.895996200000354276e-04 1.991302500000074300e-04 -5.047973700000056487e-04 3.118652399999973434e-04 1.636321899999984358e-04 1.342800000202259907e-07 -1.675659099999847891e-04 1.361079999969661036e-06 1.724731499999961754e-04 -5.371199999899545414e-07 -6.652799999756097778e-07 7.385199999589531257e-07 -1.663329999999859949e-04 -9.094199999708507904e-07 1.745727600000009289e-04 -1.470960000006016407e-06 -1.718017600000166590e-04 -4.053344000003562619e-05 2.095398000000386679e-04 2.130120000038004957e-06 4.736319999938132286e-06 -2.084716800000023821e-04 2.041382000000339795e-04
4.500000000000000000e+00 8.251281700000390618e-04 -1.373290999997607228e-05 5.072019999988697633e-06 6.193051159999981778e-03 -3.233344999966902822e-06 4.076979064999932192e-03 2.205843811000006427e-02 5.125369259999911636e-03 2.489990300000499896e-04 -2.462951699999393635e-04 2.561584499999298797e-04 -4.883941700000377691e-04 2.364898700001049356e-04 8.794554999994943242e-05 -9.199828999999226393e-05 -1.376339999978881670e-06 4.296879999992597541e-06 9.470519999995303628e-05 -9.284057999998366793e-05 -1.199330000008558295e-06 2.578720000065004378e-06 3.332529999943290135e-06 -3.479000000015730736e-06 4.921263999999609670e-05 -4.447631999996702102e-05 3.926391999998486519e-05 -2.553405999997266856e-05 2.527769999996962565e-05 3.723160000026837334e-06 2.746579999984533146e-06 -2.521363000000746815e-05 2.293701000003238864e-05
5.500000000000000000e+00 1.009335319999991008e-03 -1.879028299999845313e-04 6.838990000005651633e-06 6.610606899999958881e-03 1.512638440000387268e-04 3.488919665999947080e-03 2.241964111000006518e-02 4.733065790000000155e-03 2.235992599999462942e-04 -2.251617499999610970e-04 2.320953299999928331e-04 -2.243286099999750223e-04 8.849999994708923168e-08 2.651153800000429460e-04 -2.683380299999953448e-04 -2.810670000098980519e-06 -2.872313999982907103e-05 3.031982399998923755e-04 -3.005371199999899517e-04 1.135259999955451271e-06 1.873780000005353924e-06 2.264400000058230842e-06 -3.875739999966754224e-06 5.327760999994097905e-05 -4.588012999997772315e-05 3.997191999997085256e-05 8.667000000514235806e-07 1.043709999976272192e-06 5.491999995683727039e-08 3.344729999980700262e-06 6.896999999753461947e-07 -3.305069999896659374e-06
6.500000000000000000e+00 1.028872670000055122e-03 -1.817016400000284109e-04 7.574440000007598840e-06 6.729025289999935981e-03 2.269347999999808988e-04 3.259893800000099838e-03 2.237257080999997816e-02 4.790502909999941154e-03 -1.800519999960670227e-06 7.995600000867852960e-07 4.736319999938132286e-06 -6.713799999488400774e-07 6.195059999845397794e-06 3.570862000005945526e-05 -4.230041999990135162e-05 -6.713800001307390264e-07 -3.486328999997567464e-05 8.376771000002918705e-05 -7.856444999997620813e-05 -1.968390000092767696e-06 2.035530000011931534e-06 -1.300049999917973698e-06 -5.035499999394233064e-07 1.036986999988585049e-05 -3.143300000010640470e-06 -4.092409999975643405e-06 3.997799999524431735e-07 2.636720000100467652e-06 -5.706800000552902597e-07 3.204349999941769102e-06 -4.730299999209819321e-07 -1.770010000018373897e-06
7.500000000000000000e+00 1.282803350000040130e-03 -1.922363200000290864e-04 7.537839999986317352e-06 6.697030619999986764e-03 -8.264159999998810937e-06 3.289593510000031733e-03 2.236093750999998409e-02 4.834130860000005088e-03 -1.263440000002446962e-06 3.967399999964982510e-07 4.864500000076077716e-06 2.685599998585530325e-07 4.272459999992861124e-06 -4.406739999831188801e-06 -3.296000000773346772e-07 -2.258299999994051333e-06 3.918460000022605195e-06 5.139159999998810364e-06 -2.398680000078457151e-06 -1.342800000202259907e-07 8.667000000059488168e-07 -1.269519999914337019e-06 1.342600000498350635e-07 8.398439999837137767e-06 -1.055899999846587853e-06 -4.541020000033313741e-06 1.599119999991671749e-06 1.135260000046400798e-06 -3.357000001415144513e-07 3.131100000064179659e-06 -1.281599999856553159e-07 -2.996840000014344596e-06
8.500000000000000000e+00 1.509863279999990385e-03 -1.991332999999940502e-04 4.998780000096303178e-06 7.025938191428599336e-03 -5.296333942862929488e-05 2.794554427999901020e-03 2.258097231000001648e-02 4.834100339999986527e-03 -2.197269999942363783e-06 -2.220642100000077331e-04 2.275238100000024114e-04 -2.199615500000618416e-04 2.256713800000397776e-04 -4.037470000002940377e-06 -2.243011500000647977e-04 2.228057800000897372e-04 -2.202117800000450993e-04 2.258697400000528408e-04 -1.895140000033279622e-06 2.832030000081431347e-06 -2.139280000119470056e-06 -2.211944599998787338e-04 -7.019000004220288243e-08 2.300323499999649328e-04 -3.326419999939389450e-06 -2.239044200000535106e-04 2.133179999964340807e-06 2.241302500000529236e-04 -7.903999999143706702e-07 1.190179999957763265e-06 2.273560000048746625e-06 -5.368040000030305506e-06
9.500000000000000000e+00 1.501135260000046462e-03 -1.443482000004223727e-05 5.267330000060610221e-06 7.672072064285657793e-03 -1.707439422856964391e-04 2.078371587999970627e-03 2.277787170000010464e-02 4.620965579999938150e-03 -1.068119999945338328e-06 -2.470245399999839494e-04 2.528228799999851398e-04 -2.454925600000933757e-04 2.502594100000351336e-04 -3.793339999992895093e-06 -2.491332900000088309e-04 2.496246200000314520e-04 -2.458953800000017779e-04 2.503631599999607917e-04 4.244081999995614741e-05 4.864480000105686895e-06 -2.606200000082026383e-06 -2.913940399999773927e-04 1.202379999995173392e-06 2.987243800000214614e-04 -2.392599999984668039e-06 -2.951965199999903979e-04 2.624400000058812801e-07 2.985290799999347510e-04 -2.728280000155791457e-06 1.928720000250905110e-06 1.403799999934562904e-06 -3.930679999939457251e-06
