# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	vx_32	
5.000000000000000000e-01 -3.503420000004098256e-02 2.069099999999934880e-02 -2.734379999998282074e-02 7.324199999970915087e-03 2.316406861000000390e+02 3.469849999993357414e-02 -2.316980285999999296e+02 2.316723023000000126e+02 -2.316486512000000175e+02 -2.001949999998942076e-02 -1.297000000005255060e-02 3.631599999948775803e-03 1.837160000007997951e-02 1.983600000016849663e-03 -2.368160000003172172e-02 2.316383057000000463e+02 -2.316433106000000635e+02 6.042500000035033736e-03 -1.766970000005585462e-02 2.316613159000000337e+02 -2.316456604000000539e+02 -2.932739999999967040e-02 -1.135249999992993253e-02 7.354700000007596827e-03 -1.493011400000000322e+00 1.502014099999996688e+00 9.765999999444829882e-04 -9.765999999444829882e-04 2.316343383999999332e+02 -2.331456908999999200e+02 1.476684499999919353e+00 -3.356999999937215762e-04 0.000000000000000000e+00
1.500000000000000000e+00 -2.099609999993390375e-02 1.148984999997537670e-02 -3.065489999994497339e-02 1.716614999986632029e-02 2.316911621499999683e+02 1.950075000002016168e-02 -2.317360077000000160e+02 2.313133087000000501e+02 -2.312914734499998985e+02 -1.103205000003981695e-02 -2.130130000000463042e-02 1.525999999785199179e-04 1.885985000001255685e-02 9.918499998775587301e-04 -2.618409999990944925e-02 2.316920013000000154e+02 -2.316966704499999423e+02 2.868599999942489376e-03 -4.516599999988102354e-03 2.316916656499999476e+02 -2.315233306499999344e+02 -1.846619000000373489e-01 -8.697499999982483132e-03 -4.135150000024623296e-03 -1.163864049999915551e+00 1.191024699999957193e+00 -1.510600000074191485e-03 -3.326399999991735967e-03 2.316751709000000119e+02 -2.328600310999999579e+02 1.145187349999957860e+00 -8.331299999895236397e-03 0.000000000000000000e+00
2.500000000000000000e+00 3.459625850000520586e-01 1.357262499999478678e-02 -2.174374999998462954e-02 -3.651229600000647224e-01 2.336474639600000955e+02 2.032474999987243791e-02 -2.333144989499999156e+02 2.320501404000000321e+02 -2.320310516500000517e+02 -1.351927500002148008e-02 -8.979775000000245200e-03 -3.842361999999752697e-01 2.061767999998664891e-02 3.830353449999961413e-01 -4.035797650000176873e-01 2.336448974400000225e+02 -2.336526366800000005e+02 3.539799999430215394e-04 3.638001000001054308e-01 2.332944946000000073e+02 -2.332290562000000023e+02 -7.711140000009208961e-02 -1.342775000000528962e-02 -3.731719899999461632e-01 -5.218499999955383828e-03 4.079849149999859037e-01 1.419049999981325527e-03 -5.088750000084019121e-03 2.332595061750001832e+02 -2.332851104250000844e+02 -1.197817500002429369e-02 -1.333617500000627842e-02 0.000000000000000000e+00
3.500000000000000000e+00 9.100188499999148917e-01 -3.519591666664041441e-01 -1.165773333349306995e-02 -5.698852499999702559e-01 2.350994872500000383e+02 -1.214905000001635926e-01 -2.344160155999997528e+02 2.333733520999998632e+02 -2.333550110000000473e+02 -2.887980000002698944e-02 5.838724000003026049e-01 -1.177978450000182420e+00 1.649474999999256397e-02 3.063710333333915514e-01 -3.170369333334406292e-01 2.349538269000001947e+02 -2.349646606000001157e+02 -3.173849999939193367e-03 1.164154049999751805e+00 2.338080139000003328e+02 -2.348136902000001101e+02 4.118957333332105009e-01 -1.843260000003965615e-02 -4.434509333332243841e-01 -1.321715999999923952e-01 1.185852000000068074e+00 -6.713000000218016794e-04 -6.476746000000730419e-01 2.344213562000002185e+02 -2.337987061000003450e+02 -6.691588999998430154e-01 6.425170999999636479e-01 0.000000000000000000e+00
4.500000000000000000e+00 1.028656000000410131e+00 -1.059661900000264723e+00 -8.667000000059488229e-03 1.870730000018738792e-02 2.362202758999997059e+02 -1.040985099999943486e+00 -2.352063598999998248e+02 2.350621795499998825e+02 -2.350461578500000996e+02 -2.563469999995504622e-02 5.836384666667981946e-01 -5.940144666665219120e-01 1.101680000010674121e-02 8.415019333330633344e-01 -8.421733333331644644e-01 2.351543273999996018e+02 -2.351726683999995657e+02 -3.967300000113027636e-03 5.875345999999694868e-01 2.345897724999998104e+02 -2.349293365499997890e+02 -2.620086500000979868e-01 -1.095579999991969089e-02 2.283172499999182037e-01 -2.223663500001293869e-01 6.037801666668087819e-01 2.014133333261725056e-03 6.688944999996238039e-02 2.344873504500001218e+02 -2.339756927000000815e+02 -5.511475000000700675e-01 -9.105936666657044043e-02 0.000000000000000000e+00
5.500000000000000000e+00 8.783111499999449734e-01 -8.945006999997531238e-01 -5.325300000095012365e-03 1.187129999993885576e-02 2.361804198499996801e+02 -1.264297349999878861e+00 -2.341446991499999513e+02 2.341161804500000017e+02 -2.348994903999998769e+02 -3.479004999985590985e-02 3.479049999896233203e-03 -5.188499999349005520e-04 4.470799999808150460e-03 1.905825000017102866e-02 -2.586365000001933367e-02 2.361108551499999066e+02 -2.361235199499999453e+02 -1.664729999993141973e-02 1.428220000002511370e-02 2.349141998000000058e+02 -2.348878631000002315e+02 -5.982969999990928045e-02 8.150633999998717627e-01 -8.003233999997974024e-01 4.455549999875074718e-03 1.329039999995984545e-02 -4.135149999910936458e-03 -8.834850000084770727e-03 2.349021759000002021e+02 -2.340081329500001175e+02 -9.210356999999476102e-01 -2.566535000005387701e-02 0.000000000000000000e+00
6.500000000000000000e+00 3.307596499998339823e-01 -3.562723499998696752e-01 -1.348880000023200409e-02 3.216554999994514219e-02 2.362659911999999167e+02 -3.721771499995156773e-01 -2.355844573833335858e+02 2.355556335333333777e+02 -2.358970031499998186e+02 -2.447510000047259382e-02 1.248170000053505646e-02 -1.501465000001189765e-02 9.841949999554344686e-03 3.501885000014226534e-02 -3.601069999990613724e-02 2.362758178999999927e+02 -2.362918243500002973e+02 -7.492099999581114389e-03 -4.669200000080309110e-03 2.358974914499999613e+02 -2.358736724999998842e+02 -3.631584999993719975e-02 3.564605166664591707e-01 -3.574676166668382393e-01 9.918000002926419256e-04 -1.117858833334253177e-01 1.391143833334922419e-01 -1.432800000020506559e-02 2.358873443999998472e+02 -2.354728470499999275e+02 -4.491653000000042084e-01 -2.432249999992563971e-02 0.000000000000000000e+00
7.500000000000000000e+00 7.956389999999373686e-01 -8.163146500000948436e-01 2.146606500000416418e-01 -2.026672500001041044e-01 2.361993408499997713e+02 -2.685599999495025259e-03 -2.362465057000003981e+02 2.362371979000004103e+02 -2.359773560000003272e+02 -2.636413499999434862e-01 2.413330499998664891e-01 -1.068119999945338350e-02 1.101680000010674121e-02 2.331549999962589936e-02 -2.533264499998040264e-01 2.361879882499997620e+02 -2.362048339499997383e+02 2.195129499996255618e-01 2.655000000231666490e-03 2.359696655999996437e+02 -2.359476623999998992e+02 -2.808227499995155085e-01 1.016234999997323030e-02 2.340088000000832835e-01 -9.674100000665930565e-03 2.066040000045177294e-02 1.031499999953666702e-02 -1.864630000000033760e-02 2.359703064000004815e+02 -2.360009765000004336e+02 -3.356999995958176441e-04 -2.398689999972702935e-02 0.000000000000000000e+00
8.500000000000000000e+00 4.271544999996876868e-01 -4.578247000004012079e-01 1.383514500003002468e-01 -1.220246499997301726e-01 2.372321778000000450e+02 -7.354750000104104402e-03 -2.372501526500000182e+02 2.372398529500001132e+02 -2.370960082999999941e+02 -1.478424500005530717e-01 1.361542500003452005e-01 -1.449589999992895173e-02 1.268004999974436942e-02 2.299499999980980647e-02 -1.656645999996726459e-01 2.372139892000000145e+02 -2.372349852000002102e+02 1.418150500003321213e-01 -5.645749999985127943e-03 2.370909728999999970e+02 -2.370806579500003863e+02 -1.598204499996427330e-01 3.021200000148382969e-03 1.288146499996400962e-01 3.646800000296934741e-03 2.250679999997373670e-02 3.509499999836407369e-03 -2.732854999976552790e-02 2.370841522499999883e+02 -2.371069793500000742e+02 3.662149999854591442e-03 -3.298949999998512794e-02 0.000000000000000000e+00
9.500000000000000000e+00 2.911529500001961424e-01 -3.078307999999196909e-01 3.034973499998159241e-01 1.567075000002660090e-02 2.370601960000003601e+02 -6.714000000101805199e-03 -2.370854797000001781e+02 2.370651857000002565e+02 -2.373690186500002710e+02 3.063354500000059488e-01 4.882500002167944331e-04 -3.281708000004073256e-01 7.186950000232172897e-03 3.323211500000979868e-01 -3.366699500002141576e-01 2.373478240999997979e+02 -2.373643188499995631e+02 3.056640499994500715e-01 -3.105010999997830368e-01 2.373721771000000444e+02 -2.373653411499994945e+02 2.935180999993463047e-01 -5.844099999649188248e-03 -1.342849999673489947e-03 1.017764999960490968e-02 1.750184999991688528e-02 1.342700000350305345e-03 -2.183525000054942211e-02 2.370434722499999225e+02 -2.370719909499998721e+02 5.340600000181439100e-03 -2.684014999977080151e-02 0.000000000000000000e+00
