# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000222e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000222e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000222e+00 1.000000000000000222e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999998890e-01 9.999999999999998890e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999998890e-01 1.000000000000000000e+00 9.999999999999998890e-01 9.999999999999998890e-01 1.000000000000000000e+00
1.000000000000000000e+00 7.391073808947649093e-01 6.804234145293927005e-01 7.443171978474989459e-01 7.215397466029214169e-01 9.902095662464561743e-01 9.903443191222237596e-01 6.995272429825328819e-01 9.910913495535771389e-01 8.348878794878422660e-01 9.918998403333816327e-01 7.456107060480872128e-01 7.248220947770490641e-01 6.726065570104360347e-01 9.907745853843971107e-01 7.847457874145412626e-01 9.904193641962730776e-01 6.840521298776411907e-01 7.539933879755496005e-01 6.635389930120380031e-01 6.105730001315832212e-01 7.209583571782789413e-01 9.903150811584031654e-01 9.895321266081095191e-01 9.904900284735728144e-01 9.913940328999226725e-01
2.000000000000000000e+00 4.157798241416109097e-01 2.743521300703443133e-01 4.802719954992654694e-01 4.140235953834533467e-01 9.727394161950250195e-01 9.730757306112948202e-01 3.098942363493927821e-01 9.759248153072893617e-01 6.701552989201106092e-01 9.776350175799251030e-01 4.346363276543492304e-01 3.493781945413789725e-01 2.089198004081476434e-01 9.759147005196613378e-01 5.688397675519168972e-01 9.747851590955822765e-01 3.427133004738104338e-01 4.038266767578020944e-01 2.567579916489314829e-01 1.672258133749594256e-01 4.442487255882143216e-01 9.748303307235572923e-01 9.721668977069287676e-01 9.751547289175522826e-01 9.772607707182292547e-01
3.000000000000000000e+00 2.547121082358659305e-01 1.276839951444008192e-01 3.871880644665082194e-01 3.095482341830542161e-01 9.512628749095650704e-01 9.523857681371793449e-01 1.629807391402427474e-01 9.586980024069646777e-01 5.888478229579431344e-01 9.596194981156697112e-01 2.638027338837536373e-01 1.402721386113996160e-01 -5.565238112042172891e-02 9.585975372560580077e-01 4.682001276529919598e-01 9.544458672868583182e-01 1.641147844930472555e-01 1.790188620497211169e-01 6.351607464830449912e-02 6.036594991562563989e-02 3.439086696536070575e-01 9.560374746408026869e-01 9.517392412539464885e-01 9.569722701344861582e-01 9.597176108579058562e-01
4.000000000000000000e+00 1.588465224084081029e-01 6.831909230718728743e-02 2.917516177715032688e-01 2.319572002536677557e-01 9.284408447070513493e-01 9.299853216192573990e-01 1.873950529280076216e-01 9.394203129707735522e-01 5.149284595230181338e-01 9.376629809814404082e-01 1.193894916739449003e-01 4.296766928609092179e-02 -1.655420259953730155e-01 9.385233582451381062e-01 3.777799579782283312e-01 9.303050281681721767e-01 -4.344121018509421173e-02 2.771229094921350000e-02 2.761089168716917772e-02 2.155973206781457846e-02 2.879994673583447518e-01 9.355256635386203223e-01 9.296927970199788671e-01 9.365206527109538603e-01 9.393886907631924243e-01
5.000000000000000000e+00 5.375706034351253326e-02 1.191779373593958476e-02 1.658848847048838282e-01 1.508463259738330731e-01 9.003690196584664962e-01 9.015658277529733367e-01 2.091361334706361708e-01 9.132068987453013653e-01 4.461794221145882200e-01 9.083221144789342949e-01 4.473388296500532824e-02 -3.395962275149701920e-02 -2.076452185104672998e-01 9.117530317337553258e-01 2.960453891990154074e-01 9.005196932138459509e-01 -1.318441834439022520e-01 -8.504375451689882848e-02 1.562348189391980953e-02 -3.372690557555616669e-02 2.228822462864953613e-01 9.086880669277522804e-01 9.017102959205693935e-01 9.093811125574187137e-01 9.118710942565351196e-01
6.000000000000000000e+00 -1.004933683154889644e-02 -2.148709030437681231e-02 9.642003875299952342e-02 1.182244077484596867e-01 8.690374811818737388e-01 8.694677935895223087e-01 1.294530280104064790e-01 8.829332748987575030e-01 4.264038775700881301e-01 8.761289412973477519e-01 6.936006837960843885e-02 -4.105824331300499119e-02 -1.670013145451739733e-01 8.814634908148215597e-01 2.240142578714976185e-01 8.686940121733756071e-01 -1.078461813788371693e-01 -1.537080633356237569e-01 -2.373795213642468371e-02 -3.649153296205712160e-02 1.516796258548409049e-01 8.771860320966358149e-01 8.698711748819638601e-01 8.779617239334162049e-01 8.804191772976196484e-01
7.000000000000000000e+00 -2.926317466789395139e-02 -4.930662640696104743e-02 8.552462138342467601e-02 1.213215203675729881e-01 8.366680643583923604e-01 8.372817094691606954e-01 3.212224161566531924e-03 8.517848562048114802e-01 3.853951153855662004e-01 8.448277191150388443e-01 1.438977924359394200e-01 1.287859423084943521e-02 -7.336203139870337009e-02 8.506398090007389889e-01 1.522950801024036405e-01 8.375817058065435639e-01 -1.002384486059433866e-01 -2.039015941130030707e-01 -8.910379246527166952e-02 -6.736599554469351048e-02 8.765236304194444494e-02 8.448355902129205397e-01 8.368494122883294306e-01 8.458978826134079254e-01 8.492034126491320167e-01
8.000000000000000000e+00 -3.594896138225994742e-02 -1.500825343793682487e-01 7.266977036964908376e-02 1.002678805102113629e-01 8.030978898317986392e-01 8.042405113084292179e-01 -2.235139389117370839e-02 8.197514895507754806e-01 3.149321651686391998e-01 8.125443172224618982e-01 2.136024952554894107e-01 9.949064146010690168e-02 -1.729488688774820371e-02 8.169191073539123771e-01 9.233603729161898865e-02 8.046027133213002891e-01 -1.048655352291127801e-01 -1.954655191516588009e-01 -8.942653283598915592e-02 -1.463708093595210251e-02 1.109220744449166823e-01 8.101512819980406510e-01 8.012833928229528002e-01 8.127048582337328408e-01 8.162866679392086766e-01
9.000000000000000000e+00 -2.141975186445396404e-02 -2.856250166622151809e-01 5.011784960139716028e-02 9.433652269210286712e-02 7.692819761845084425e-01 7.704532136568825740e-01 6.086893404709700639e-02 7.851436667666991109e-01 2.399996756479087501e-01 7.775626831609530054e-01 2.060540262339375372e-01 1.109657254504586021e-01 -4.443986890603842527e-02 7.803048970338125612e-01 5.071536093000954259e-02 7.689369030874941835e-01 -7.422356460287754532e-02 -1.218875171580807854e-01 -8.123363408406062205e-03 8.067618545741522817e-02 1.126236557577768582e-01 7.728495728183604196e-01 7.621332403971945446e-01 7.769573654208329350e-01 7.813579073503567063e-01
