# r	h_0	h_1	
5.000000000000000000e-01 5.085553283999999508e+02 6.972243041999998923e+02
1.500000000000000000e+00 5.089553223999999432e+02 6.966649780499997178e+02
2.500000000000000000e+00 5.095939941499999577e+02 6.969432984000000033e+02
3.500000000000000000e+00 5.092361602500001254e+02 6.972561645999996927e+02
4.500000000000000000e+00 5.095626526000000922e+02 6.970061645499999941e+02
5.500000000000000000e+00 5.098699951500000225e+02 6.975853271999994831e+02
6.500000000000000000e+00 5.093909911999999167e+02 6.979030151500001011e+02
7.500000000000000000e+00 5.100331726500003242e+02 6.972796630999991976e+02
8.500000000000000000e+00 5.106560059000003093e+02 6.966348267000003034e+02
9.500000000000000000e+00 5.110983275999997204e+02 6.960459899999996196e+02
1.050000000000000000e+01 5.117236632999997710e+02 6.955166626000009273e+02
1.150000000000000000e+01 5.123233031999998275e+02 6.951493225500007611e+02
1.250000000000000000e+01 5.135026448999997228e+02 6.944783630499996434e+02
1.350000000000000000e+01 5.148741759999993519e+02 6.947323608999995486e+02
1.450000000000000000e+01 5.147673340000001190e+02 6.942154846499988707e+02
1.550000000000000000e+01 5.145993347000003268e+02 6.945503539999990608e+02
1.650000000000000000e+01 5.152200317999995605e+02 6.948718261499998334e+02
1.750000000000000000e+01 5.159024963499996375e+02 6.945756836500004283e+02
1.850000000000000000e+01 5.165399780999996437e+02 6.942386779999997088e+02
1.950000000000000000e+01 5.169486694000006537e+02 6.945513305999993463e+02
2.050000000000000000e+01 5.175199890499998219e+02 6.948345032500001253e+02
2.150000000000000000e+01 5.181506348000002617e+02 6.942418517999994947e+02
2.250000000000000000e+01 5.185609741000007489e+02 6.936094971000002261e+02
2.350000000000000000e+01 5.197416585666663877e+02 6.930706787000017357e+02
2.450000000000000000e+01 5.211549988000006124e+02 6.935423583999981929e+02
2.550000000000000000e+01 5.208589783000006719e+02 6.929898072000014508e+02
2.650000000000000000e+01 5.210919800000010582e+02 6.932813109999988228e+02
2.750000000000000000e+01 5.215376586999991559e+02 6.935544738999997207e+02
2.850000000000000000e+01 5.221776733499991678e+02 6.929304809499990370e+02
2.950000000000000000e+01 5.228143310999985260e+02 6.925830078500002855e+02
3.050000000000000000e+01 5.234734802499988291e+02 6.932656859999988228e+02
3.150000000000000000e+01 5.232853394000012486e+02 6.935729980500000238e+02
3.250000000000000000e+01 5.231948243000006187e+02 6.922501678499993432e+02
3.350000000000000000e+01 5.238619996000015817e+02 6.904087728333348650e+02
3.450000000000000000e+01 5.244766541000008147e+02 6.892550048999983119e+02
3.550000000000000000e+01 5.249884948999988410e+02 6.896790161000026274e+02
3.650000000000000000e+01 5.243673095999984071e+02 6.872216695500004562e+02
3.750000000000000000e+01 5.240063171500005410e+02 6.837193359600001941e+02
3.850000000000000000e+01 5.235109864000005473e+02 6.819403381499978423e+02
3.950000000000000000e+01 5.233723449999997683e+02 6.815823365000032936e+02
4.050000000000000000e+01 5.239936524000004283e+02 6.809855347500015341e+02
4.150000000000000000e+01 5.246291809500016825e+02 6.803586730999995780e+02
4.250000000000000000e+01 5.244600219999992987e+02 6.797009887999993225e+02
4.350000000000000000e+01 5.244475098000002617e+02 6.791056823500002793e+02
4.450000000000000000e+01 5.249463195999996969e+02 6.784673461999991559e+02
4.550000000000000000e+01 5.243836670000018785e+02 6.777901611499983119e+02
4.650000000000000000e+01 5.240461730999995780e+02 6.771536560500026098e+02
4.750000000000000000e+01 5.233593139500007965e+02 6.765720214999964810e+02
4.850000000000000000e+01 5.235239867999989656e+02 6.762106628999972600e+02
4.950000000000000000e+01 5.241774901999997383e+02 6.755868530500010820e+02
5.050000000000000000e+01 5.248253173999983119e+02 6.758573607999933301e+02
5.150000000000000000e+01 5.260196737000005669e+02 6.762589721999975154e+02
5.250000000000000000e+01 5.272200318000031984e+02 6.765644836499996018e+02
5.350000000000000000e+01 5.274651794499986863e+02 6.759276428500015754e+02
5.450000000000000000e+01 5.271233216000000539e+02 6.753021545500014327e+02
5.550000000000000000e+01 5.269516602000003331e+02 6.746813050000055227e+02
5.650000000000000000e+01 5.269093323000015516e+02 6.740833130000028177e+02
5.750000000000000000e+01 5.274826660500002617e+02 6.734606933999966714e+02
5.850000000000000000e+01 5.269596557999975630e+02 6.729336547999992035e+02
5.950000000000000000e+01 5.274363404000032460e+02 6.725608215499960352e+02
6.050000000000000000e+01 5.268881531000006362e+02 6.718880004999955418e+02
6.150000000000000000e+01 5.274118652500001190e+02 6.713263244999980088e+02
6.250000000000000000e+01 5.271698303999983182e+02 6.706475220499996794e+02
6.350000000000000000e+01 5.274569702000007965e+02 6.702773438000003807e+02
6.450000000000000000e+01 5.278109741000007489e+02 6.696878357000023243e+02
6.550000000000000000e+01 5.271840087799995445e+02 6.690455017500062240e+02
6.650000000000000000e+01 5.256475219999992987e+02 6.684541625999991084e+02
6.750000000000000000e+01 5.250950317000024370e+02 6.678231506999945850e+02
6.850000000000000000e+01 5.243919067666671481e+02 6.672076721500052372e+02
6.950000000000000000e+01 5.231109924499978661e+02 6.665671691999959876e+02
7.050000000000000000e+01 5.226696777999968617e+02 6.658793335000009392e+02
7.150000000000000000e+01 5.221408387000010407e+02 6.653159790000063367e+02
7.250000000000000000e+01 5.215900269000012486e+02 6.649363098000030732e+02
7.350000000000000000e+01 5.194973389000006136e+02 6.642864990000016405e+02
7.450000000000000000e+01 5.178026428500015754e+02 6.637194825000042329e+02
7.550000000000000000e+01 5.173266601999930572e+02 6.632466431000066223e+02
7.650000000000000000e+01 5.168248291500058258e+02 6.630709838999973726e+02
7.750000000000000000e+01 5.162061767499981215e+02 6.637219848999957321e+02
7.850000000000000000e+01 5.156133422999992035e+02 6.655838623399992002e+02
7.950000000000000000e+01 5.150036621499966714e+02 6.674536743000062415e+02
8.050000000000000000e+01 5.143381652999960352e+02 6.678993530000007013e+02
8.150000000000000000e+01 5.136928100500008441e+02 6.684946593999993638e+02
8.250000000000000000e+01 5.130965271000022767e+02 6.691430053999938536e+02
8.350000000000000000e+01 5.126113280999998096e+02 6.695809937000012724e+02
8.450000000000000000e+01 5.121279907999996794e+02 6.690679931499980739e+02
8.550000000000000000e+01 5.123703612999961479e+02 6.696184997999953339e+02
8.650000000000000000e+01 5.112294413666677428e+02 6.702653198000043631e+02
8.750000000000000000e+01 5.104966431000066223e+02 6.714580891999988808e+02
8.850000000000000000e+01 5.099416503999964334e+02 6.725653076000016881e+02
8.950000000000000000e+01 5.096094971000056830e+02 6.731693421000018134e+02
9.050000000000000000e+01 5.094013367000006838e+02 6.737826537999935681e+02
9.150000000000000000e+01 5.089489899000036530e+02 6.756415283400012868e+02
9.250000000000000000e+01 5.083693237500046962e+02 6.774550171000009868e+02
9.350000000000000000e+01 5.081128387500029930e+02 6.778736572000052547e+02
9.450000000000000000e+01 5.087449951000016881e+02 6.784784851000003982e+02
9.550000000000000000e+01 5.091579590000037570e+02 6.791430053999938536e+02
9.650000000000000000e+01 5.098188019000008353e+02 6.795363158999971347e+02
9.750000000000000000e+01 5.095728149499991559e+02 6.815686035600025434e+02
9.850000000000000000e+01 5.090070037999976194e+02 6.833460082999954466e+02
9.950000000000000000e+01 5.085280152000050293e+02 6.837930297999992035e+02
1.005000000000000000e+02 5.080159912000017357e+02 6.848689778999978444e+02
1.015000000000000000e+02 5.073693237499974202e+02 6.867725626666651806e+02
1.025000000000000000e+02 5.067095031999997445e+02 6.881875000500076567e+02
1.035000000000000000e+02 5.061043244000029517e+02 6.888253174000128638e+02
1.045000000000000000e+02 5.054766540499986149e+02 6.892436524000077043e+02
1.055000000000000000e+02 5.048158417500017094e+02 6.898655090499960352e+02
1.065000000000000000e+02 5.042906799000047613e+02 6.905120239999960177e+02
1.075000000000000000e+02 5.039416504000037094e+02 6.911450195999932475e+02
1.085000000000000000e+02 5.041170044000027701e+02 6.917403564999985974e+02
1.095000000000000000e+02 5.047903442500028177e+02 6.921526488999952562e+02
1.105000000000000000e+02 5.044723510999974678e+02 6.916116943500092020e+02
1.115000000000000000e+02 5.041920166000054451e+02 6.921485290999989957e+02
1.125000000000000000e+02 5.036175079500026186e+02 6.920949707000108901e+02
1.135000000000000000e+02 5.033199920500046574e+02 6.919546508499915944e+02
1.145000000000000000e+02 5.030221710500045447e+02 6.925546265000011772e+02
1.155000000000000000e+02 5.033506774999987101e+02 6.931506653499964159e+02
1.165000000000000000e+02 5.036028442500028177e+02 6.928853454999916721e+02
1.175000000000000000e+02 5.030840148999996018e+02 6.932219849000102840e+02
1.185000000000000000e+02 5.036938324000002467e+02 6.935509948999970220e+02
1.195000000000000000e+02 5.043410033999971347e+02 6.929692993999924511e+02
1.205000000000000000e+02 5.047940063999994891e+02 6.932267659666637201e+02
1.215000000000000000e+02 5.042689972000007401e+02 6.942616577000007965e+02
1.225000000000000000e+02 5.047886810500058345e+02 6.946716919000027701e+02
1.235000000000000000e+02 5.047513122999953339e+02 6.952986755500023719e+02
1.245000000000000000e+02 5.045748138499984634e+02 6.959489746000035666e+02
1.255000000000000000e+02 5.051903076000016881e+02 6.954524841499951435e+02
1.265000000000000000e+02 5.058316345000057481e+02 6.957516480000049341e+02
1.275000000000000000e+02 5.064683228000067174e+02 6.960599976000085007e+02
1.285000000000000000e+02 5.068890075999952387e+02 6.955880126999982167e+02
1.295000000000000000e+02 5.075055084500054363e+02 6.962090148999996018e+02
