# r	vx_0	vx_1	
5.000000000000000000e-01 1.886689757999999415e+02 0.000000000000000000e+00
1.500000000000000000e+00 1.877096556499997746e+02 0.000000000000000000e+00
2.500000000000000000e+00 1.873493042500000456e+02 0.000000000000000000e+00
3.500000000000000000e+00 1.880200043499995672e+02 0.000000000000000000e+00
4.500000000000000000e+00 1.874435119499999018e+02 0.000000000000000000e+00
5.500000000000000000e+00 1.877153320499994607e+02 0.000000000000000000e+00
6.500000000000000000e+00 1.885120239500001844e+02 0.000000000000000000e+00
7.500000000000000000e+00 1.872464904499988734e+02 0.000000000000000000e+00
8.500000000000000000e+00 1.859788207999999941e+02 0.000000000000000000e+00
9.500000000000000000e+00 1.849476623999998992e+02 0.000000000000000000e+00
1.050000000000000000e+01 1.837929993000011564e+02 0.000000000000000000e+00
1.150000000000000000e+01 1.828260193500009336e+02 0.000000000000000000e+00
1.250000000000000000e+01 1.809757181499999206e+02 0.000000000000000000e+00
1.350000000000000000e+01 1.798581849000001966e+02 0.000000000000000000e+00
1.450000000000000000e+01 1.794481506499987518e+02 0.000000000000000000e+00
1.550000000000000000e+01 1.799510192999987339e+02 0.000000000000000000e+00
1.650000000000000000e+01 1.796517943500002730e+02 0.000000000000000000e+00
1.750000000000000000e+01 1.786731873000007909e+02 0.000000000000000000e+00
1.850000000000000000e+01 1.776986999000000651e+02 0.000000000000000000e+00
1.950000000000000000e+01 1.776026611999986926e+02 0.000000000000000000e+00
2.050000000000000000e+01 1.773145142000003034e+02 0.000000000000000000e+00
2.150000000000000000e+01 1.760912169999992329e+02 0.000000000000000000e+00
2.250000000000000000e+01 1.750485229999994772e+02 0.000000000000000000e+00
2.350000000000000000e+01 1.733290201333353480e+02 0.000000000000000000e+00
2.450000000000000000e+01 1.723873595999975805e+02 0.000000000000000000e+00
2.550000000000000000e+01 1.721308289000007790e+02 0.000000000000000000e+00
2.650000000000000000e+01 1.721893309999977646e+02 0.000000000000000000e+00
2.750000000000000000e+01 1.720168152000005648e+02 0.000000000000000000e+00
2.850000000000000000e+01 1.707528075999998691e+02 0.000000000000000000e+00
2.950000000000000000e+01 1.697686767500017595e+02 0.000000000000000000e+00
3.050000000000000000e+01 1.697922057499999937e+02 0.000000000000000000e+00
3.150000000000000000e+01 1.702876586499987752e+02 0.000000000000000000e+00
3.250000000000000000e+01 1.690553435499987245e+02 0.000000000000000000e+00
3.350000000000000000e+01 1.665467732333332833e+02 0.000000000000000000e+00
3.450000000000000000e+01 1.647783507999974972e+02 0.000000000000000000e+00
3.550000000000000000e+01 1.646905212000037864e+02 0.000000000000000000e+00
3.650000000000000000e+01 1.628543599500020491e+02 0.000000000000000000e+00
3.750000000000000000e+01 1.597130188099996531e+02 0.000000000000000000e+00
3.850000000000000000e+01 1.584293517499972950e+02 0.000000000000000000e+00
3.950000000000000000e+01 1.582099915000035253e+02 0.000000000000000000e+00
4.050000000000000000e+01 1.569918823500011058e+02 0.000000000000000000e+00
4.150000000000000000e+01 1.557294921499978955e+02 0.000000000000000000e+00
4.250000000000000000e+01 1.552409668000000238e+02 0.000000000000000000e+00
4.350000000000000000e+01 1.546581725500000175e+02 0.000000000000000000e+00
4.450000000000000000e+01 1.535210265999994590e+02 0.000000000000000000e+00
4.550000000000000000e+01 1.534064941499964334e+02 0.000000000000000000e+00
4.650000000000000000e+01 1.531074829500030319e+02 0.000000000000000000e+00
4.750000000000000000e+01 1.532127075499956845e+02 0.000000000000000000e+00
4.850000000000000000e+01 1.526866760999982944e+02 0.000000000000000000e+00
4.950000000000000000e+01 1.514093628500013438e+02 0.000000000000000000e+00
5.050000000000000000e+01 1.510320433999950183e+02 0.000000000000000000e+00
5.150000000000000000e+01 1.502392984999969485e+02 0.000000000000000000e+00
5.250000000000000000e+01 1.493444518499964033e+02 0.000000000000000000e+00
5.350000000000000000e+01 1.484624634000028891e+02 0.000000000000000000e+00
5.450000000000000000e+01 1.481788329500013788e+02 0.000000000000000000e+00
5.550000000000000000e+01 1.477296448000051896e+02 0.000000000000000000e+00
5.650000000000000000e+01 1.471739807000012661e+02 0.000000000000000000e+00
5.750000000000000000e+01 1.459780273499964096e+02 0.000000000000000000e+00
5.850000000000000000e+01 1.459739990000016405e+02 0.000000000000000000e+00
5.950000000000000000e+01 1.451244811499927891e+02 0.000000000000000000e+00
6.050000000000000000e+01 1.449998473999949056e+02 0.000000000000000000e+00
6.150000000000000000e+01 1.439144592499978899e+02 0.000000000000000000e+00
6.250000000000000000e+01 1.434776916500013613e+02 0.000000000000000000e+00
6.350000000000000000e+01 1.428203735999995843e+02 0.000000000000000000e+00
6.450000000000000000e+01 1.418768616000015754e+02 0.000000000000000000e+00
6.550000000000000000e+01 1.418614929700066796e+02 0.000000000000000000e+00
6.650000000000000000e+01 1.428066405999998096e+02 0.000000000000000000e+00
6.750000000000000000e+01 1.427281189999921480e+02 0.000000000000000000e+00
6.850000000000000000e+01 1.428157653833380891e+02 0.000000000000000000e+00
6.950000000000000000e+01 1.434561767499981215e+02 0.000000000000000000e+00
7.050000000000000000e+01 1.432096557000040775e+02 0.000000000000000000e+00
7.150000000000000000e+01 1.431751403000052960e+02 0.000000000000000000e+00
7.250000000000000000e+01 1.433462829000018246e+02 0.000000000000000000e+00
7.350000000000000000e+01 1.447891601000010269e+02 0.000000000000000000e+00
7.450000000000000000e+01 1.459168396500026574e+02 0.000000000000000000e+00
7.550000000000000000e+01 1.459199829000135651e+02 0.000000000000000000e+00
7.650000000000000000e+01 1.462461547499915469e+02 0.000000000000000000e+00
7.750000000000000000e+01 1.475158081499976106e+02 0.000000000000000000e+00
7.850000000000000000e+01 1.499705200399999967e+02 0.000000000000000000e+00
7.950000000000000000e+01 1.524500121500095702e+02 0.000000000000000000e+00
8.050000000000000000e+01 1.535611877000046661e+02 0.000000000000000000e+00
8.150000000000000000e+01 1.548018493499985198e+02 0.000000000000000000e+00
8.250000000000000000e+01 1.560464782999915769e+02 0.000000000000000000e+00
8.350000000000000000e+01 1.569696656000014627e+02 0.000000000000000000e+00
8.450000000000000000e+01 1.569400023499983945e+02 0.000000000000000000e+00
8.550000000000000000e+01 1.572481384999991860e+02 0.000000000000000000e+00
8.650000000000000000e+01 1.590358784333366202e+02 0.000000000000000000e+00
8.750000000000000000e+01 1.609614460999922585e+02 0.000000000000000000e+00
8.850000000000000000e+01 1.626236572000052547e+02 0.000000000000000000e+00
8.950000000000000000e+01 1.635598449999961304e+02 0.000000000000000000e+00
9.050000000000000000e+01 1.643813170999928843e+02 0.000000000000000000e+00
9.150000000000000000e+01 1.666925384399976338e+02 0.000000000000000000e+00
9.250000000000000000e+01 1.690856933499962906e+02 0.000000000000000000e+00
9.350000000000000000e+01 1.697608184500022617e+02 0.000000000000000000e+00
9.450000000000000000e+01 1.697334899999987101e+02 0.000000000000000000e+00
9.550000000000000000e+01 1.699850463999900967e+02 0.000000000000000000e+00
9.650000000000000000e+01 1.697175139999962994e+02 0.000000000000000000e+00
9.750000000000000000e+01 1.719957886100033875e+02 0.000000000000000000e+00
9.850000000000000000e+01 1.743390044999978272e+02 0.000000000000000000e+00
9.950000000000000000e+01 1.752650145999941742e+02 0.000000000000000000e+00
1.005000000000000000e+02 1.768529866999961087e+02 0.000000000000000000e+00
1.015000000000000000e+02 1.794032389166677603e+02 0.000000000000000000e+00
1.025000000000000000e+02 1.814779968500079121e+02 0.000000000000000000e+00
1.035000000000000000e+02 1.827209930000099121e+02 0.000000000000000000e+00
1.045000000000000000e+02 1.837669983500090893e+02 0.000000000000000000e+00
1.055000000000000000e+02 1.850496672999943257e+02 0.000000000000000000e+00
1.065000000000000000e+02 1.862213440999912564e+02 0.000000000000000000e+00
1.075000000000000000e+02 1.872033691999895382e+02 0.000000000000000000e+00
1.085000000000000000e+02 1.876233520999958273e+02 0.000000000000000000e+00
1.095000000000000000e+02 1.873623046499924385e+02 0.000000000000000000e+00
1.105000000000000000e+02 1.871393432500117342e+02 0.000000000000000000e+00
1.115000000000000000e+02 1.879565124999935506e+02 0.000000000000000000e+00
1.125000000000000000e+02 1.884774627500082715e+02 0.000000000000000000e+00
1.135000000000000000e+02 1.886346587999869371e+02 0.000000000000000000e+00
1.145000000000000000e+02 1.895324554499966325e+02 0.000000000000000000e+00
1.155000000000000000e+02 1.897999878499977058e+02 0.000000000000000000e+00
1.165000000000000000e+02 1.892825012499888544e+02 0.000000000000000000e+00
1.175000000000000000e+02 1.901379700000106823e+02 0.000000000000000000e+00
1.185000000000000000e+02 1.898571624999967753e+02 0.000000000000000000e+00
1.195000000000000000e+02 1.886282959999953164e+02 0.000000000000000000e+00
1.205000000000000000e+02 1.884327595666642310e+02 0.000000000000000000e+00
1.215000000000000000e+02 1.899926605000000563e+02 0.000000000000000000e+00
1.225000000000000000e+02 1.898830108499969356e+02 0.000000000000000000e+00
1.235000000000000000e+02 1.905473632500070380e+02 0.000000000000000000e+00
1.245000000000000000e+02 1.913741607500051032e+02 0.000000000000000000e+00
1.255000000000000000e+02 1.902621765499934554e+02 0.000000000000000000e+00
1.265000000000000000e+02 1.899200134999991860e+02 0.000000000000000000e+00
1.275000000000000000e+02 1.895916748000017833e+02 0.000000000000000000e+00
1.285000000000000000e+02 1.886990051000029780e+02 0.000000000000000000e+00
1.295000000000000000e+02 1.887035064499941655e+02 0.000000000000000000e+00
