# r	vx_0	vx_1	vx_2	vx_3	vx_4	
-8.986761492783585936e-01 1.354813100000001186e-03 -7.275237999999717518e-04 5.681862999999794323e-04 1.822166250000236776e-04 -8.209897500000806997e-05
1.013238507216414064e-01 1.190852650000010686e-03 -1.168650149999962131e-03 1.205886824999993214e-03 -1.316737500002318527e-05 -5.059610999999790849e-04
1.101323850721641406e+00 1.260689700000057218e-03 -1.256088200000022009e-03 1.701285799999993848e-03 -4.823908999999843906e-04 -6.392473749999680495e-04
2.101323850721641406e+00 2.037246391666627885e-03 -1.257702824999910266e-03 1.300296799999955434e-03 -8.091022500002509083e-05 -9.221088875000021338e-04
3.101323850721641406e+00 2.278398974999959296e-03 -7.921571499998662997e-04 6.309852333332913047e-04 9.782411666660095805e-05 -9.644360750000373697e-04
4.101323850721641406e+00 1.749337200000013626e-03 -8.070368499999176900e-04 4.894322999998621231e-04 1.193819000000075856e-04 -5.163299999999253643e-04
5.101323850721641406e+00 2.125321399999847809e-03 -1.382273199999872401e-03 2.509242499999402086e-04 3.754819500000792457e-04 -7.306833500001630585e-04
6.101323850721641406e+00 2.114385149999975424e-03 -1.118639000000030189e-03 -6.008663249999700003e-04 9.707899249998490744e-04 -7.985701749997815586e-04
7.101323850721641406e+00 1.159738206250040052e-03 -1.403776175000075437e-03 -1.109381699999857987e-03 1.915219799999818033e-03 -1.379054074999999050e-03
8.101323850721641406e+00 -1.146573708333193005e-03 -1.023955799999953439e-03 -1.102770350000014310e-03 2.472362049999901439e-03 -1.373847950000026651e-03
9.101323850721641406e+00 -1.850889699999925088e-03 -6.600489750001088543e-04 -9.244403749999037479e-04 2.534066199999870147e-03 -1.214883799999825001e-03
1.010132385072164141e+01 -1.532464349999969420e-03 -4.344832000000167045e-04 -1.319391549999778630e-03 2.585655200000019222e-03 -1.145655649999980687e-03
1.110132385072164141e+01 -1.547975525000083600e-03 -1.231191666732911573e-06 -1.045006283333492535e-03 2.579912175000117873e-03 -1.138856425000085411e-03
1.210132385072164141e+01 -1.486361000000215385e-03 4.077953999999408522e-04 -8.395776749998731499e-04 1.913682225000002237e-03 -5.890419499999097934e-04
1.310132385072164141e+01 -1.268383824999858673e-03 2.796940749999521402e-04 -2.711553499998444567e-04 1.073498249999829636e-03 -6.993718250000711435e-04
1.410132385072164141e+01 -1.106639874999927955e-03 1.981450000016593522e-05 -1.707296250003764834e-04 7.610635500000171834e-04 -2.768354249997173459e-04
1.510132385072164141e+01 -1.418609624999817237e-03 2.235355749996870177e-04 -7.659068249995470935e-04 6.613197249996573702e-04 1.789197999999032494e-04
1.610132385072164141e+01 -1.685563099999853832e-03 2.673644750002494982e-04 -1.325483325000277471e-03 1.153371350000270560e-03 3.097476750003807047e-04
1.710132385072164141e+01 -1.128421325000090319e-03 3.192496500000743462e-04 -1.194542900000215022e-03 6.774964500004898669e-04 8.431615499998770628e-04
1.810132385072164141e+01 -1.004568425000343249e-03 -1.368617500020263853e-05 -6.218432999994547104e-04 5.761524999979883340e-05 1.267897599999741982e-03
1.910132385072164141e+01 -1.661836039999627611e-03 8.069704999979876545e-05 -5.570363750002797548e-04 6.816432500045266352e-05 1.447068366666059199e-03
2.010132385072164141e+01 -1.865907699999297658e-03 -7.937382500040257507e-05 -4.822967499967489689e-05 2.476968499995564122e-04 1.695331599999917596e-03
2.110132385072164141e+01 -1.898496150000482906e-03 -4.266309999957229734e-05 -8.167365000008430375e-05 7.365656499996475369e-04 1.249963700000080238e-03
2.210132385072164141e+01 -2.460346224999739300e-03 5.635947999999189016e-04 -5.756387500005076150e-04 1.243144025000219623e-03 5.926780750000943711e-04
2.310132385072164141e+01 -2.394528400000126706e-03 6.011677000005875501e-04 -6.139927000003808470e-04 1.136667725000279489e-03 5.630012249998798783e-04
2.410132385072164141e+01 -2.589794649999475982e-03 4.259014499998556975e-04 -4.510331249998671631e-04 1.327703474999452704e-03 2.736415750005107787e-04
2.510132385072164141e+01 -1.816463658333617587e-03 -7.691496166663966622e-04 1.815109249996567202e-04 1.223274699999819934e-03 7.610462500042558813e-05
2.610132385072164141e+01 -7.201500250002936324e-04 -1.120166775000143401e-03 8.726547500009474388e-05 1.088826674999836611e-03 4.688454999995883240e-05
2.710132385072164141e+01 -6.000132499993924336e-04 -6.639265999997405509e-04 -2.397680000058244413e-05 5.957183999998960167e-04 3.220460000011371243e-05
2.810132385072164141e+01 -4.748502000002190453e-04 -4.171862499997587418e-04 -4.153938500003277853e-04 7.625365750000128459e-04 -1.677313249992948751e-04
2.910132385072164141e+01 -2.520754999932250806e-05 -2.689442500000041158e-04 -9.855914000004304190e-04 1.211093900000378152e-03 -3.023567000000184431e-04
3.010132385072164141e+01 -3.077697499998066719e-04 6.115064499999789535e-04 -1.680228225000064343e-03 1.227125175000310167e-03 1.503868249997140178e-04
3.110132385072164141e+01 -1.009469666666205998e-03 9.543021416661758320e-04 -1.839678724999885186e-03 1.243023850000099604e-03 6.320552749994021212e-04
3.210132385072164141e+01 -1.156156062500031173e-03 8.483273124998049614e-04 -1.462974250000115793e-03 1.097950950000267786e-03 6.663732500001060639e-04
3.310132385072164141e+01 -1.342809175001093624e-03 1.293569550000029300e-03 -1.330034724999677601e-03 5.224604750001162617e-04 7.938050999991901014e-04
3.410132385072164141e+01 -1.049159241666842383e-03 7.135758499998701154e-04 -1.206602075000773799e-03 9.397087000011197138e-04 2.658906000001479445e-04
3.510132385072164141e+01 -3.860824249995857571e-04 -1.126524999926914466e-05 -1.095175250000465957e-03 1.061540099999547194e-03 -2.783110000018496004e-05
3.610132385072164141e+01 7.413050833329179771e-04 -7.703767499997411566e-04 -5.650630000000091959e-04 5.785026500007006689e-04 -3.724612833339051494e-04
3.710132385072164141e+01 1.633980133333039859e-03 -1.149485933333067953e-03 -5.302486000000499518e-04 7.034077250000337180e-04 -7.790360249991863011e-04
3.810132385072164141e+01 2.660613025001111898e-03 -1.559389099999862124e-03 -1.071125050000773732e-03 1.201723125000171482e-03 -1.243430875000740279e-03
3.910132385072164141e+01 1.997636775000500957e-03 -1.408603675001359086e-03 -8.555812999984481818e-04 8.658332999984850271e-04 -6.179828749991429044e-04
4.010132385072164141e+01 1.306419375000587076e-03 -8.935136874997624910e-04 -8.590655375001006368e-04 4.890055750001920300e-04 2.121160000024247029e-05
4.110132385072164141e+01 7.816935000009835131e-04 -1.669999983278103260e-08 -1.326155175000167221e-03 2.870794833330876173e-04 -3.105388333338510490e-05
4.210132385072164141e+01 7.637219249991176410e-04 -1.105656749996342130e-04 -1.188752150000255007e-03 5.852308499997889305e-04 -3.073315000074217264e-05
4.310132385072164141e+01 6.416229999995266570e-04 -5.241154999930586124e-05 -1.183920374999615976e-03 6.871657250003409016e-04 9.321929999987333510e-05
4.410132385072164141e+01 5.517988000001423487e-04 -3.026709499999924642e-04 -9.860954499999934151e-04 2.408962749996135136e-04 7.483207999994192670e-04
4.510132385072164141e+01 9.588885250004750309e-04 -8.904895749992647325e-04 -4.146730875008870754e-04 -8.009793624996746492e-04 1.563329366666351816e-03
4.610132385072164141e+01 1.366240524999739114e-03 -1.292816175000552912e-03 -1.748799999950279092e-05 -1.781049750000420319e-03 2.124903250000898056e-03
4.710132385072164141e+01 1.390572550000797585e-03 -1.334273350001239982e-03 2.915665000000444669e-05 -1.957400249999409394e-03 2.328097775000060113e-03
4.810132385072164141e+01 1.456569649999437310e-03 -1.359880924999742977e-03 -2.037796750009874928e-04 -1.383661749999191663e-03 2.030735474999346372e-03
4.910132385072164141e+01 1.500478750001093533e-03 -1.262270925000848285e-03 -1.241857224999563325e-03 -4.192632000006995012e-04 1.488096275001225951e-03
5.010132385072164141e+01 1.281892750000224656e-03 -9.885330249999242126e-04 -1.879507975000706136e-03 2.614812500005427682e-04 1.405095099999925960e-03
5.110132385072164141e+01 1.309174050000365148e-03 -1.599591250001140049e-03 -1.545011499999418385e-03 6.410565249998399166e-04 1.140649325000595102e-03
5.210132385072164141e+01 1.425558099999761890e-03 -1.980274225000357505e-03 -9.853236499993726569e-04 4.041983750003055290e-04 1.317872524999074910e-03
5.310132385072164141e+01 1.338058475000252715e-03 -2.055198649999511080e-03 -3.382616250000864810e-04 3.764638749998994172e-04 1.220289250000860127e-03
5.410132385072164141e+01 4.904037833333347619e-04 -1.697863733332582135e-03 -3.589870000087103010e-05 9.540550001474912712e-06 1.210425399998712320e-03
5.510132385072164141e+01 3.700542500009760074e-04 -1.606163050000759471e-03 1.442885249998653431e-04 3.356727249999096291e-04 8.934799749998489525e-04
5.610132385072164141e+01 3.922653499994339888e-04 -1.712022799998521748e-03 1.510290999985954843e-04 9.668355000003429770e-04 3.623624250003558965e-04
5.710132385072164141e+01 2.419939250003153562e-04 -1.011736849999579028e-03 7.471049999367096373e-06 1.111671950000527520e-03 -1.617474750009932996e-04
5.810132385072164141e+01 2.042627500031812815e-05 -8.411950999998225355e-04 -3.829598500005886226e-04 1.498887050000121193e-03 -6.549787499898230018e-05
5.910132385072164141e+01 1.119757260000369629e-03 -1.224230749999151088e-03 -5.002050500006589807e-04 1.834604749999925758e-03 -9.522041666664904564e-05
6.010132385072164141e+01 1.561104774998966702e-03 -1.343712800000503287e-03 -5.666305999993710837e-04 1.851819300000897813e-03 1.474027999993268300e-04
6.110132385072164141e+01 1.386044525002034806e-03 -1.364394175000597891e-03 -6.308082500072486633e-05 1.346451774999877669e-03 -6.649444999948173269e-05
6.210132385072164141e+01 1.769991837498309907e-03 -1.325613474999045097e-03 5.903722499988361722e-05 5.910248500003945039e-04 -9.178539999902568557e-05
6.310132385072164141e+01 1.952320100001088583e-03 -7.496543000015663295e-04 -2.899219999926572070e-05 7.696149999901536653e-06 3.824329999952169769e-05
6.410132385072164141e+01 1.976752775000932376e-03 -7.282266750007693667e-04 -6.518616999992445484e-04 1.619205500001044012e-04 -2.852725000047939727e-05
6.510132385072164141e+01 1.994819625000673283e-03 -2.194566750004014468e-04 -1.264717099998961206e-03 1.343450499998652934e-04 5.202670249991569714e-04
6.610132385072164141e+01 1.803985450000254861e-03 -7.644494999840390599e-05 -1.684154500000658921e-03 4.314155499996559420e-04 7.452998249991651687e-04
6.710132385072164141e+01 1.914867349998530593e-03 -1.239900499967916295e-04 -1.325907200001893169e-03 1.106810500004939995e-04 5.779681000003620422e-04
6.810132385072164141e+01 2.417348824999862849e-03 -1.921753750011703300e-04 -1.319504249999226822e-03 1.271157249993848457e-04 4.495839999999589058e-04
6.910132385072164141e+01 2.171080774999922022e-03 -4.196421499994755868e-04 -7.621059249995595962e-04 4.542308332617039632e-06 1.062336166663442339e-04
7.010132385072164141e+01 1.145709499998702127e-03 8.025742500103660241e-05 -1.223044500002288388e-04 -8.683965000000171228e-05 1.354413000017302786e-04
7.110132385072164141e+01 6.483469000013428228e-04 6.056265499992150676e-04 9.686044999943988279e-05 -6.465063500018004708e-04 6.638469750014337019e-04
7.210132385072164141e+01 1.223025499990910796e-04 9.839926000004197305e-04 -1.955170500004897022e-04 -7.371201999994810234e-04 5.121798500003933979e-04
7.310132385072164141e+01 3.983447499922476611e-05 5.891323000032570693e-04 3.142805249990487980e-04 -5.018925625008705199e-04 2.374183208327451731e-04
7.410132385072164141e+01 9.551666666084201383e-06 9.723028333488059800e-05 7.586831999979039938e-04 -2.389192499867931550e-05 -3.315017500244721180e-05
7.510132385072164141e+01 1.540587000008599783e-04 -3.923094166654266359e-04 8.765959916660505781e-04 -1.049547250004252393e-04 -3.181660699992789861e-04
7.610132385072164141e+01 2.049513250003656055e-04 1.163670000096317462e-05 5.436868749984568672e-04 -7.221913499997754298e-04 -1.700076999986777158e-04
7.710132385072164141e+01 -2.651406666760180872e-05 1.382942166661962295e-04 6.073961499987490546e-04 -8.375811749992863320e-04 -4.714355500000237979e-04
7.810132385072164141e+01 -3.190755750001699181e-04 3.517661250007222224e-04 2.841157750008278761e-04 -8.093604999994568391e-04 -5.820026500005042423e-04
7.910132385072164141e+01 -1.655501999994157770e-04 -1.075973500010150071e-04 2.737517250025121016e-04 -8.577457500118157907e-05 -1.066322175000692513e-03
8.010132385072164141e+01 1.321506500007672000e-04 -6.612758750015927884e-04 6.245098250001319918e-04 -8.535099999971862569e-05 -1.332799875001001088e-03
8.110132385072164141e+01 8.468054999684682181e-05 -6.137547749985969737e-04 1.039638549998926458e-03 2.163958500022999953e-04 -1.979635274999964195e-03
8.210132385072164141e+01 4.883384999993722810e-05 -2.607631749997381268e-04 7.208223249981529331e-04 7.264127750004263119e-04 -2.635595799998554940e-03
8.310132385072164141e+01 -4.239630249994661673e-04 1.615776749986252872e-04 2.823457500016957121e-04 8.700399499994091856e-04 -2.291826700000456317e-03
8.410132385072164141e+01 -5.381288500011578062e-04 -1.412486999997781807e-04 6.265678250001655882e-04 7.938623500012908585e-04 -1.890506058332903092e-03
8.510132385072164141e+01 -5.749463750016729508e-04 -6.145954999919922871e-05 4.293251250019238918e-04 9.143070999980409345e-04 -1.401870249999774293e-03
8.610132385072164141e+01 -3.039827166685427117e-04 2.484874500005389828e-04 -8.973119999791379076e-05 1.363697049997426858e-03 -1.234537124999405969e-03
8.710132385072164141e+01 2.430532500147819541e-05 -1.840925083342881408e-04 1.697721333330264233e-04 1.325640700000803958e-03 -7.232169999988400776e-04
8.810132385072164141e+01 4.938888500000758030e-04 -1.311207274999105733e-03 1.284311249999518702e-03 7.409167749992775272e-04 -5.946598499995161798e-04
8.910132385072164141e+01 9.085457999996435392e-04 -1.385756499999843102e-03 1.288036850000935304e-03 6.223054000001865911e-04 -5.490126750009949666e-04
9.010132385072164141e+01 1.495288349999100231e-03 -9.517807749980420305e-04 1.093556849999003993e-03 3.356481000009807719e-04 -6.435490000003483415e-04
9.110132385072164141e+01 2.087224949998926684e-03 -5.881414374998712160e-04 3.035440374987956737e-04 1.673670000000129277e-04 -9.342862499943294563e-05
9.210132385072164141e+01 1.904913424998085168e-03 3.129267750009603172e-04 -2.411032500094734224e-05 -4.681711499979428594e-04 6.553965000002790657e-04
9.310132385072164141e+01 1.747913375000280205e-03 4.238242999999784180e-04 -3.231999999843537656e-05 -5.026883999998971869e-04 1.185884925000209571e-03
9.410132385072164141e+01 1.992008699999132850e-03 -1.100840749986673497e-04 1.739244499985943468e-04 -4.458393749991955532e-04 9.485225500011438410e-04
9.510132385072164141e+01 1.733239175000562786e-03 1.487407749991689410e-04 2.697286500006157266e-04 -5.823755000001256061e-04 6.260642500001267893e-04
9.610132385072164141e+01 1.463255425000170367e-03 2.166023499976290614e-04 3.456279166681781477e-04 -9.400879416668032765e-04 8.333382749988231747e-04
9.710132385072164141e+01 1.273235783332580607e-03 2.182326500005729044e-04 1.219515799999498946e-03 -1.255838400000357062e-03 8.096570999987307352e-04
9.810132385072164141e+01 1.250242224999965424e-03 6.031559999973978706e-05 1.304227324999374018e-03 -7.797479250002651999e-04 2.267260500011616421e-04
9.910132385072164141e+01 1.234927974999067190e-03 -7.806134249985916462e-04 1.789858849999291079e-03 -1.089119950000167663e-03 4.839057999997748902e-04
1.001013238507216414e+02 1.633625474998552738e-03 -1.499314774999220470e-03 1.973199849999218713e-03 -1.236800200000288822e-03 5.461817499999596735e-04
1.011013238507216414e+02 1.645209275000524864e-03 -1.249656491665518876e-03 1.101723066667546031e-03 -1.120415250001315045e-03 1.728388500000448786e-03
1.021013238507216414e+02 2.298030849999122254e-03 -1.480807299998559848e-03 4.203357666653175818e-04 -3.521328166649766471e-04 2.448881174997950567e-03
1.031013238507216414e+02 2.592696149999028626e-03 -1.308450199998333063e-03 -3.067741500017291375e-04 1.290769750012259371e-04 2.720457075000013054e-03
1.041013238507216414e+02 2.035791874999631681e-03 -6.853985500019916903e-04 -7.483148749979591030e-04 1.354980500000237977e-04 3.294249049997233746e-03
1.051013238507216414e+02 1.939472199999727310e-03 -8.618869749989244459e-04 -5.536193749994709149e-04 9.567642500041983631e-05 3.710430149998501272e-03
1.061013238507216414e+02 1.597484099998837262e-03 -9.366702999977860686e-04 -6.667420000303536567e-05 7.820600000195553785e-05 3.383647475000543716e-03
1.071013238507216414e+02 1.316799200001696635e-03 -5.200600500011205718e-04 -2.272258000011788620e-04 8.356430000094406448e-05 3.984296774999165555e-03
1.081013238507216414e+02 1.211861600002521249e-03 -7.233311333335734747e-04 -4.904311666662976733e-04 9.119414999804575776e-05 4.530702600000950132e-03
1.091013238507216414e+02 1.339275399997859502e-03 -1.373839874997429510e-03 4.344196249985543372e-04 -2.555851999986771383e-04 4.375709099998857481e-03
1.101013238507216414e+02 1.921350000000529796e-03 -1.981242650001149939e-03 1.083603875002154323e-03 -3.644814750005025226e-04 3.796254649998445467e-03
1.111013238507216414e+02 2.105245549999381054e-03 -1.676568999999289997e-03 1.087361033334076398e-03 -3.227640833332259145e-04 3.275841224998657548e-03
1.121013238507216414e+02 1.606269349998910943e-03 -9.846000500001537287e-04 7.595886999988578749e-04 -1.245687499795167195e-05 2.624921774999165649e-03
1.131013238507216414e+02 1.380124150000483539e-03 -8.401213000033748868e-04 5.132122000019591996e-04 2.698745999999516577e-04 2.541433300000789895e-03
1.141013238507216414e+02 1.270995149998270773e-03 -8.338126999988162546e-04 5.064754249997349949e-04 3.503470249997917723e-04 2.599558375000924487e-03
1.151013238507216414e+02 3.311107400008097808e-04 -9.945564000008743927e-04 1.238400899999760442e-03 6.089968875003250702e-04 2.179369912499169119e-03
1.161013238507216414e+02 -3.415046000009169672e-04 -1.302180250000674246e-03 1.526345250002123085e-03 1.297628374999476456e-03 1.717467799999212790e-03
1.171013238507216414e+02 -3.753004249992954828e-04 -1.187183374999222071e-03 1.807472724998660787e-03 1.311644075000003868e-03 1.861639024999021735e-03
1.181013238507216414e+02 -4.909133999990444603e-04 -6.469783499996992378e-04 1.287360674998126384e-03 1.202573325002958974e-03 1.785149849998560884e-03
1.191013238507216414e+02 -5.245747749995643971e-04 -1.003458000001046513e-03 1.644090124998911140e-03 6.867371000007551620e-04 1.249070650001158278e-03
1.201013238507216414e+02 -3.803167499991104601e-04 -1.226775150000321453e-03 1.320842749999428687e-03 5.315194250015337941e-04 1.340181325000230472e-03
