# hist	edges	error
1.493416899832120670e-01 1.562500000000000000e-02 2.133452714045886572e-02
3.322090654728594994e-01 4.843566392479436294e-02 3.181985750986592726e-02
5.851756015668719835e-01 8.124632784958872589e-02 4.223141138597934219e-02
1.045391829882484247e+00 1.140569917743830819e-01 5.644585315281212129e-02
1.584850587576944081e+00 1.468676556991774518e-01 6.950029586189079844e-02
2.057257974258535071e+00 1.796783196239718217e-01 7.918389634871128568e-02
2.596716731952993129e+00 2.124889835487661638e-01 8.896204936772178495e-02
2.657672523782875551e+00 2.452996474735605337e-01 9.000014808646353281e-02
2.791775265808617235e+00 2.781103113983549036e-01 9.224285119683933720e-02
2.776536317851146407e+00 3.109209753231492734e-01 9.199075219799075775e-02
2.822253161723558001e+00 3.437316392479436433e-01 9.274499345443094900e-02
2.386419250139902637e+00 3.765423031727380132e-01 8.528366638177335701e-02
2.185265137101286559e+00 4.093529670975323276e-01 8.161022202832363126e-02
1.822578175713485793e+00 4.421636310223266975e-01 7.453076407513818669e-02
1.764670173475097581e+00 4.749742949471210673e-01 7.333718965939130252e-02
1.094156463346390273e+00 5.077849588719154372e-01 5.774736946782207947e-02
8.838589815332957844e-01 5.405956227967098071e-01 5.190198651560241905e-02
4.449772803581419911e-01 5.734062867215041770e-01 3.682658175186651062e-02
3.108745383324005851e-01 6.062169506462985469e-01 3.078116603038344098e-02
1.158160044767766739e-01 6.390276145710929168e-01 1.878783683590946885e-02
4.571684387241185116e-02 6.718382784958872866e-01 1.180403833060104588e-02
1.219115836597649272e-02 7.046489424206816565e-01 6.095579182988246358e-03
1.219115836597653435e-02 7.374596063454760264e-01 6.095579182988267175e-03
