# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	vx_23	vx_24	vx_25	vx_26	vx_27	vx_28	vx_29	vx_30	vx_31	
2.030139220299999714e+00 5.201386489999998419e-02 5.000879515999998720e-02 5.275670707950666505e-02 5.151789449333334797e-02 4.924986876000000263e-02 5.200132889284000276e-02 5.200246275999999973e-02 5.000793456000001552e-02 5.276373274284001241e-02 5.150239714999997609e-02 5.141506652999999066e-02 5.235359632284000697e-02 5.073587341000000001e-02 5.227200013000001672e-02 5.251258985284000536e-02 5.097616575999998345e-02 5.102089539999997425e-02 5.249906751284003081e-02 5.102132568000000701e-02 5.150014647999996698e-02 5.300106031284001346e-02 5.151786804000000469e-02 5.248485717999999689e-02 5.076266920284000506e-02 5.025453184999999906e-02 5.151553289284001996e-02 5.251106757999999403e-02 5.025426026999999657e-02 5.275448894283999574e-02 5.199817352000000309e-02 5.125266724000000773e-02 5.177141859283999892e-02
3.030139220299999714e+00 5.178660201999999574e-02 5.022820129000001715e-02 5.257226544283994524e-02 5.164515839000002884e-02 4.929436952000000594e-02 5.200379773284002916e-02 5.201546019999998133e-02 5.000156861000000508e-02 5.271313000283998906e-02 5.132790527999998159e-02 5.149999391999995207e-02 5.249092999284007272e-02 5.069100492999998459e-02 5.231313476000000462e-02 5.228028853283999550e-02 5.123283538999998804e-02 5.100270384999999046e-02 5.249359418284002543e-02 5.079443206999999932e-02 5.173093261000002302e-02 5.278529799283997181e-02 5.172883300000000878e-02 5.249921875999995907e-02 5.052437267284003858e-02 5.048806763000002196e-02 5.150899013283997269e-02 5.251284350000001017e-02 5.019302979000001691e-02 5.282117482283998910e-02 5.198728599000000672e-02 5.120900269999998505e-02 5.181150914283998848e-02
4.030139220299998826e+00 5.177430040999998762e-02 5.023737180000002744e-02 5.252659284284000307e-02 5.174562530999999438e-02 4.923517456000001818e-02 5.200669995284003949e-02 5.202409363999993541e-02 4.998513183000000137e-02 5.277763196284008390e-02 5.148024292999991980e-02 5.127639768999997516e-02 5.250396101284000167e-02 5.086493072000005528e-02 5.214803466999996806e-02 5.224942458283994562e-02 5.129826964000001183e-02 5.096223144000005395e-02 5.249963210283999787e-02 5.077573546999999271e-02 5.174708862000002019e-02 5.276457043283998977e-02 5.174459839999999422e-02 5.254348755999992820e-02 5.046441174284006098e-02 5.051835938000002330e-02 5.148501702283999476e-02 5.251701983999996354e-02 5.025390320000003297e-02 5.276511633283998554e-02 5.199270666999998569e-02 5.126370545000004386e-02 5.174711591283998741e-02
5.030139220299998826e+00 5.181446762999999955e-02 5.015717162999996925e-02 5.256549054283995992e-02 5.179076386000008164e-02 4.918647155999997245e-02 5.200247733617336526e-02 5.203015034666664401e-02 4.994576721999997165e-02 5.286656628284008841e-02 5.150856628999993247e-02 5.101879577999998000e-02 5.269090253284002684e-02 5.085059662999999452e-02 5.197182615000005973e-02 5.230639785283992815e-02 5.130920714999999410e-02 5.103806457000004820e-02 5.250079175283997590e-02 5.085873412999999260e-02 5.152307437000003959e-02 5.275688762283998329e-02 5.192050323000001189e-02 5.243506165000003105e-02 5.054653454283995762e-02 5.037646485999999063e-02 5.166598282283998977e-02 5.233354854999999750e-02 5.048826904000001947e-02 5.271546194283999176e-02 5.198582725999999904e-02 5.108493651999997109e-02 5.192686902284003592e-02
6.030139220299998826e+00 5.179499969999999676e-02 5.049636353199998817e-02 5.234030164084010894e-02 5.168019409999990293e-02 4.930560302000003281e-02 5.188719921283991426e-02 5.214933168000009112e-02 4.997083129999996265e-02 5.289726544283998577e-02 5.151623382999998696e-02 5.099533385999998475e-02 5.287133084784013254e-02 5.045025864499987078e-02 5.219526977000005230e-02 5.213265975283993409e-02 5.150107268000008592e-02 5.100462950999994777e-02 5.244582807284000475e-02 5.093856662000000729e-02 5.150050655999998533e-02 5.253705579284005667e-02 5.198607177999995527e-02 5.262141113999996289e-02 5.045527785284002753e-02 5.043940733000001897e-02 5.162230818283997102e-02 5.238345489000002797e-02 5.032979737000007475e-02 5.279665051283993771e-02 5.202661131999993666e-02 5.099946290000006988e-02 5.190038205283999811e-02
7.030139220299998826e+00 5.163353805000001767e-02 5.086730650999993220e-02 5.212408888284007780e-02 5.145049743999995789e-02 4.948942870999994970e-02 5.195560285284000351e-02 5.213753204000006608e-02 4.998873902000004754e-02 5.289125500283990006e-02 5.150523987000012877e-02 5.101486511999996781e-02 5.300032789283977419e-02 5.013129577000020182e-02 5.238049927999991612e-02 5.213769818283999630e-02 5.149857330000006533e-02 5.100749815999997688e-02 5.218722669283999693e-02 5.120323487000000284e-02 5.148613282000000929e-02 5.252112408283992478e-02 5.198927155000008377e-02 5.264888915000005831e-02 5.037910292283993147e-02 5.050000610000001527e-02 5.158584767617323957e-02 5.242668114666675788e-02 5.014256285999999646e-02 5.271919207283999598e-02 5.227293878999996618e-02 5.100812683999998015e-02 5.169864102284009444e-02
8.030139220299998826e+00 5.176027069000001257e-02 5.073594055000003183e-02 5.224711896283988632e-02 5.126667025000008343e-02 4.948472897999999648e-02 5.202319777283992419e-02 5.227250061000006387e-02 4.998063354000005509e-02 5.276752456284002774e-02 5.150660397999984319e-02 5.101900024000005640e-02 5.298892653284001386e-02 5.026230468999995371e-02 5.225650329000008920e-02 5.226535321283990593e-02 5.149267121000004888e-02 5.101446838000001788e-02 5.205043012283999682e-02 5.145946502000003919e-02 5.123699951999997199e-02 5.251892529283996164e-02 5.198513492000004371e-02 5.277643429999989005e-02 5.026302625284008452e-02 5.048959962000008211e-02 5.154518859283991478e-02 5.246947950000003386e-02 5.026279296999992124e-02 5.249352781284007119e-02 5.251364822000001431e-02 5.099982605999989899e-02 5.151365452284007579e-02
9.030139220299998826e+00 5.164386113000000306e-02 5.084720865999988598e-02 5.219192641284007422e-02 5.132906494000000902e-02 4.942929685999997852e-02 5.207720167284014823e-02 5.220096741999988993e-02 4.999146119999986482e-02 5.275673350284014462e-02 5.154213256999994747e-02 5.101520386000010787e-02 5.302418958283997008e-02 5.020073850999999532e-02 5.231596071000003262e-02 5.220643140283991873e-02 5.149700011999996246e-02 5.116773072000014438e-02 5.208323193283993097e-02 5.155756530000003141e-02 5.101217042000007196e-02 5.252179090283989188e-02 5.198796997000001974e-02 5.269635619999980813e-02 5.033440382284013609e-02 5.042300110000001029e-02 5.151818295284001786e-02 5.256828079000003956e-02 5.034723511999986828e-02 5.253723087284008914e-02 5.250789986999998549e-02 5.097360229000005155e-02 5.135253125283979758e-02
1.003013922029999883e+01 5.119210623500000668e-02 5.116431580999988155e-02 5.214392377284012003e-02 5.136572724000008916e-02 4.936234129999975129e-02 5.215599196284019523e-02 5.198999938999988857e-02 4.999580078000017552e-02 5.271200085283999498e-02 5.149266357333329158e-02 5.105960082666670397e-02 5.326206191283990726e-02 5.001187133999995121e-02 5.250013428000002008e-02 5.202118969284019734e-02 5.151579894999979564e-02 5.122987061000003339e-02 5.196066113283998034e-02 5.163986512000010715e-02 5.118106688999978643e-02 5.251302930284018622e-02 5.199476928999995085e-02 5.249179382999991789e-02 5.051679823284014464e-02 5.019999387999996704e-02 5.150883429284004028e-02 5.280676763999993251e-02 5.024786377000000498e-02 5.264861280284003492e-02 5.232865295999993005e-02 5.104127197000016269e-02 5.121488249283993183e-02
1.103013922029999883e+01 5.099249723999996903e-02 5.117273864999988264e-02 5.234902326283991103e-02 5.104973501000018704e-02 4.944423625000005096e-02 5.219159070284003915e-02 5.182807310999999056e-02 5.000608826999996398e-02 5.270063764284004665e-02 5.136258391999992678e-02 5.114348144000004787e-02 5.330982954283990799e-02 5.002339630000007809e-02 5.248586732000003197e-02 5.202343426284005562e-02 5.167553558999991165e-02 5.102262573000006934e-02 5.200229932283989553e-02 5.181246338000005530e-02 5.119083555999996010e-02 5.251136458283999636e-02 5.197693633000001479e-02 5.227693483000002417e-02 5.057822400283996239e-02 5.017342527999998913e-02 5.152621510283988959e-02 5.281452112000017962e-02 5.018976440000005868e-02 5.282900679283990264e-02 5.202195891666666627e-02 5.114786987333336254e-02 5.137949201283990852e-02
1.203013922029999883e+01 5.098713378000001989e-02 5.099546814999994515e-02 5.252335646284009285e-02 5.106346536666662994e-02 4.943470663333337373e-02 5.200762768284002829e-02 5.199923400999998530e-02 5.001356200999980406e-02 5.275763076284038094e-02 5.133167315999970920e-02 5.120906779000009706e-02 5.321955396284028944e-02 5.002846374999964790e-02 5.247880248999999692e-02 5.202856732283980823e-02 5.150626678000028158e-02 5.124700316999988153e-02 5.199872571284006734e-02 5.175809938000001942e-02 5.124837035999980916e-02 5.251945631284033605e-02 5.173470153999980975e-02 5.230247191999996825e-02 5.073485852283995262e-02 5.000053100999993921e-02 5.174704953283999070e-02 5.276111526000015761e-02 5.025113221999991109e-02 5.278100263284006555e-02 5.173272552000007796e-02 5.124863279999990195e-02 5.151544515284003922e-02
1.303013922029999705e+01 5.102469788000007361e-02 5.099203490999989347e-02 5.251642591284017003e-02 5.098196410999974310e-02 4.951900635000001938e-02 5.200589429283990900e-02 5.200983582000028721e-02 5.000492552999985518e-02 5.273663160284031842e-02 5.154543762999985734e-02 5.123060301999976529e-02 5.299145337284025953e-02 5.003703612999991363e-02 5.248666688000003244e-02 5.202676526283975950e-02 5.148899536000010185e-02 5.128713989999996586e-02 5.202649518284017949e-02 5.168430328999984447e-02 5.124472655000008453e-02 5.252416060283994492e-02 5.175883941000013200e-02 5.250498353000002810e-02 5.049320813283995901e-02 5.003243407999998643e-02 5.182062322284000655e-02 5.266627388999988585e-02 5.029100340000022817e-02 5.273923857283985273e-02 5.182155074999997973e-02 5.118753357000004750e-02 5.152545606284002211e-02
1.403013922029999705e+01 5.116822890999987716e-02 5.118724772666682910e-02 5.233628572617344404e-02 5.077947081999975576e-02 4.972245484000013815e-02 5.200480177283971217e-02 5.199946594000014188e-02 4.999873046000029991e-02 5.251133559283953367e-02 5.178019714000040713e-02 5.107656554999975840e-02 5.300859815284020282e-02 5.016616515000007354e-02 5.249187013999981333e-02 5.221852651950659868e-02 5.110286763333361099e-02 5.125489501999982295e-02 5.218580152283996271e-02 5.173960266000012659e-02 5.103169555000004048e-02 5.251339553283978362e-02 5.200513610000000175e-02 5.231278686000005035e-02 5.052394240284004134e-02 5.018773496999992534e-02 5.180697767284000305e-02 5.253618164000010970e-02 5.020736694999986677e-02 5.281730864284008703e-02 5.193715440000007399e-02 5.120859983999998671e-02 5.153102781283996903e-02
1.503013922029999705e+01 5.100553589999990561e-02 5.129403075000009415e-02 5.223036330284012291e-02 5.100079650666638348e-02 4.964876709333342769e-02 5.185889721284001747e-02 5.213676758000003464e-02 4.984356386000017569e-02 5.252286815283951221e-02 5.175926819000035289e-02 5.126646728999985358e-02 5.300752697284042553e-02 5.015159301999958658e-02 5.249807129000019085e-02 5.216766341284019559e-02 5.117466887999964908e-02 5.103559874999991780e-02 5.218299391284019623e-02 5.182033385999984532e-02 5.114613037000017431e-02 5.235906506284009054e-02 5.234623565999984435e-02 5.191569060999982194e-02 5.074253066284020730e-02 5.017783813000005477e-02 5.160545131283961195e-02 5.275724535000028692e-02 5.001040648000016492e-02 5.300105117283985395e-02 5.196364135000003381e-02 5.103110350999996020e-02 5.152115079283976079e-02
1.603013922029999705e+01 5.100600279999998460e-02 5.148036498000001238e-02 5.202562849284004393e-02 5.098018645999984749e-02 4.972917785999998036e-02 5.181089612283994866e-02 5.200799560000034238e-02 4.998360596999973371e-02 5.251262952283996394e-02 5.170490417000021127e-02 5.132169495999987924e-02 5.300746746284021316e-02 5.001515959999981026e-02 5.267150270000001827e-02 5.232882977284007003e-02 5.099326629999997862e-02 5.101686401000024573e-02 5.217749921283968556e-02 5.195310110333330178e-02 5.105779824666678568e-02 5.235225355950653969e-02 5.224474183333340654e-02 5.194339903000000369e-02 5.079959547283999927e-02 5.020290222000003272e-02 5.151262837283975687e-02 5.281880303000018734e-02 5.012337747999991155e-02 5.288719401284009552e-02 5.199408990000000536e-02 5.099943236999988916e-02 5.127931692284000420e-02
1.703013922029999705e+01 5.101693725999994350e-02 5.147596130000019893e-02 5.201602918284006782e-02 5.098421427999973166e-02 4.994151813999991169e-02 5.158966352284023726e-02 5.201339873999989011e-02 4.999556580000007883e-02 5.250030042283997112e-02 5.176796874000012816e-02 5.125376587999962846e-02 5.302016279284034461e-02 4.999149627999979750e-02 5.275363767999970144e-02 5.225775892284072882e-02 5.098766480999968043e-02 5.102820434000022998e-02 5.241826917283974596e-02 5.185089109999996976e-02 5.098859864000005598e-02 5.226199934283977389e-02 5.236652985000021104e-02 5.205538940000006137e-02 5.058297864283988615e-02 5.026489257000021221e-02 5.151211377283980430e-02 5.276735536000008026e-02 5.025380247999992195e-02 5.275700743284002930e-02 5.199551468000004201e-02 5.100313109999988354e-02 5.124272977284017455e-02
1.803013922029999705e+01 5.083726809000013724e-02 5.166066281999992515e-02 5.197452833284005314e-02 5.098943480999990063e-02 4.988304136999995725e-02 5.163738845284024381e-02 5.187680357999981812e-02 5.016479491999998458e-02 5.247326491284002442e-02 5.166065977999990261e-02 5.135731201500002424e-02 5.269415825784010132e-02 5.031593220000004502e-02 5.261863403999995914e-02 5.243402845283999525e-02 5.098949890000005480e-02 5.098149718000004327e-02 5.241135186617316283e-02 5.195317890666654309e-02 5.099763488999996958e-02 5.219852888284039899e-02 5.235919341999963061e-02 5.210831298000011963e-02 5.054355910283996056e-02 5.031029357000006696e-02 5.151322328283985952e-02 5.267097607000016668e-02 5.040970458999999987e-02 5.264211217283998323e-02 5.201357460999984222e-02 5.081399840000030976e-02 5.146713507283966205e-02
1.903013922029999705e+01 5.069640200000012642e-02 5.180893553999958712e-02 5.194829389284023186e-02 5.080282439000004951e-02 5.018934327000006135e-02 5.175753003284001147e-02 5.150766905999980966e-02 5.021185914000016182e-02 5.260683271283996681e-02 5.144365997000006907e-02 5.181202088000009393e-02 5.217481824284023184e-02 5.053479614999962372e-02 5.258613891000004509e-02 5.249592419284017375e-02 5.089320069999978685e-02 5.104929808999986857e-02 5.225543350284008598e-02 5.220266416000013399e-02 5.099753722999994521e-02 5.202498914284005987e-02 5.246849974999989036e-02 5.208353882999981754e-02 5.057935925284021139e-02 5.037139284000004269e-02 5.132297611283975075e-02 5.276992073000021793e-02 5.074587647799998907e-02 5.233627132484000577e-02 5.190722124000003712e-02 5.094510496999991866e-02 5.131160566284034136e-02
2.003013922029999705e+01 5.058023681999993665e-02 5.198713379000000773e-02 5.170692884283999147e-02 5.075323487000007322e-02 5.056315916999992721e-02 5.188266584284028510e-02 5.113197478999975676e-02 5.003746846666647097e-02 5.296115349617382118e-02 5.138306579999973867e-02 5.201956787000017179e-02 5.201176587283989905e-02 5.048633422000004672e-02 5.264666443999958811e-02 5.249213086284035268e-02 5.087756348000004730e-02 5.083136290999991369e-02 5.225193769283998507e-02 5.225912934000007115e-02 5.118583374000008901e-02 5.200229321283986877e-02 5.231526794000003477e-02 5.201421512000015124e-02 5.086962209283976688e-02 5.032989095000011542e-02 5.106996404284000479e-02 5.295290107999973961e-02 5.081633301999990970e-02 5.231434346284027231e-02 5.172989005666651235e-02 5.114553223333320048e-02 5.112867947284048531e-02
2.103013922029999705e+01 5.075983581000000078e-02 5.200359802000002751e-02 5.151862929283961695e-02 5.075366821000045631e-02 5.074533080000000890e-02 5.175632765283989800e-02 5.126083678999986820e-02 4.973782958999981713e-02 5.327243330284036488e-02 5.125303191000005198e-02 5.200886840000021327e-02 5.201239761283941304e-02 5.048740234000017452e-02 5.282246091999986959e-02 5.245532973283988792e-02 5.074313354000025561e-02 5.076329956000008581e-02 5.225109999283997914e-02 5.232136535000026650e-02 5.118943176999946748e-02 5.199726087283997739e-02 5.226669616000019503e-02 5.206885680999984861e-02 5.105302259284019012e-02 5.013595580999972295e-02 5.101588157284058650e-02 5.301724355999960780e-02 5.080059814000014579e-02 5.252369901284000692e-02 5.143630295000004710e-02 5.124513244999998052e-02 5.125969870284025065e-02
