# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	vx_8	vx_9	vx_10	vx_11	vx_12	vx_13	vx_14	vx_15	vx_16	vx_17	vx_18	vx_19	vx_20	vx_21	vx_22	
2.030139220299999714e+00 1.399520416000000350e-02 2.901586457999999480e-02 2.847099912999999718e-02 2.627820740999996935e-02 3.575709287284003363e-02 2.650090101999999156e-02 3.098280030999999227e-02 2.875962829000001247e-02 2.126242675999998402e-02 3.374443121284002867e-02 3.040550451999999432e-02 3.211764068999999749e-02 2.348642577000000647e-02 2.500453798000000852e-02 3.041823118999998146e-02 3.234536422284001872e-02 2.850513151999998704e-02 2.395435790666667827e-02 2.679594116333334011e-02 8.743835450000006157e-03 2.696164551999997994e-02 3.503521633284001346e-02 3.101879501999999303e-02
3.030139220299999714e+00 1.435897777000000146e-02 2.887785541000000705e-02 2.849696654999999204e-02 2.618733522000001035e-02 3.580898726284001410e-02 2.618360848333329757e-02 3.133016561666668309e-02 2.851010132999999905e-02 2.149689940000000521e-02 3.368731833284000637e-02 3.032604665999999102e-02 3.215039978000001214e-02 2.336439209999998518e-02 2.517397461999999059e-02 3.033636472000002943e-02 3.225923139283998209e-02 2.839155935333333158e-02 2.434890239666666345e-02 2.650284116999998899e-02 8.981195079999997055e-03 2.700843506000003350e-02 3.500976315283998996e-02 3.099479446000000249e-02
4.030139220299998826e+00 1.463752744000003034e-02 2.866880187999997984e-02 2.849826659999998846e-02 2.620820312000005439e-02 3.574303267283990282e-02 2.605696258000011686e-02 3.150872801999991812e-02 2.866900331000001717e-02 2.133926085000002748e-02 3.369497549283996529e-02 3.028269616000000761e-02 3.227296446999999846e-02 2.325123290999997483e-02 2.520726930000000837e-02 3.015351155333335226e-02 3.236294943950665526e-02 2.828672637999998102e-02 2.451520995999999231e-02 2.644263306000002589e-02 9.006701670000007501e-03 2.705219725000004155e-02 3.500879501283989115e-02 3.100106352000004881e-02
5.030139220299998826e+00 1.482173308999990696e-02 2.850730132999999486e-02 2.849743042000000073e-02 2.618846739999999146e-02 3.556499464283997131e-02 2.626550293000000369e-02 3.143413086000004797e-02 2.873563537999996101e-02 2.126796263999999534e-02 3.374774649284002087e-02 3.030385702999999556e-02 3.238896485000001407e-02 2.313426514000000225e-02 2.537126768999999060e-02 2.978359984999997406e-02 3.253806135284000728e-02 2.831893464000000832e-02 2.450606994000002065e-02 2.656293028999993922e-02 8.825537110000005250e-03 2.705106200999998767e-02 3.506459867284002219e-02 3.093779526000002902e-02
6.030139220299998826e+00 1.525908538600001529e-02 2.849462890799998177e-02 2.831831786600006243e-02 2.593596801999997412e-02 3.549745123284001047e-02 2.660062447500003910e-02 3.116661683499990024e-02 2.875110166000004186e-02 2.124656677999992027e-02 3.375613871284008360e-02 3.050082674000000396e-02 3.226016846000004379e-02 2.325696410999994468e-02 2.524536742999994310e-02 2.971766358000013653e-02 3.253666593283994352e-02 2.851203536999997665e-02 2.450633545000000663e-02 2.657369383999994006e-02 8.660400400000071650e-03 2.719356689999995191e-02 3.506899623284007173e-02 3.074116745999997541e-02
7.030139220299998826e+00 1.570326080000013572e-02 2.829366911999988896e-02 2.832156067000005453e-02 2.587940369999996645e-02 3.531410962283998423e-02 2.657678680000008162e-02 3.122365977333326978e-02 2.889450886666669605e-02 2.112226561999996227e-02 3.387950031284003849e-02 3.031686333999999636e-02 3.226152955000002182e-02 2.343796997999997994e-02 2.506130370000000940e-02 2.975540160999998879e-02 3.249925671283999951e-02 2.851393434000003627e-02 2.468503417999991234e-02 2.662113036999999224e-02 8.504638670000031278e-03 2.736813354999999282e-02 3.482825910283991050e-02 3.080916595000012317e-02
8.030139220299998826e+00 1.576416473999997861e-02 2.827773132000004422e-02 2.850307006000002766e-02 2.571480105999999002e-02 3.524924754283993017e-02 2.650784454000013404e-02 3.154929962999997173e-02 2.870366819999999389e-02 2.125530395999994729e-02 3.374227411283998307e-02 3.029822102000002265e-02 3.221832581999996975e-02 2.350320432000007828e-02 2.499893189999984403e-02 2.974550170000011401e-02 3.256516477283996625e-02 2.849880142000001809e-02 2.488153075999998548e-02 2.657303467000001612e-02 8.570031740000013179e-03 2.717453612999997867e-02 3.481299269283990444e-02 3.097348633000008081e-02
9.030139220299998826e+00 1.562947236000018086e-02 2.821546781999979825e-02 2.850939637000010282e-02 2.578563537999989386e-02 3.517723599283999886e-02 2.650895616000016261e-02 3.162780455999993773e-02 2.868809813999996516e-02 2.144153442999995746e-02 3.355926229284002943e-02 3.023153495999998663e-02 3.228912963000002412e-02 2.346703493999994020e-02 2.501152952000011351e-02 2.970167235999997615e-02 3.279919263283993802e-02 2.825839843999997450e-02 2.516162822000004434e-02 2.646311238000004229e-02 8.635729979999996059e-03 2.701506958999998556e-02 3.488537172283995291e-02 3.089170176000000101e-02
1.003013922029999883e+01 1.581756896000006268e-02 2.796083983999999439e-02 2.853265991000007371e-02 2.600092773000014720e-02 3.498589003283995857e-02 2.650770874000009034e-02 3.184707030999982258e-02 2.866007081000006979e-02 2.149986571999979931e-02 3.352164050284011515e-02 3.013443690000000216e-02 3.237651366000002251e-02 2.322546691999996180e-02 2.510156860999995798e-02 2.965056152000006620e-02 3.284819929283998990e-02 2.816699981999997923e-02 2.567238311000005421e-02 2.617245330999989905e-02 8.503094480000071911e-03 2.717546997000008444e-02 3.499432814284009208e-02 3.050013121999984450e-02
1.103013922029999883e+01 1.600806578999963703e-02 2.771616974000028211e-02 2.875693055000010795e-02 2.584073485999997463e-02 3.500435849283985851e-02 2.650160293999997627e-02 3.200546875000011282e-02 2.841929626999999473e-02 2.164480183333337276e-02 3.360604693950665356e-02 3.033088474999998466e-02 3.217986451000010711e-02 2.301653441999988031e-02 2.532433471000003836e-02 2.934111328333322000e-02 3.315611096950676906e-02 2.800117187999992541e-02 2.593116454000014490e-02 2.607473146000002101e-02 8.581660963333161141e-03 2.708470864666669489e-02 3.484249098284017410e-02 3.051060180999986757e-02
1.203013922029999883e+01 1.598863370999970349e-02 2.749160158000015647e-02 2.875969542000020654e-02 2.600364075999987007e-02 3.501404858284003913e-02 2.649654388999988369e-02 3.200656585000008492e-02 2.824583131000008365e-02 2.200119627999993013e-02 3.324758722284000545e-02 3.051701525999999873e-02 3.199513398000003450e-02 2.324266356999996758e-02 2.531879884000009032e-02 2.886886799333322068e-02 3.367916420950668732e-02 2.790626906000002322e-02 2.577476502999997976e-02 2.622756346999995103e-02 8.763238529999944557e-03 2.674020385000003275e-02 3.500545332284018402e-02 3.060356597999982706e-02
1.303013922029999705e+01 1.576686095000004451e-02 2.748986818000014390e-02 2.873087157999998364e-02 2.602766723999993745e-02 3.500077153284000819e-02 2.649925575000015507e-02 3.197336272999985046e-02 2.828999633999992533e-02 2.213583985000004695e-02 3.311143627284002244e-02 3.047419435000001467e-02 3.200506895999997298e-02 2.328446046000008304e-02 2.527503051999992895e-02 2.869597167999982101e-02 3.405312939284015072e-02 2.770466613999997274e-02 2.580700072000017761e-02 2.621962890999984808e-02 8.795703129999856568e-03 2.671793825000022549e-02 3.497898998283963112e-02 3.078606872000038894e-02
