# r	h_0	h_1	h_2	h_3	h_4	h_5	h_6	h_7	h_8	h_9	h_10	h_11	h_12	h_13	h_14	h_15	h_16	h_17	h_18	h_19	h_20	h_21	h_22	h_23	h_24	h_25	h_26	h_27	h_28	h_29	h_30	h_31	h_32	
2.030139220299999714e+00 5.245556640999999445e+02 6.387518310499999643e+02 7.329969789999998397e+01 6.097433471999999028e+02 7.456540222999999514e+02 9.336106329642000219e+02 3.260213622999999643e+02 4.709291686999999911e+02 6.423331908999998632e+02 8.210749121641999864e+02 9.811303015641999536e+02 3.997069702000000007e+02 1.270946655499999878e+02 8.833718062141999781e+02 2.716105728499999827e+02 4.932727050999999392e+02 6.841174163999999109e+02 4.784533233999999311e+02 6.447736816499999577e+02 8.235614844642000207e+02 9.460979681641999832e+02 3.310898590499999727e+02 4.934993438999999853e+02 6.183469848999999385e+02 8.073924742642000183e+02 9.747962943141999403e+02 3.723351592999999866e+02 5.222441711500000565e+02 6.759940185999998903e+02 9.351691434999997909e+01 2.710151673000000301e+02 4.434745177999999441e+02 5.810690002999998569e+02
3.030139220299999714e+00 5.257060140333334175e+02 6.381163330500000939e+02 7.445983633333334240e+01 6.077611328400000730e+02 7.454749756000001071e+02 9.329654227641999569e+02 3.265676879999999755e+02 4.715569915999999466e+02 6.425483398999999736e+02 8.199213401308667244e+02 9.816557990141999426e+02 4.002706451500000071e+02 1.268701630000000051e+02 8.831693106641998838e+02 2.697287801333333732e+02 4.939023438000000397e+02 6.839416809499998635e+02 4.788666076999998609e+02 6.449995422499999904e+02 8.241600600142000985e+02 9.466286536141998340e+02 3.312791748000000780e+02 4.928446959999998853e+02 6.170142415666667830e+02 8.078867884642000945e+02 9.742648001642000963e+02 3.717213440000000446e+02 5.225528259499999422e+02 6.765638122499999554e+02 9.374901209999998741e+01 2.712839813000000504e+02 4.428720094000000245e+02 5.804666747999999643e+02
4.030139220299998826e+00 5.268516846000002261e+02 6.383563232999999855e+02 7.606131746666666515e+01 6.060033569000001989e+02 7.448351440500000535e+02 9.321664699975334543e+02 3.262503661999999167e+02 4.710195007500001338e+02 6.428953247999997984e+02 8.185643473641996479e+02 9.810898200642000120e+02 3.997538300500000332e+02 1.270733337000000347e+02 8.833776617641997291e+02 2.689903259999998681e+02 4.944973449999999957e+02 6.845693359999995664e+02 4.786538390999999137e+02 6.447463379000000714e+02 8.235922728642001402e+02 9.460793296142001054e+02 3.310169983000000684e+02 4.924086913999999524e+02 6.160510254000000714e+02 8.073876773141998910e+02 9.736189795641998899e+02 3.712683411000000433e+02 5.231136780499998622e+02 6.760111694499998976e+02 9.353662869999999430e+01 2.710452881000001071e+02 4.422385101500000246e+02 5.798078308499999594e+02
5.030139220299998826e+00 5.270989991000001282e+02 6.387490235000000212e+02 7.636634064999998373e+01 6.065055237000001398e+02 7.450660095499999898e+02 9.319134843308665950e+02 3.259426574999999957e+02 4.704029845999998543e+02 6.434434814500000357e+02 8.186693335642003149e+02 9.813444815642001231e+02 3.998766786000001048e+02 1.274679946999999629e+02 8.837763281642000948e+02 2.684648132499999065e+02 4.939558258000000706e+02 6.840744933999999375e+02 4.784393158000000312e+02 6.442086486999999124e+02 8.229355002641996180e+02 9.461443243641997469e+02 3.304011536000000433e+02 4.918219909499999858e+02 6.156079712000000654e+02 8.067742110641997897e+02 9.732019720642001630e+02 3.706328430500001332e+02 5.235809936999999081e+02 6.760896605999996609e+02 9.407787330000002157e+01 2.715401458999999704e+02 4.423276672000001781e+02 5.791866454999999405e+02
6.030139220299998826e+00 5.265123290999999881e+02 6.390620117500000106e+02 7.680612189999999373e+01 6.062070313000003807e+02 7.454479981000004045e+02 9.312509986641998694e+02 3.262289734499998985e+02 4.699953307999999197e+02 6.440625000000000000e+02 8.191011763642000005e+02 9.827640601141995376e+02 4.000641784500000995e+02 1.280639954000000102e+02 8.843704787142000896e+02 2.678114776500001426e+02 4.942640075999997862e+02 6.843696899999995367e+02 4.790726623499995185e+02 6.435893555000002380e+02 8.234828368141997998e+02 9.463489905641999940e+02 3.297329712000000654e+02 4.912109984999997323e+02 6.149863281499997356e+02 8.072665321141998902e+02 9.725868064141996001e+02 3.709483490000000074e+02 5.240726624000001266e+02 6.762983398499995928e+02 9.373484039999993911e+01 2.721409911999999167e+02 4.425006561499999407e+02 5.787636719000001904e+02
7.030139220299998826e+00 5.259131876666666585e+02 6.383803405999997267e+02 7.714694974999997612e+01 6.059175110000001041e+02 7.456784973499998159e+02 9.306549826641994514e+02 3.256353149999999914e+02 4.697038422499999797e+02 6.446199951500002499e+02 8.194548617642008139e+02 9.840671454642006211e+02 3.986510112000000845e+02 1.286776734000000033e+02 8.857441829975335850e+02 2.671816558999998961e+02 4.945883331499999258e+02 6.846755065999996077e+02 4.793699951499997951e+02 6.440588379000000714e+02 8.241343757141999049e+02 9.466343222641994544e+02 3.302714843999999630e+02 4.909308319000001575e+02 6.143813477000003331e+02 8.069362173642002745e+02 9.728606482641994262e+02 3.706280213000000003e+02 5.247088318000000982e+02 6.765989990500002023e+02 9.341317749999996067e+01 2.728133545499999855e+02 4.428151703500000167e+02 5.784626770499999111e+02
8.030139220299998826e+00 5.263809000666666407e+02 6.377461852999999792e+02 7.682469940000004271e+01 6.062711487000001398e+02 7.450203246999990370e+02 9.299789801642000384e+02 3.252316589000001841e+02 4.700225067000001218e+02 6.449651794500000506e+02 8.187924147642006574e+02 9.846849661641999774e+02 3.974349976000003153e+02 1.293353500499999882e+02 8.869212866641992150e+02 2.665285034500002439e+02 4.943436737499996525e+02 6.841543579000008322e+02 4.787316590000000360e+02 6.437640381000001071e+02 8.238245535641999595e+02 9.463229896642005770e+02 3.299709778000001279e+02 4.914583130000000892e+02 6.137621460000000297e+02 8.062891169642002751e+02 9.725146551641992119e+02 3.699901733500000773e+02 5.250325011999998424e+02 6.762553711000000476e+02 9.374819185000001198e+01 2.734804993000000195e+02 4.425066833999999290e+02 5.787683411500001966e+02
9.030139220299998826e+00 5.271570129500000803e+02 6.371700134499992600e+02 7.745591740000008940e+01 6.056483155000005354e+02 7.447155151499991916e+02 9.296839820141995006e+02 3.250774994500000048e+02 4.703408355999999912e+02 6.451533202999999048e+02 8.181286446975331046e+02 9.843786383642000146e+02 3.971835022000000208e+02 1.299446715999999924e+02 8.871869650642001943e+02 2.659168396000000030e+02 4.941749878000000535e+02 6.847635192999996434e+02 4.784151611500001309e+02 6.434718323000001874e+02 8.235121794642000168e+02 9.460029898642005719e+02 3.296926727499999288e+02 4.908574828999999227e+02 6.128123779500001547e+02 8.065905238142004237e+02 9.722536612641997635e+02 3.693533325000003060e+02 5.252313233000004402e+02 6.759641723999993701e+02 9.390016939999986789e+01 2.740820007499999065e+02 4.421728362999997444e+02 5.781203612999997858e+02
1.003013922029999883e+01 5.266680297999992035e+02 6.365515137000002142e+02 7.786435699999992721e+01 6.052343139999993582e+02 7.460587615999997979e+02 9.303541479641990009e+02 3.253795165999999881e+02 4.708893434000001434e+02 6.452418518499998754e+02 8.173550577641999553e+02 9.839703131641999789e+02 3.977260132000001249e+02 1.302386627500000031e+02 8.865391302642001392e+02 2.653046417499999734e+02 4.940884857500000180e+02 6.853756713999991916e+02 4.789140016000001197e+02 6.439973145999992994e+02 8.240698462641994411e+02 9.464573279641990666e+02 3.309820785750000596e+02 4.902313537999998516e+02 6.120237427000001844e+02 8.062721282641996368e+02 9.727733374641993578e+02 3.689503480000003037e+02 5.257036743499993463e+02 6.772779235999996672e+02 9.395436099999994894e+01 2.737706603999995423e+02 4.426816711999999825e+02 5.776820069000004878e+02
1.103013922029999883e+01 5.272980041499995423e+02 6.359253539999999703e+02 7.850121690000003127e+01 6.050039673000001130e+02 7.474793090999992273e+02 9.310104819642001530e+02 3.247643433499997627e+02 4.712256927500002348e+02 6.447325135000000955e+02 8.172955485142001635e+02 9.837871466641990992e+02 3.971336670499999855e+02 1.295900116000000253e+02 8.860186530642004072e+02 2.647623290999999881e+02 4.946881561499999407e+02 6.860328368999998929e+02 4.783046722500002943e+02 6.437558288999998695e+02 8.237886992641997495e+02 9.458001547641997604e+02 3.324273376500000268e+02 4.899693095000002359e+02 6.121041564999995899e+02 8.059847499141997105e+02 9.725721579641995049e+02 3.683481750500000089e+02 5.262720337000000654e+02 6.787763366999997743e+02 9.344011690000002091e+01 2.733163147000004756e+02 4.424303436499999407e+02 5.770759888499997032e+02
