# r	p	err_p
2.544468469956458367e+00 3.086915795701045129e-01 0.000000000000000000e+00
3.580719741319818628e+00 4.336699336699336715e-01 0.000000000000000000e+00
4.391628408089584212e+00 4.271721764778173558e-01 0.000000000000000000e+00
5.051236114904170904e+00 3.253976192857857552e-01 0.000000000000000000e+00
5.672106482084987356e+00 2.972763868908741558e-01 0.000000000000000000e+00
6.180698319284180009e+00 2.479190314037079124e-01 0.000000000000000000e+00
6.730439217656689621e+00 3.460407749493129015e-01 0.000000000000000000e+00
7.582185198263164949e+00 3.259081272084805581e-01 0.000000000000000000e+00
8.044666350103469199e+00 3.442824251726784301e-01 0.000000000000000000e+00
8.405154584138481155e+00 3.461706730184964664e-01 0.000000000000000000e+00
9.050568672721080787e+00 3.048640332177878220e-01 0.000000000000000000e+00
9.841437054302197396e+00 3.362509720866356799e-01 0.000000000000000000e+00
1.044112762270992434e+01 3.250596905491530686e-01 0.000000000000000000e+00
1.103426475752382530e+01 3.408052376671988348e-01 0.000000000000000000e+00
1.163118076066201567e+01 3.253181718784167731e-01 0.000000000000000000e+00
1.212549777676122176e+01 3.321326076199900834e-01 0.000000000000000000e+00
1.265667940143889147e+01 3.320035642891060457e-01 0.000000000000000000e+00
1.327171254984186710e+01 3.387152482263643405e-01 0.000000000000000000e+00
1.409169890360915467e+01 3.462387242500382101e-01 0.000000000000000000e+00
1.467905184635341875e+01 3.404793351684636815e-01 0.000000000000000000e+00
1.548309595670052197e+01 3.367630879976942215e-01 0.000000000000000000e+00
1.648620980466734309e+01 3.394872234310243875e-01 0.000000000000000000e+00
1.702689547786364699e+01 3.348814358555237125e-01 0.000000000000000000e+00
1.762884891574163859e+01 3.385962665706833130e-01 0.000000000000000000e+00
1.826891618253761962e+01 3.360713648398151454e-01 0.000000000000000000e+00
1.875294293158055936e+01 3.327939506373133183e-01 0.000000000000000000e+00
1.927450400127126429e+01 3.329421518882219599e-01 0.000000000000000000e+00
