# r	dp
8.510638297872340219e-02 nan
2.553191489361701927e-01 nan
4.255319148936169693e-01 nan
5.957446808510638014e-01 nan
7.659574468085106336e-01 nan
9.361702127659574657e-01 nan
1.106382978723404076e+00 nan
1.276595744680851130e+00 nan
1.446808510638297740e+00 nan
1.617021276595744794e+00 nan
1.787234042553191404e+00 nan
1.957446808510638236e+00 nan
2.127659574468085069e+00 1.625274590088293114e-01
2.297872340425532123e+00 1.534282874836482846e-01
2.468085106382978733e+00 1.562035644297294357e-01
2.638297872340425343e+00 1.482137411876791599e-01
2.808510638297872397e+00 1.350554818993046635e-01
2.978723404255319007e+00 1.118640712910695389e-01
3.148936170212765617e+00 9.188450789781693606e-02
3.319148936170212671e+00 1.006098524891362866e-01
3.489361702127659726e+00 9.997835763961793187e-02
3.659574468085106336e+00 9.277605048107878671e-02
3.829787234042552946e+00 7.260013976788259882e-02
4.000000000000000000e+00 7.372166052424522498e-02
4.170212765957446166e+00 8.701893187938142260e-02
4.340425531914894108e+00 7.954941296658030181e-02
4.510638297872340274e+00 6.632600315523407009e-02
4.680851063829786440e+00 5.312928686727708127e-02
4.851063829787234383e+00 3.749731669850497884e-02
5.021276595744680549e+00 2.622226613194350575e-02
5.191489361702127603e+00 1.546480081491802272e-02
5.361702127659574657e+00 2.221215654614749901e-03
5.531914893617020823e+00 6.103900179947774340e-03
5.702127659574467877e+00 -1.779814170465576773e-03
5.872340425531914931e+00 -1.046432254475765378e-02
6.042553191489361097e+00 -8.481705371095216162e-03
6.212765957446809040e+00 -7.788883544449842766e-03
6.382978723404255206e+00 -1.018443516668449123e-02
6.553191489361701372e+00 -5.208933519225855679e-03
6.723404255319149314e+00 -1.274702917225328802e-02
6.893617021276595480e+00 -2.151956809266758475e-02
7.063829787234041646e+00 -2.099921551310551804e-02
7.234042553191489588e+00 -2.007052520414737140e-02
7.404255319148935754e+00 -2.428722104465419473e-02
7.574468085106382809e+00 -2.536539250436675719e-02
7.744680851063829863e+00 -2.684357377691692914e-02
7.914893617021276029e+00 -2.369940473952386606e-02
