# r	stdNi	stdCo	stdCr
5.386466630352497020e+01 5.546900358943364188e-03 4.201499753059616434e-03 3.064093014101168522e-03
3.590977753568331110e+01 1.132329384092224667e-02 7.632544097671876450e-03 5.442549920782931323e-03
2.693233315176248510e+01 1.638073512621293637e-02 1.125873601794607874e-02 8.331943961207986110e-03
2.154586652140998737e+01 2.374987437440723853e-02 1.645000711988138173e-02 1.140460767137410451e-02
1.795488876784165555e+01 3.277457177038835962e-02 2.196063039757283758e-02 1.642094864743392016e-02
1.538990465814999098e+01 4.230235803195498551e-02 2.765881584572525698e-02 2.077123245780236604e-02
1.346616657588124255e+01 5.173913539546810131e-02 3.415611443646438677e-02 2.602025379128369842e-02
1.196992584522777037e+01 6.349899515856312349e-02 4.139760452102390215e-02 3.249894618646085448e-02
1.077293326070499369e+01 7.888257715372870571e-02 5.086403379108617173e-02 4.065206034377066846e-02
9.793575691549994744e+00 9.815394225626088154e-02 6.185983388420018131e-02 5.000887273061521698e-02
8.286871739003840887e+00 1.292262045389049874e-01 8.040363183801592373e-02 6.627666473994832386e-02
7.694952329074995490e+00 1.439872357216192555e-01 8.822834358582776204e-02 7.466975939596814937e-02
6.733083287940621275e+00 1.709071446008523232e-01 1.071192435540759269e-01 8.963353460104604709e-02
5.984962922613885183e+00 1.943835603682529112e-01 1.244816840986563838e-01 1.078971097907578530e-01
5.386466630352496843e+00 2.151070121080824182e-01 1.441368371191010522e-01 1.231343420064752309e-01
4.683884026393475786e+00 2.426448717543634725e-01 1.619148492647156934e-01 1.476596735426704277e-01
4.143435869501920443e+00 2.766564932241558084e-01 1.923534078643592271e-01 1.686724192929206501e-01
3.714804572656894344e+00 2.949740035740082145e-01 2.062457372246631615e-01 1.860543312873813027e-01
3.366541643970310638e+00 3.578926370151104819e-01 3.002124924404112050e-01 2.873509756549932903e-01
