# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	vx_6	vx_7	
2.030139220299999714e+00 -2.655000000004292815e-03 -3.143349999959355046e-03 -5.187950000049568189e-03 -1.400755000008757634e-02 2.349850000007336348e-02 -1.116945000001123844e-02 5.000003966415533796e-08 -2.990750000094521965e-03
3.030139220299999714e+00 9.338349999779893551e-03 -8.697450000113349233e-03 -1.065069999992829253e-02 -6.835899999941830174e-03 2.450559999999768479e-02 -9.826649999808978464e-03 -7.843050000133189315e-03 -1.136868377216160297e-13
4.030139220299998826e+00 1.464840000016920385e-02 -1.629640000010112999e-02 6.103999999140796717e-04 -1.129149999997025589e-02 2.600100000017846469e-02 -1.434329999983674497e-02 -7.629400000041641761e-03 -5.371100000047590584e-03
5.030139220299998826e+00 9.364929000000756787e-01 -9.451294000000416418e-01 1.498414999991837249e-02 9.071960499998112937e-01 -9.050292999997964216e-01 -1.385500000014872057e-02 1.831500001117092324e-04 -1.235965000000760483e-02
6.030139220299998826e+00 9.611816499998440122e-01 -9.735107499998321146e-01 1.434329999983674497e-02 9.326782000000548578e-01 -9.423217999994903948e-01 -6.714000010106246918e-04 6.714000001011299901e-04 -1.867669999910503975e-02
7.030139220299998826e+00 -1.129149999997025589e-03 -1.666255000009186915e-02 1.650994999999966240e-02 -2.084345000002940651e-02 5.981400000109715620e-03 4.486100000121950870e-03 5.859399999735614983e-03 -1.550295000015466940e-02
8.030139220299998826e+00 -6.835950000095181167e-03 -3.662099999473866774e-03 1.068114999998215353e-02 -1.699830000006841146e-02 -1.150509999979476561e-02 6.164549999994051177e-03 1.931759999979476561e-02 -1.748654999983045855e-02
9.030139220299998826e+00 9.094848499998988700e-01 -9.309998000003361085e-01 1.181029999997917912e-02 9.158325999997032341e-01 -9.379577999993671256e-01 9.124749999955383828e-03 9.301757499997620471e-01 -5.004900000130874105e-03
1.003013922029999883e+01 1.039001500000267697e+00 -1.054321300000083284e+00 8.300800000142771751e-03 1.047363300000142772e+00 -1.063659700000243902e+00 7.324199999857228249e-03 9.738158999998631771e-01 6.982429999970918288e-02
1.103013922029999883e+01 1.255310000000008586e+00 -1.258300799999688024e+00 -2.014200000303389970e-03 1.262176499999441148e+00 -1.266509899999618938e+00 3.661999999167164788e-03 -6.347599998662190046e-03 1.256347599999116937e+00
1.203013922029999883e+01 1.154815699999744538e+00 -1.166809099999227328e+00 6.713999991916352883e-04 1.161499050000202260e+00 -1.395050049999554176e+00 2.401733499991678400e-01 -1.165775000026769703e-02 1.156158450000475568e+00
1.303013922029999705e+01 -8.361849999346304685e-03 -7.812500000909494702e-03 1.617450000594544690e-03 -1.129149999542278238e-03 3.173699999479140388e-04 1.330529999677310116e-03 -3.356500001245876774e-04 -6.378199999744538218e-03
1.403013922029999705e+01 1.098629999978584237e-02 -1.763909999863244593e-02 6.957999999940511771e-03 -5.981500000416417606e-03 1.336669999909645412e-02 -1.806639999995240942e-02 8.361800000784569420e-03 -1.336670000091544352e-02
1.503013922029999705e+01 8.311767499999405118e-01 -2.465819999997620471e-02 1.367179999942891300e-02 -2.685499999643070623e-03 -2.319299999726354145e-03 -8.290100499998516170e-01 8.283386499988409923e-01 -8.373413499994057929e-01
1.603013922029999705e+01 1.218567000005350565e-01 -1.351929999964340823e-02 2.838149999661254697e-03 -2.532949999476841185e-03 3.540050000083283521e-03 -1.414795499995307182e-01 1.337890999993760488e-01 -1.361693999997442006e-01
1.703013922029999705e+01 -5.645749999530380592e-03 -1.419065000027330825e-02 8.819550000225717667e-03 -1.516724999964935705e-02 3.173799999785842374e-03 -3.051000003324588761e-04 -5.188049999560462311e-03 1.647950000005948823e-03
1.803013922029999705e+01 6.866400000035355333e-03 -2.200315000027330825e-02 7.995599999958358239e-03 -1.449580000007699709e-02 4.028349999316560570e-03 -6.866549999358539935e-03 9.033299999828159343e-03 -9.368949999952747021e-03
1.903013922029999705e+01 1.647900000534718856e-03 -1.165770000079646707e-02 8.972200001153396443e-03 -1.599119999991671648e-02 1.202389999889419414e-02 -7.324199999857228249e-03 9.764999995240941644e-04 -1.763909999863244593e-02
2.003013922029999705e+01 1.834115000110614346e-02 -1.397710000037477585e-02 6.714000001011299901e-04 -1.034550000076706056e-02 -4.882499997620470822e-04 -6.347649999042914715e-03 1.150504999986878829e-02 -1.882930000101623591e-02
2.103013922029999705e+01 1.965329999984533060e-02 -1.132200000029115472e-02 3.051500007131835446e-04 -8.148150000124587677e-03 2.014150000832160003e-03 -5.676300001141498797e-03 3.845249999358202331e-03 -7.537849998698220588e-03
