# r	vx_0	vx_1	vx_2	vx_3	vx_4	vx_5	
2.030139220299999714e+00 3.528268434999995407e+01 -4.052645186999998828e+02 -1.912728748999999766e+02 8.146537979999999379e+01 4.399963302000000454e+02 -2.912540283000000159e+02
3.030139220299999714e+00 3.483566289999998844e+01 -4.048429871000000730e+02 -1.921133002999999633e+02 8.109679789999998434e+01 4.411224899999999138e+02 -2.912673492999998643e+02
4.030139220299998826e+00 3.418902580000008129e+01 -4.042063446000003069e+02 -1.922703207999999222e+02 8.019266119999997500e+01 4.412563553500000353e+02 -2.910220337500001051e+02
5.030139220299998826e+00 3.314434814999981427e+01 -4.035024870999999393e+02 -1.922099038000000064e+02 7.939539719999999079e+01 4.410673598999998717e+02 -2.910650329499998179e+02
6.030139220299998826e+00 3.182183834999977989e+01 -4.032049866000000975e+02 -1.912981357499999149e+02 7.818696410000001151e+01 4.412623252999999863e+02 -2.913136597000000165e+02
7.030139220299998826e+00 3.185614020000002711e+01 -4.038173065499998984e+02 -1.913586006000000737e+02 7.789474859999998557e+01 4.416236877999998569e+02 -2.913045196499998610e+02
8.030139220299998826e+00 3.220147720000022673e+01 -4.032099916000001940e+02 -1.913557204999999612e+02 7.725371169999993981e+01 4.426169929500001672e+02 -2.916279907000000549e+02
9.030139220299998826e+00 3.255664059999980964e+01 -4.025313262999998187e+02 -1.913164824999998928e+02 7.736579889999984516e+01 4.425943451000002824e+02 -2.927693482000004224e+02
1.003013922029999883e+01 3.361730950000128360e+01 -4.024246291000008569e+02 -1.913219223499998520e+02 7.654457855000003974e+01 4.425746536000000333e+02 -2.929826659999998810e+02
1.103013922029999883e+01 3.314599610000004759e+01 -4.016070099000000937e+02 -1.913288040000001615e+02 7.659096525000001066e+01 4.429436442166662573e+02 -2.941432902166661734e+02
1.203013922029999883e+01 3.360668949999944743e+01 -4.023553619999997863e+02 -1.913936004500001786e+02 7.791910940000008168e+01 4.433591804499994851e+02 -2.945861663999994562e+02
1.303013922029999705e+01 3.254699704999984533e+01 -4.014576873999999407e+02 -1.923021469000000252e+02 7.875548549999984971e+01 4.426349944999992658e+02 -2.939173278999987815e+02
1.403013922029999705e+01 3.357666020000033313e+01 -4.025136719000001904e+02 -1.913976402000000689e+02 7.892598720000000867e+01 4.430357806333336157e+02 -2.942726236833336770e+02
1.503013922029999705e+01 3.355285640000056446e+01 -4.015939941500000714e+02 -1.912471522499998287e+02 7.776500134999997726e+01 4.437279394833335573e+02 -2.938084411333334174e+02
1.603013922029999705e+01 3.445558680000010554e+01 -4.020582174000004443e+02 -1.921262321499995096e+02 7.738925554999980250e+01 4.450293349999997190e+02 -2.938550109499992686e+02
1.703013922029999705e+01 3.410101329999815789e+01 -4.016809845999987374e+02 -1.923125762000001941e+02 7.640998260000003484e+01 4.453755703000000494e+02 -2.928344878499997321e+02
1.803013922029999705e+01 3.433749390000048152e+01 -4.017962340999997650e+02 -1.932614249999998037e+02 7.643637079999996331e+01 4.455269889999988209e+02 -2.918465118499989330e+02
1.903013922029999705e+01 3.461145020000003569e+01 -4.015193328333343743e+02 -1.928379516666664131e+02 7.564997099999982311e+01 4.475465347200002952e+02 -2.937172119200000679e+02
2.003013922029999705e+01 3.494448849999935192e+01 -4.009316863999983980e+02 -1.928469562500001757e+02 7.473762319999991632e+01 4.497373389999997926e+02 -2.959456940000004579e+02
2.103013922029999705e+01 3.586236574999929871e+01 -4.008118438999999853e+02 -1.935820712500002401e+02 7.443139834999999493e+01 4.500566330000001471e+02 -2.953431396500009214e+02
2.203013922029999705e+01 3.676434324999900127e+01 -4.009126586999996107e+02 -1.939820747999997366e+02 7.428458404999969389e+01 4.500561333500006640e+02 -2.945464478000012605e+02
2.303013922029999705e+01 3.789099130000249716e+01 -4.016913147500022205e+02 -1.937829799499993442e+02 7.484599110000021938e+01 4.500579910000005839e+02 -2.946293029000007664e+02
2.403013922029999705e+01 3.806616204999954789e+01 -4.015656814500007386e+02 -1.937735327999995434e+02 7.406703560000016751e+01 4.500601730499997757e+02 -2.938163299499992718e+02
2.503013922029999350e+01 3.932380169999976260e+01 -4.031384683999998515e+02 -1.937559891000003063e+02 7.483166885000014190e+01 4.500509986999986722e+02 -2.938168181999990338e+02
2.603013922029999350e+01 3.986282350000146835e+01 -4.037390137000020331e+02 -1.937964514999994208e+02 7.376080699999965873e+01 4.501308289000007790e+02 -2.938371583000007377e+02
2.703013922029999350e+01 3.996301269999821670e+01 -4.026906508999991274e+02 -1.949395312999997714e+02 7.390186500000004344e+01 4.511100311000009242e+02 -2.948653564000014740e+02
2.803013922029999350e+01 3.887103274999935820e+01 -4.013876494500000263e+02 -1.949647396000001720e+02 7.264405694999973662e+01 4.529803352500007350e+02 -2.967165222000003268e+02
