# r	p	err_p
2.550798926697998237e+00 3.322710195621194629e-01 1.242814666029783046e-03
3.597223558660084475e+00 3.339749258700515089e-01 1.759364804575125948e-03
4.380307166111196082e+00 3.313499830371356425e-01 8.824010032804578251e-04
5.042535623898215746e+00 3.369499856205390720e-01 1.245178548587886052e-03
5.646665993887238777e+00 3.329526509930558209e-01 8.842863680463466242e-04
6.180033889266080216e+00 3.318703442721964714e-01 1.549651748977319598e-03
6.685848834787267769e+00 3.326528622045964445e-01 6.224182424787869572e-04
7.137250713492398368e+00 3.307955843167110777e-01 1.946307854255304717e-03
7.570806850682849642e+00 3.320102531569607551e-01 7.149843281670424742e-04
7.989117030298211297e+00 3.335420807580254388e-01 9.002485202541830270e-04
8.374181812512055956e+00 3.312055899234275236e-01 8.853681544512935356e-04
8.719031668950858460e+00 3.309309585016526056e-01 9.557763844379212536e-04
9.099067889943938781e+00 3.330493964922442429e-01 5.036676721778115271e-04
9.803439218751098139e+00 3.319331713964097652e-01 5.943990076600679049e-04
1.039326088745881016e+01 3.340887933327422732e-01 5.741744300508542977e-04
1.097830103069143703e+01 3.324663699850533005e-01 4.095913567605179400e-04
1.158217820352388472e+01 3.316126718238042725e-01 5.377249336892288550e-04
1.207707816277664392e+01 3.346354632702209231e-01 5.513768466033926565e-04
1.262522676634169905e+01 3.319660844519178866e-01 4.395530103290008089e-04
1.323072527512218777e+01 3.328769696488046437e-01 3.280273802993180195e-04
1.405275112679977845e+01 3.321258172822053600e-01 4.417121900770450073e-04
1.465739259230500302e+01 3.320328026436362712e-01 3.149088972076398082e-04
1.534406841530732102e+01 3.324343132345577434e-01 3.312530326993689232e-04
1.579846420739490931e+01 3.326654296724892990e-01 5.719391017693051553e-04
1.641438122169402902e+01 3.320564203322994290e-01 2.861288360311126881e-04
1.692907004326907128e+01 3.321144187643191303e-01 3.851211676842338362e-04
1.731330525286182720e+01 3.324580802641055044e-01 4.358043638238187590e-04
1.769304959757732121e+01 3.318731666796459479e-01 3.591822417451498222e-04
1.822008811065195033e+01 3.316210798987078157e-01 3.240054106472800544e-04
1.869663878511535415e+01 3.332367737866498425e-01 3.304248298351335038e-04
1.920380620680995420e+01 3.314576649780903161e-01 2.915432645599505090e-04
1.966983250250712345e+01 3.331464015295145797e-01 3.447573749549250792e-04
2.006058387338504545e+01 3.326402621166075768e-01 3.448262668634431358e-04
2.077248260379743883e+01 3.319407862243106688e-01 2.073604719020035239e-04
2.154250567158058161e+01 3.320226813751377404e-01 2.648295944635349381e-04
2.201435565851555864e+01 3.308750036746332945e-01 2.704239300931957080e-04
2.277135154793577954e+01 3.319107016095151352e-01 2.078414747158811111e-04
2.327524746046936954e+01 3.317764732755530965e-01 3.328163473952401173e-04
2.356685929901211551e+01 3.315073675449713431e-01 3.359378573850736564e-04
2.411907740933020960e+01 3.315743939451458733e-01 1.993319107756242367e-04
2.498424489109947899e+01 3.317726472886046163e-01 1.905036124471735036e-04
2.566330082068526153e+01 3.314342229607263324e-01 2.041450658737165610e-04
2.623419618697957389e+01 3.319183718472138445e-01 2.514437312053046498e-04
2.662464351046508426e+01 3.309705677359551790e-01 3.249659062260122308e-04
2.701863923577623794e+01 3.322294444408849245e-01 2.185079524804925356e-04
2.740417041723910785e+01 3.312584828947724991e-01 2.446766751241427748e-04
2.800645434748977181e+01 3.318344602192144221e-01 1.835759202331184968e-04
2.848059037478648392e+01 3.299856178665400708e-01 3.223765069606847268e-04
2.907552232926551739e+01 3.310612325796337685e-01 1.568324157895811019e-04
2.972910233319532125e+01 3.307762455872378382e-01 1.996531735427420741e-04
3.047845503532639455e+01 3.310826065149449771e-01 1.558229779545949498e-04
3.117324670702874556e+01 3.310736183716034842e-01 1.899081334007251707e-04
3.165483998584230108e+01 3.311516490348356268e-01 1.949844686824193875e-04
3.220641150144922449e+01 3.314456234371188081e-01 1.812645773168125921e-04
3.289258265098957423e+01 3.312294051651500371e-01 1.513245364689183234e-04
3.352822765592029697e+01 3.309123610618724953e-01 1.817105570253356266e-04
3.398028865454215008e+01 3.319223138701261067e-01 1.980953757518765467e-04
3.453815778472332454e+01 3.316722807011774354e-01 1.565949841095933481e-04
3.516294392293291082e+01 3.312613967669260084e-01 1.720333978100809760e-04
3.580508961141814694e+01 3.317537786827473023e-01 1.366926318563521777e-04
3.635623262099837660e+01 3.317163907208231510e-01 2.161871371765203417e-04
3.679489107731820496e+01 3.319010808028313164e-01 1.715615921342171534e-04
3.723933676341563626e+01 3.315084855706721401e-01 1.846566192429236776e-04
3.772766300911978021e+01 3.316262556050755816e-01 1.593992372969491901e-04
3.818141951079776675e+01 3.319917391095528747e-01 1.692337085492760795e-04
3.871456308570775207e+01 3.314393589501782311e-01 1.601094718967824683e-04
3.941809079229431489e+01 3.316689356582089299e-01 1.219018866722347501e-04
