# r	p	err_p
2.546889669745960649e+00 3.361632857500626015e-01 1.219230365366941312e-03
3.590145118960235138e+00 3.275568466392868028e-01 1.732251063416130827e-03
4.374792448188969729e+00 3.328367551326990581e-01 8.636127513423530640e-04
5.039667030576477025e+00 3.354010855699242066e-01 1.219005736427074922e-03
5.641715507137460506e+00 3.319335631463490865e-01 8.646053803881556055e-04
6.178136746739213869e+00 3.356683290821182442e-01 1.503665792907659185e-03
6.679745500575404726e+00 3.342992411315392487e-01 6.075171449757729410e-04
7.133432965369426171e+00 3.388277364921495338e-01 1.818373285708214330e-03
7.568045095979523573e+00 3.333141735710238862e-01 6.992479524002275394e-04
7.981312904518754969e+00 3.366474017873055669e-01 8.690248993268995508e-04
8.365107554312810834e+00 3.365071847854534393e-01 8.599202158631204761e-04
8.720231918260033410e+00 3.387983425414364813e-01 9.040891928676608172e-04
9.094509922859570494e+00 3.336165392240158512e-01 4.907433958354704947e-04
9.786307324231014348e+00 3.338442743868707541e-01 5.856026431902214150e-04
1.037246334611831777e+01 3.361223356280605423e-01 5.499762767610807219e-04
1.097240646236435602e+01 3.362634492576982992e-01 3.898315341215401165e-04
1.158468459797110484e+01 3.346278435439730137e-01 5.212105058052378956e-04
1.207341093516233776e+01 3.349302238680840760e-01 5.336226930922713819e-04
1.261956667129472365e+01 3.364628228698876011e-01 4.228926961485525026e-04
1.322205888436498356e+01 3.354711732665195956e-01 3.143696926087315960e-04
1.404510207826863244e+01 3.352273070533152155e-01 4.236597366169001845e-04
1.465319618787387412e+01 3.350356797290759414e-01 2.997542109129849430e-04
1.533209055881657434e+01 3.347106865762587424e-01 3.208088340055682830e-04
1.577836432963097124e+01 3.355017964071856373e-01 5.334379843173392205e-04
1.640396381725453523e+01 3.352563229322758631e-01 2.725041554574038588e-04
1.691690305563641061e+01 3.342067069669444335e-01 3.667158956246485972e-04
1.730269268481832867e+01 3.354765485182368834e-01 4.120995311673555689e-04
1.768139717388453747e+01 3.345161903554907945e-01 3.431578732806900246e-04
1.821030915564649177e+01 3.351651615969581943e-01 3.048031344729310293e-04
1.868622531690066069e+01 3.343051767005721930e-01 3.157883180384808653e-04
1.919570883874395761e+01 3.350615364193199608e-01 2.741052650423963068e-04
1.966136338592043842e+01 3.343284613272777261e-01 3.288478456449619915e-04
2.004514751628970615e+01 3.350269978694943029e-01 3.279938829643348958e-04
2.075965572773459300e+01 3.339544497597881634e-01 1.948953530149632053e-04
2.152743475253615202e+01 3.338859681968014970e-01 2.537687896183091337e-04
2.199338062850319275e+01 3.339654127016207785e-01 2.509263087776731922e-04
2.275267280913989865e+01 3.344567611868618506e-01 1.969920104310156437e-04
2.325273725957228876e+01 3.344197219354920758e-01 3.077938223567726296e-04
2.354849369205539489e+01 3.339804238442846684e-01 3.150154221934137254e-04
2.410148640368808870e+01 3.339496184042061167e-01 1.861746499254345120e-04
2.497332387708956603e+01 3.340103856978633989e-01 1.773350310227242205e-04
2.566218476715157237e+01 3.337878758931641654e-01 1.884999278536841699e-04
2.622849434119780199e+01 3.345784340374290400e-01 2.406899757694198395e-04
2.661176514035437179e+01 3.332115584571172517e-01 2.967836603608491270e-04
2.699820089584422433e+01 3.339118353993066890e-01 2.095889540037468497e-04
2.737659745583384208e+01 3.347871915094682294e-01 2.216028872238575841e-04
2.798023433236140178e+01 3.340919408195870410e-01 1.727520386267247050e-04
2.845270439787545769e+01 3.346547651376722832e-01 2.848476807653646720e-04
2.906056609960868897e+01 3.339700340535012857e-01 1.452521157238412198e-04
2.971236603734913473e+01 3.337971066272058529e-01 1.845948078942452109e-04
3.046087590297617709e+01 3.342888386622693275e-01 1.439268775627140697e-04
3.115629016434524345e+01 3.338730089260710798e-01 1.742266098121425500e-04
3.163866894781977024e+01 3.346134751292033638e-01 1.796168659622507553e-04
3.218314430341938248e+01 3.340275927533449818e-01 1.685514628679107949e-04
3.286679280339713927e+01 3.340913231814658935e-01 1.381460155779075773e-04
3.351127145488820958e+01 3.339280473723330589e-01 1.649275389616072112e-04
3.396652921018667115e+01 3.341907241138802331e-01 1.815370703006688306e-04
3.452224085860139269e+01 3.337422527585628407e-01 1.434935543589416890e-04
3.514562965133589501e+01 3.339599627664571746e-01 1.569323691847231107e-04
3.578611444510764272e+01 3.338032014378225498e-01 1.248140336569012691e-04
3.633620597827884069e+01 3.331449982540887200e-01 1.958805314593479671e-04
3.677597307628312251e+01 3.331689620527976681e-01 1.563077431322352790e-04
3.722272214183244188e+01 3.337916101937843383e-01 1.661483113764036334e-04
3.771575244644498781e+01 3.331257258358573115e-01 1.446429250543777726e-04
3.816453223082535828e+01 3.337662192089237423e-01 1.543559709095120849e-04
3.869566485070546236e+01 3.337329220601778501e-01 1.445851173150971701e-04
3.940157837064442248e+01 3.334268012903044975e-01 1.099493926823921780e-04
