# r	p	err_p
2.488282535649688487e+00 1.776414247231367927e-01 0.000000000000000000e+00
3.512059255948368541e+00 2.056359102244388892e-01 0.000000000000000000e+00
4.309028598618138695e+00 2.381848546786978493e-01 0.000000000000000000e+00
4.958362347358583833e+00 2.905128013734418202e-01 0.000000000000000000e+00
5.558710278247257719e+00 3.142369274171595284e-01 0.000000000000000000e+00
5.978361126016218385e+00 3.252513682066946465e-01 0.000000000000000000e+00
6.596108789863037281e+00 3.270186438982090049e-01 0.000000000000000000e+00
7.425804849842527311e+00 3.556772741019523232e-01 0.000000000000000000e+00
7.978664967188771051e+00 3.443034134007585401e-01 0.000000000000000000e+00
8.367661651745159190e+00 3.538868738358984523e-01 0.000000000000000000e+00
8.908935704333837080e+00 3.681228497104976349e-01 0.000000000000000000e+00
9.638283378907168242e+00 3.572099713480343941e-01 0.000000000000000000e+00
1.025241579598492692e+01 3.512383518401900329e-01 0.000000000000000000e+00
1.086085221382767863e+01 3.525802264066665859e-01 0.000000000000000000e+00
1.147513829265859364e+01 3.520553286678843596e-01 0.000000000000000000e+00
1.208614484943102596e+01 3.390941788864795803e-01 0.000000000000000000e+00
1.265039931798267325e+01 3.382017872452171559e-01 0.000000000000000000e+00
1.321008201044531383e+01 3.347938417229622265e-01 0.000000000000000000e+00
1.396473528360635719e+01 3.283070256594226022e-01 0.000000000000000000e+00
1.448149520083638997e+01 3.281081035055303241e-01 0.000000000000000000e+00
1.489226992732005250e+01 3.283830889369243056e-01 0.000000000000000000e+00
1.525207810378857332e+01 3.298730218895100652e-01 0.000000000000000000e+00
1.569630320863061179e+01 3.263527821292763753e-01 0.000000000000000000e+00
1.619382654531241528e+01 3.266927459457165672e-01 0.000000000000000000e+00
1.676383994540879030e+01 3.277882246892365181e-01 0.000000000000000000e+00
1.747930147288548852e+01 3.291691898146760220e-01 0.000000000000000000e+00
1.814267177578468804e+01 3.323050084339744803e-01 0.000000000000000000e+00
1.868277542478433872e+01 3.328789514451783726e-01 0.000000000000000000e+00
1.920514157664795718e+01 3.339234484077651111e-01 0.000000000000000000e+00
1.965553975608434101e+01 3.329643848510334125e-01 0.000000000000000000e+00
2.001842873683546031e+01 3.353589091778563791e-01 0.000000000000000000e+00
2.049311320930339164e+01 3.366119725302577081e-01 0.000000000000000000e+00
2.092423926775572696e+01 3.370745030763476202e-01 0.000000000000000000e+00
2.146024146930724896e+01 3.360903725753869864e-01 0.000000000000000000e+00
2.203109864836238430e+01 3.363171399462983602e-01 0.000000000000000000e+00
2.270590346594515196e+01 3.353524930225540990e-01 0.000000000000000000e+00
2.332307498935740853e+01 3.345117010846759831e-01 0.000000000000000000e+00
2.399125569853642048e+01 3.335962812447809123e-01 0.000000000000000000e+00
2.466042646583358788e+01 3.327288615341056355e-01 0.000000000000000000e+00
2.513922070810700049e+01 3.323621383030897491e-01 0.000000000000000000e+00
2.556886934580180437e+01 3.313869477144765208e-01 0.000000000000000000e+00
2.612773913797350289e+01 3.302687377607981256e-01 0.000000000000000000e+00
2.666296007827075343e+01 3.300509373969820470e-01 0.000000000000000000e+00
2.719372987437353473e+01 3.300141673282571686e-01 0.000000000000000000e+00
2.775611538743967088e+01 3.302660109457745130e-01 0.000000000000000000e+00
2.821819637078812093e+01 3.304817356465654110e-01 0.000000000000000000e+00
2.911416469606787061e+01 3.305083878969669042e-01 0.000000000000000000e+00
3.000594543771625311e+01 3.311086710283023260e-01 0.000000000000000000e+00
3.055166551660839147e+01 3.317637388947318744e-01 0.000000000000000000e+00
3.117553842019210109e+01 3.323517526657727705e-01 0.000000000000000000e+00
3.163315976245431926e+01 3.315729257531510599e-01 0.000000000000000000e+00
3.208495927787872404e+01 3.322128966970845365e-01 0.000000000000000000e+00
3.256989319338707389e+01 3.328274236761503690e-01 0.000000000000000000e+00
3.304519231225758347e+01 3.328249988400592274e-01 0.000000000000000000e+00
3.343457759404036267e+01 3.320583508398146089e-01 0.000000000000000000e+00
3.383181578890268781e+01 3.329528137054052483e-01 0.000000000000000000e+00
3.447039357228221235e+01 3.325565673751218476e-01 0.000000000000000000e+00
3.526893090326354496e+01 3.321609447458480080e-01 0.000000000000000000e+00
3.590612905056586612e+01 3.319551301915023567e-01 0.000000000000000000e+00
3.665511618223096235e+01 3.315574726859699672e-01 0.000000000000000000e+00
3.771489694258120551e+01 3.316218511771809596e-01 0.000000000000000000e+00
3.865208856286515982e+01 3.310482400028772476e-01 0.000000000000000000e+00
3.937186085066001340e+01 3.314623448371980530e-01 0.000000000000000000e+00
