# r	p	err_p
2.488282535649688487e+00 3.103646929165414514e-01 1.234869438776348355e-03
3.512059255948368541e+00 5.116686698717948234e-01 1.441116362412117992e-03
4.309028598618138695e+00 4.820820820820820862e-01 7.507544590243413933e-04
4.958362347358583833e+00 2.903597843800927447e-01 1.244243107870769954e-03
5.558710278247257719e+00 2.630167402639522756e-01 8.823845374175765324e-04
5.978361126016218385e+00 1.344906649197510629e-01 1.879692436134615049e-03
6.596108789863037281e+00 3.825210665149765821e-01 5.572317164224323835e-04
7.425804849842527311e+00 3.019710460137293717e-01 6.453697237291394643e-04
7.978664967188771051e+00 3.741779477528885400e-01 7.555157867084076259e-04
8.367661651745159190e+00 3.389936215450035650e-01 9.157624971633296883e-04
8.908935704333837080e+00 2.673302273048143718e-01 4.578276810867211531e-04
9.638283378907168242e+00 3.559966364177849507e-01 5.815538104012485561e-04
1.025241579598492692e+01 3.243210737738436156e-01 4.908938146503806325e-04
1.086085221382767863e+01 3.471875881365729666e-01 4.044614619418194883e-04
1.147513829265859364e+01 2.941474506314722959e-01 5.037541572162718227e-04
1.208614484943102596e+01 3.269801644019894038e-01 4.402871648297550775e-04
1.265039931798267325e+01 3.329302939523468008e-01 3.918896744955927621e-04
1.321008201044531383e+01 3.401317132938533883e-01 3.545211442503062014e-04
1.396473528360635719e+01 3.519674959121424362e-01 3.711914409310098479e-04
1.448149520083638997e+01 3.383667516381242413e-01 3.558344584008920827e-04
1.489226992732005250e+01 3.382662441810428966e-01 4.812915529259067311e-04
1.525207810378857332e+01 3.263456428222452632e-01 3.781037403702388797e-04
1.569630320863061179e+01 3.431797102376307196e-01 4.339219479125737736e-04
1.619382654531241528e+01 3.440582117033881282e-01 3.106603141231470736e-04
1.676383994540879030e+01 3.409798296126951844e-01 2.841776653950961050e-04
1.747930147288548852e+01 3.421725839903453359e-01 2.664445641795492280e-04
1.814267177578468804e+01 3.304533717957798822e-01 2.773458027918477772e-04
1.868277542478433872e+01 3.368952206784819881e-01 3.016444686598749063e-04
1.920514157664795718e+01 3.343484571197091193e-01 2.669896698790618088e-04
1.965553975608434101e+01 3.337713016857402071e-01 3.610120274308824544e-04
2.001842873683546031e+01 3.360062452396674337e-01 3.066055587095227616e-04
2.049311320930339164e+01 3.349364184400456801e-01 2.627050722617415798e-04
2.092423926775572696e+01 3.288004522622019477e-01 3.113243205398901251e-04
2.146024146930724896e+01 3.312702807371183389e-01 2.187469171084114260e-04
2.203109864836238430e+01 3.319458346884621158e-01 2.617888493193545863e-04
2.270590346594515196e+01 3.329880266053883431e-01 1.900177958761973640e-04
2.332307498935740853e+01 3.318718598863689695e-01 2.415382986142634067e-04
2.399125569853642048e+01 3.340747880260934166e-01 1.823263132587002726e-04
2.466042646583358788e+01 3.332125685650436653e-01 2.245213352026969125e-04
2.513922070810700049e+01 3.350193160342786469e-01 2.164222051014193780e-04
2.556886934580180437e+01 3.327680189748343786e-01 2.584285829700684318e-04
2.612773913797350289e+01 3.350891175347438522e-01 1.785319273097966876e-04
2.666296007827075343e+01 3.360263515815899993e-01 2.400686315297273228e-04
2.719372987437353473e+01 3.343429564545717936e-01 1.694517274793710287e-04
2.775611538743967088e+01 3.346291248957254383e-01 2.411396251462205392e-04
2.821819637078812093e+01 3.353738037697397978e-01 1.741511849342082128e-04
2.911416469606787061e+01 3.347395988803952283e-01 1.267863450798770966e-04
3.000594543771625311e+01 3.343573810448500772e-01 1.629438225094427995e-04
3.055166551660839147e+01 3.338152744786163639e-01 1.786166445294504667e-04
3.117553842019210109e+01 3.328238889720698812e-01 1.550609644549666509e-04
3.163315976245431926e+01 3.330752246616489054e-01 2.173794316319152889e-04
3.208495927787872404e+01 3.334574721204973669e-01 1.673177962828459461e-04
3.256989319338707389e+01 3.334576875512961225e-01 1.774952062037607524e-04
3.304519231225758347e+01 3.331111742438784828e-01 1.746063605911570872e-04
3.343457759404036267e+01 3.340403165745521874e-01 2.059204632764419826e-04
3.383181578890268781e+01 3.319114461760424017e-01 1.669222929883582235e-04
3.447039357228221235e+01 3.325637477913714890e-01 1.276415293566198785e-04
3.526893090326354496e+01 3.330479760374013276e-01 1.255856961088215162e-04
3.590612905056586612e+01 3.341141167116880029e-01 1.550715896212691064e-04
3.665511618223096235e+01 3.330673676657702753e-01 1.063858285782787752e-04
3.771489694258120551e+01 3.329328504663712773e-01 9.961159590455641820e-05
3.865208856286515982e+01 3.338393765845197314e-01 1.130990186186726936e-04
3.937186085066001340e+01 3.334336897613930928e-01 1.270772369143725498e-04
