# r	p	err_p
2.488415981977685654e+00 2.625294147098582997e-01 0.000000000000000000e+00
3.510757795699960937e+00 5.195351632939291253e-01 0.000000000000000000e+00
4.309309792237499437e+00 4.865740335430293606e-01 0.000000000000000000e+00
4.955817264349337670e+00 2.643134309675804205e-01 0.000000000000000000e+00
5.559424768472383427e+00 2.403382094354446497e-01 0.000000000000000000e+00
5.963470399734503324e+00 1.049111807732497348e-01 0.000000000000000000e+00
6.588862247717185205e+00 3.873151672336555551e-01 0.000000000000000000e+00
7.413449382230384188e+00 3.075142414299804616e-01 0.000000000000000000e+00
7.976073742046320803e+00 3.881640778955665616e-01 0.000000000000000000e+00
8.364287582791412490e+00 3.426710283844978111e-01 0.000000000000000000e+00
8.906469089539193362e+00 2.603886277503247304e-01 0.000000000000000000e+00
9.635307797024394105e+00 3.694161216703130690e-01 0.000000000000000000e+00
1.024693753329237644e+01 3.258330628908894799e-01 0.000000000000000000e+00
1.085885229385270634e+01 3.545903443763325225e-01 0.000000000000000000e+00
1.147320813139008244e+01 2.868690482628936111e-01 0.000000000000000000e+00
1.200281934593786204e+01 3.256506728045325816e-01 0.000000000000000000e+00
1.258534070116741788e+01 3.298543230788497649e-01 0.000000000000000000e+00
1.320676678018954675e+01 3.389500835112793098e-01 0.000000000000000000e+00
1.396345331480911689e+01 3.520886251574206760e-01 0.000000000000000000e+00
1.448805916725231668e+01 3.348359691381723180e-01 0.000000000000000000e+00
1.490315024061426996e+01 3.329799639563235658e-01 0.000000000000000000e+00
1.525200266144286942e+01 3.196082586436906903e-01 0.000000000000000000e+00
1.569605571722358306e+01 3.395864967548901103e-01 0.000000000000000000e+00
1.619587114305022979e+01 3.428982674194128721e-01 0.000000000000000000e+00
1.676602310562821785e+01 3.369727163319205521e-01 0.000000000000000000e+00
1.747812590610621086e+01 3.399628883354199327e-01 0.000000000000000000e+00
1.813888201022706426e+01 3.267512266281111799e-01 0.000000000000000000e+00
1.867915391542355508e+01 3.357226158685305828e-01 0.000000000000000000e+00
1.920140562198590928e+01 3.321217891165890168e-01 0.000000000000000000e+00
1.965031284312060222e+01 3.310282332903902169e-01 0.000000000000000000e+00
2.001538681302597666e+01 3.357312603340856794e-01 0.000000000000000000e+00
2.049108390909421118e+01 3.335878773692584343e-01 0.000000000000000000e+00
2.092702405529136200e+01 3.268796840683483862e-01 0.000000000000000000e+00
2.146010476089311680e+01 3.291507870213266074e-01 0.000000000000000000e+00
2.202654002769749653e+01 3.303371376158511508e-01 0.000000000000000000e+00
2.270394077327118865e+01 3.317536377199101216e-01 0.000000000000000000e+00
2.331973812157574244e+01 3.302244629909943940e-01 0.000000000000000000e+00
2.398735982790861598e+01 3.324452722338358535e-01 0.000000000000000000e+00
2.465515263619948882e+01 3.298961274921796138e-01 0.000000000000000000e+00
2.513579750669830659e+01 3.320039818231952378e-01 0.000000000000000000e+00
2.556874468435235670e+01 3.301825416806846158e-01 0.000000000000000000e+00
2.612758220157047973e+01 3.329156194687648007e-01 0.000000000000000000e+00
2.666515378013422577e+01 3.334984709712755513e-01 0.000000000000000000e+00
2.719524555446311354e+01 3.314511236981546038e-01 0.000000000000000000e+00
2.775897086545241521e+01 3.310784957596870637e-01 0.000000000000000000e+00
2.821838742577162762e+01 3.323322530971082323e-01 0.000000000000000000e+00
2.910686987193997055e+01 3.318010050823183565e-01 0.000000000000000000e+00
3.000598343774571930e+01 3.317028099825195531e-01 0.000000000000000000e+00
3.055369688867018496e+01 3.308361564521096199e-01 0.000000000000000000e+00
3.132660610227726039e+01 3.301580655291531663e-01 0.000000000000000000e+00
3.208185117742112169e+01 3.308376850876438291e-01 0.000000000000000000e+00
3.256730425754875569e+01 3.312056804953547040e-01 0.000000000000000000e+00
3.304433731833321275e+01 3.308409028491216541e-01 0.000000000000000000e+00
3.343319093492502958e+01 3.312017597857951356e-01 0.000000000000000000e+00
3.382973169765019605e+01 3.301551454634533145e-01 0.000000000000000000e+00
3.447416414534995965e+01 3.297757216457323781e-01 0.000000000000000000e+00
3.527293967702631505e+01 3.308336343971694515e-01 0.000000000000000000e+00
3.590866090932379961e+01 3.321081578261073086e-01 0.000000000000000000e+00
3.665213664611406585e+01 3.306484389575118921e-01 0.000000000000000000e+00
3.770770750858445552e+01 3.303789456592156615e-01 0.000000000000000000e+00
3.864984232176654899e+01 3.319036811816616361e-01 0.000000000000000000e+00
3.937016135651108328e+01 3.309033237321066800e-01 0.000000000000000000e+00
