# r	p	err_p
2.488415981977685654e+00 3.110342754058929571e-01 1.234709899655919924e-03
3.510757795699960937e+00 5.110253583241455289e-01 1.442991633758783539e-03
4.309309792237499437e+00 4.819874531999349121e-01 7.511254350889293510e-04
4.955817264349337670e+00 2.911036318882804785e-01 1.245081047784729394e-03
5.559424768472383427e+00 2.624759957104022545e-01 8.822773728280174782e-04
5.963470399734503324e+00 1.383559725528637485e-01 1.954745118751506812e-03
6.588862247717185205e+00 3.801931987748370378e-01 5.599213941094330306e-04
7.413449382230384188e+00 3.033310901749663446e-01 6.418481485496536822e-04
7.976073742046320803e+00 3.731402078724886939e-01 7.554863318902893228e-04
8.364287582791412490e+00 3.418058858927701671e-01 9.191865171278366508e-04
8.906469089539193362e+00 2.671715056375546515e-01 4.571010487071924810e-04
9.635307797024394105e+00 3.565632936379331541e-01 5.839580627535599254e-04
1.024693753329237644e+01 3.235335411226237801e-01 4.912301544618297719e-04
1.085885229385270634e+01 3.475314536994880688e-01 4.031921839476692963e-04
1.147320813139008244e+01 2.936734064798847132e-01 5.066542696761940729e-04
1.200281934593786204e+01 3.276697847172726497e-01 5.149718497721644458e-04
1.258534070116741788e+01 3.314603162468305331e-01 3.559580871393399834e-04
1.320676678018954675e+01 3.406933252049557659e-01 3.535375882495256556e-04
1.396345331480911689e+01 3.521796797331188666e-01 3.716381730403574691e-04
1.448805916725231668e+01 3.378705083623116390e-01 3.501753341802097503e-04
1.490315024061426996e+01 3.404393736709210860e-01 4.900594912911808518e-04
1.525200266144286942e+01 3.261833641369126791e-01 3.804729826923744398e-04
1.569605571722358306e+01 3.437621024398518910e-01 4.339307098707492739e-04
1.619587114305022979e+01 3.445416873537705538e-01 3.088091494622550223e-04
1.676602310562821785e+01 3.408068534150581752e-01 2.852942800790385304e-04
1.747812590610621086e+01 3.425415833067548266e-01 2.667937393189658349e-04
1.813888201022706426e+01 3.311869894291700200e-01 2.779049043581098164e-04
1.867915391542355508e+01 3.374908749927458262e-01 3.008536224269646388e-04
1.920140562198590928e+01 3.341107920918582330e-01 2.677889632878940906e-04
1.965031284312060222e+01 3.337494652849921639e-01 3.604115317661874419e-04
2.001538681302597666e+01 3.369353122973985371e-01 3.054871804732976130e-04
2.049108390909421118e+01 3.348397827838212049e-01 2.624939440409081452e-04
2.092702405529136200e+01 3.297063768912119608e-01 3.080775894871025486e-04
2.146010476089311680e+01 3.313599516722858795e-01 2.207105126185634754e-04
2.202654002769749653e+01 3.322403048909978174e-01 2.608935102410546458e-04
2.270394077327118865e+01 3.332699156706659949e-01 1.899485598206737094e-04
2.331973812157574244e+01 3.327013305459718406e-01 2.419422127548321525e-04
2.398735982790861598e+01 3.344110278352827592e-01 1.823921420471827707e-04
2.465515263619948882e+01 3.334044502773561014e-01 2.249641502417084747e-04
2.513579750669830659e+01 3.355582396520412902e-01 2.152102878207180726e-04
2.556874468435235670e+01 3.331185674745653080e-01 2.576620467345696382e-04
2.612758220157047973e+01 3.358159938322917704e-01 1.787993311654727507e-04
2.666515378013422577e+01 3.358010254222438817e-01 2.377978830101741894e-04
2.719524555446311354e+01 3.352115038840287609e-01 1.702275261922140228e-04
2.775897086545241521e+01 3.345889964310228004e-01 2.379210171035658656e-04
2.821838742577162762e+01 3.362971698359124018e-01 1.758994349806828521e-04
2.910686987193997055e+01 3.351239742297481006e-01 1.269791279440500673e-04
3.000598343774571930e+01 3.349483992519389775e-01 1.606694050541038405e-04
3.055369688867018496e+01 3.342571772211472836e-01 1.809500999361388801e-04
3.132660610227726039e+01 3.335510284825988769e-01 1.261511672312434123e-04
3.208185117742112169e+01 3.337105759860032883e-01 1.673567857691120645e-04
3.256730425754875569e+01 3.344012039286091698e-01 1.772135371445996994e-04
3.304433731833321275e+01 3.333497886425794698e-01 1.740779765102535117e-04
3.343319093492502958e+01 3.340063248272092666e-01 2.067254460254872928e-04
3.382973169765019605e+01 3.325994472492120879e-01 1.668655233078300754e-04
3.447416414534995965e+01 3.331932166623723379e-01 1.267579366651974367e-04
3.527293967702631505e+01 3.334860393109071452e-01 1.262177095877630340e-04
3.590866090932379961e+01 3.346688493593251712e-01 1.543961913038970166e-04
3.665213664611406585e+01 3.334866941354045489e-01 1.071210882596717131e-04
3.770770750858445552e+01 3.333912596198123079e-01 9.936283700658122035e-05
3.864984232176654899e+01 3.343623583380209152e-01 1.127660440540447385e-04
3.937016135651108328e+01 3.338418213287352998e-01 1.273908267607000606e-04
