# r	p	err_p
2.529510455655711976e+00 1.836940873386709860e-01 0.000000000000000000e+00
3.103144500000780681e+00 nan nan
3.573306769485404821e+00 2.098508674038754296e-01 0.000000000000000000e+00
4.379614363520927256e+00 2.420823964327908917e-01 0.000000000000000000e+00
5.042554988822569584e+00 2.924314554110129527e-01 0.000000000000000000e+00
5.650741889422828734e+00 3.155783629603219342e-01 0.000000000000000000e+00
6.174846885187857737e+00 3.330076216533124911e-01 0.000000000000000000e+00
6.691984613891833078e+00 3.289947382996399883e-01 0.000000000000000000e+00
7.143904047233657018e+00 3.252616585124171733e-01 0.000000000000000000e+00
7.572161751416730979e+00 3.552370725260201589e-01 0.000000000000000000e+00
7.999119157453596252e+00 3.511079417901381561e-01 0.000000000000000000e+00
8.378299050115039392e+00 3.457544978593579121e-01 0.000000000000000000e+00
8.725984250974075707e+00 3.599345171376319708e-01 0.000000000000000000e+00
9.104385327486509638e+00 3.679533897432730183e-01 0.000000000000000000e+00
9.821588931147749335e+00 3.555285596405977633e-01 0.000000000000000000e+00
1.039425101819342956e+01 3.540525380457860138e-01 0.000000000000000000e+00
1.098571664134379944e+01 3.468320838221032876e-01 0.000000000000000000e+00
1.158350181197845252e+01 3.534075232226616126e-01 0.000000000000000000e+00
1.210403165516921931e+01 3.420345508439768811e-01 0.000000000000000000e+00
1.263401662859944530e+01 3.315298589101638438e-01 0.000000000000000000e+00
1.323074640716457040e+01 3.306961666628884799e-01 0.000000000000000000e+00
1.407052147293467748e+01 3.256707012727726447e-01 0.000000000000000000e+00
1.467870292107949481e+01 3.165343442137736329e-01 0.000000000000000000e+00
1.536453321352234269e+01 3.252208316399723409e-01 0.000000000000000000e+00
1.583097529115851465e+01 3.210353680200925819e-01 0.000000000000000000e+00
1.643848205853581135e+01 3.196074340882203990e-01 0.000000000000000000e+00
1.695263840017313939e+01 3.205452396988573982e-01 0.000000000000000000e+00
1.733459815359960388e+01 3.206203473160360584e-01 0.000000000000000000e+00
1.771462277956618436e+01 3.261496411876748658e-01 0.000000000000000000e+00
1.823186295184548555e+01 3.291476476458445322e-01 0.000000000000000000e+00
1.871113072830994994e+01 3.276173637423367979e-01 0.000000000000000000e+00
1.921962170881979759e+01 3.338596419503681578e-01 0.000000000000000000e+00
1.969214441166104024e+01 3.344896106497833310e-01 0.000000000000000000e+00
2.009916282105923457e+01 3.347992561847298321e-01 0.000000000000000000e+00
2.078934830305795245e+01 3.393110379816066113e-01 0.000000000000000000e+00
2.156702494710480522e+01 3.400411315209092566e-01 0.000000000000000000e+00
2.205840118183801124e+01 3.416001934943598828e-01 0.000000000000000000e+00
2.309155287370631982e+01 3.418052013955465429e-01 0.000000000000000000e+00
2.414757346813144068e+01 3.401707553879303458e-01 0.000000000000000000e+00
2.499376478251154765e+01 3.397973949027304763e-01 0.000000000000000000e+00
2.568901784591218629e+01 3.367446534378955580e-01 0.000000000000000000e+00
2.630809313435678831e+01 3.357523827014535223e-01 0.000000000000000000e+00
2.713917340200455541e+01 3.352848604936461419e-01 0.000000000000000000e+00
2.817388875467852571e+01 3.336856156163511278e-01 0.000000000000000000e+00
2.937543173803470253e+01 3.346003505122351340e-01 0.000000000000000000e+00
3.051852822585924230e+01 3.354041261665686169e-01 0.000000000000000000e+00
3.118304573872652341e+01 3.364672813723172395e-01 0.000000000000000000e+00
3.166717756123250993e+01 3.376729332247024873e-01 0.000000000000000000e+00
3.227191613173025786e+01 3.380528694623309294e-01 0.000000000000000000e+00
3.299223420501026283e+01 3.395422915344758485e-01 0.000000000000000000e+00
3.379099410050905306e+01 3.400213886486433412e-01 0.000000000000000000e+00
3.458965055867896154e+01 3.408266932051132181e-01 0.000000000000000000e+00
3.578576513628369327e+01 3.406662341355438661e-01 0.000000000000000000e+00
3.706216211153657980e+01 3.399307663324471762e-01 0.000000000000000000e+00
3.777458308014425370e+01 3.395634229863586095e-01 0.000000000000000000e+00
3.826507521100441522e+01 3.404165020450239942e-01 0.000000000000000000e+00
3.881398186756482005e+01 3.398804444407281244e-01 0.000000000000000000e+00
3.948492135005179193e+01 3.389064212936093168e-01 0.000000000000000000e+00
