# r	p	err_p
2.529510455655711976e+00 1.432323895638117905e-01 1.182170482648002910e-03
3.103144500000780681e+00 nan nan
3.573306769485404821e+00 2.201988434614994550e-01 1.773810751414590936e-03
4.379614363520927256e+00 2.492218961596605609e-01 8.910553623923912411e-04
5.042554988822569584e+00 2.739492375448689954e-01 1.258625012162787465e-03
5.650741889422828734e+00 2.988335964956960189e-01 8.843385165071407979e-04
6.174846885187857737e+00 2.981434434238811604e-01 1.549714630348651527e-03
6.691984613891833078e+00 3.417650613025855488e-01 6.092326581395416957e-04
7.143904047233657018e+00 3.705951569951074775e-01 1.874309664901419297e-03
7.572161751416730979e+00 3.581695027259210184e-01 6.906517376933288656e-04
7.999119157453596252e+00 3.683279190766711730e-01 8.669570321548138734e-04
8.378299050115039392e+00 3.595399816695752371e-01 8.506669746865918843e-04
8.725984250974075707e+00 3.541531473069435276e-01 9.253530004929692333e-04
9.104385327486509638e+00 3.655981718238527356e-01 4.850700041009417974e-04
9.821588931147749335e+00 3.742894471440359472e-01 5.685329346218279123e-04
1.039425101819342956e+01 3.535807336034850756e-01 5.518986806110083012e-04
1.098571664134379944e+01 3.588400286806095463e-01 3.981103510638381239e-04
1.158350181197845252e+01 3.502299273429596016e-01 5.180331117094966794e-04
1.210403165516921931e+01 3.468692936920709236e-01 5.385307892809657352e-04
1.263401662859944530e+01 3.282104657777444312e-01 4.325898962547777382e-04
1.323074640716457040e+01 3.335908305418427422e-01 3.221836642725682954e-04
1.407052147293467748e+01 3.334945096081856630e-01 4.309499566449258431e-04
1.467870292107949481e+01 3.157755421905154569e-01 3.117865771909205871e-04
1.536453321352234269e+01 3.209605090850987663e-01 3.236335509154037197e-04
1.583097529115851465e+01 3.267323424421810230e-01 5.778627706747310137e-04
1.643848205853581135e+01 3.194107022139597851e-01 2.823866364136005599e-04
1.695263840017313939e+01 3.209551042518054564e-01 3.801931773631912152e-04
1.733459815359960388e+01 3.243124389001553198e-01 4.360853919029030975e-04
1.771462277956618436e+01 3.280624946695961941e-01 3.487049216080297196e-04
1.823186295184548555e+01 3.288035940095038190e-01 3.283003062632325049e-04
1.871113072830994994e+01 3.276733582989871940e-01 3.188204452368634235e-04
1.921962170881979759e+01 3.366284012106978141e-01 2.891964196002455275e-04
1.969214441166104024e+01 3.362655371004391047e-01 3.272843704012424527e-04
2.009916282105923457e+01 3.380573710680967459e-01 3.408511653837385303e-04
2.078934830305795245e+01 3.433091395097618848e-01 2.052750130053237489e-04
2.156702494710480522e+01 3.424900946195121865e-01 2.503105338510876925e-04
2.205840118183801124e+01 3.447943089322198507e-01 2.672334969519331305e-04
2.309155287370631982e+01 3.455921295860147624e-01 1.524301612490654807e-04
2.414757346813144068e+01 3.431810227262990232e-01 1.969887423777736128e-04
2.499376478251154765e+01 3.429284979260414645e-01 1.896988225845339614e-04
2.568901784591218629e+01 3.386597181536593060e-01 1.926831576939813250e-04
2.630809313435678831e+01 3.382058669360238357e-01 2.380001417974229904e-04
2.713917340200455541e+01 3.378428644493960964e-01 1.455649475654554258e-04
2.817388875467852571e+01 3.352792541249275393e-01 1.557368412124388870e-04
2.937543173803470253e+01 3.363909347109674819e-01 1.218375170596681315e-04
3.051852822585924230e+01 3.374058126803305413e-01 1.538737556772929122e-04
3.118304573872652341e+01 3.382385005385241672e-01 1.972044788997514566e-04
3.166717756123250993e+01 3.398078000110433816e-01 1.824938950776211683e-04
3.227191613173025786e+01 3.405824744562546136e-01 1.681247004299934024e-04
3.299223420501026283e+01 3.417153579902386662e-01 1.488919229585599290e-04
3.379099410050905306e+01 3.426538377124373480e-01 1.367878097959441717e-04
3.458965055867896154e+01 3.435949150335739222e-01 1.471076094806259070e-04
3.578576513628369327e+01 3.429180292986109824e-01 9.440626689166933187e-05
3.706216211153657980e+01 3.422262575094718873e-01 1.241844977453556494e-04
3.777458308014425370e+01 3.417468577186151268e-01 1.579083006232638651e-04
3.826507521100441522e+01 3.423424204480103317e-01 1.559791479456392111e-04
3.881398186756482005e+01 3.424871129880572296e-01 1.610303701656692974e-04
3.948492135005179193e+01 3.404614146030824906e-01 1.219761048959721700e-04
