# r	p	err_p
2.513510288998610509e+00 5.191452793706928803e-01 8.186195501686011370e-04
3.561612039195193091e+00 5.086419753086419693e-01 1.173654105899649830e-03
4.357128962287870166e+00 5.073419436938612082e-01 5.891123810478017444e-04
5.011729828446324753e+00 5.037421316106861502e-01 8.373458673006177987e-04
5.629571848456505379e+00 5.014050061949840709e-01 5.881910910322549289e-04
6.612276757244941017e+00 5.062336223897128118e-01 3.772022336562826203e-04
7.677593791768286380e+00 5.060064827885422112e-01 3.640820345840435298e-04
8.340378709683587743e+00 5.080225862358137556e-01 5.785929572239030668e-04
8.978275750681859790e+00 5.099614369122876800e-01 2.945941821370741593e-04
9.756112451549046938e+00 5.088259245944696252e-01 3.916641060580280378e-04
1.034931561889248464e+01 5.087951137891473241e-01 3.707825599708224258e-04
1.093451410015877023e+01 5.087993299072515185e-01 2.701470406774768361e-04
1.154140139836432688e+01 5.088704028021016068e-01 3.493490345676368309e-04
1.201485875338828357e+01 5.099990544629349198e-01 3.751414258985103661e-04
1.254663350266085864e+01 5.083239742363572233e-01 2.882699365364006913e-04
1.315193320254670795e+01 5.095307046691870401e-01 2.142824905325248024e-04
1.396576380395587336e+01 5.066879807626620824e-01 2.865866749455974285e-04
1.454197597648295215e+01 5.085913983525726101e-01 2.159129942247943056e-04
1.533697231104849479e+01 5.084025709970614315e-01 1.807753176230610613e-04
1.652734619176766273e+01 5.072764439407648762e-01 1.460441111369778890e-04
1.748785103220711079e+01 5.102320396128278146e-01 1.802497831124482894e-04
1.838779089444387083e+01 5.083452700916519795e-01 1.492457998719668366e-04
1.911622383126484337e+01 5.114185568642692914e-01 1.932268130431913486e-04
