# r	p	err_p
2.534090693695500107e+00 2.652415476991304977e-01 0.000000000000000000e+00
3.535714610907666700e+00 3.368293666801129294e-01 0.000000000000000000e+00
4.355089805537406988e+00 3.134539461546976269e-01 0.000000000000000000e+00
5.010358244355693991e+00 3.150602723999373911e-01 0.000000000000000000e+00
5.643092319538906665e+00 3.239474967951262996e-01 0.000000000000000000e+00
6.630869797837002366e+00 3.371589331308729731e-01 0.000000000000000000e+00
7.682439629451607743e+00 3.382051222941976354e-01 0.000000000000000000e+00
8.325664824936090724e+00 3.399388887240796242e-01 0.000000000000000000e+00
8.965270922658309161e+00 3.344398590234057278e-01 0.000000000000000000e+00
9.746742396884444659e+00 3.343849301602542234e-01 0.000000000000000000e+00
1.030978402702182528e+01 3.341265838744247874e-01 0.000000000000000000e+00
1.093582733253053441e+01 3.345551796234623176e-01 0.000000000000000000e+00
1.156979833153083881e+01 3.319206256843995617e-01 0.000000000000000000e+00
1.200979724054812792e+01 3.304984339624854606e-01 0.000000000000000000e+00
1.250494732432056466e+01 3.307778982631926490e-01 0.000000000000000000e+00
1.313937732151789994e+01 3.305553936709598184e-01 0.000000000000000000e+00
1.392873947895190234e+01 3.327903014294302797e-01 0.000000000000000000e+00
1.451509891582781187e+01 3.302801963530207496e-01 0.000000000000000000e+00
1.532413269418575652e+01 3.315521480255875231e-01 0.000000000000000000e+00
1.653722678980978245e+01 3.313862897116329198e-01 0.000000000000000000e+00
1.750727943976767875e+01 3.307108787424180019e-01 0.000000000000000000e+00
1.839295632369632827e+01 3.317875002451317057e-01 0.000000000000000000e+00
1.914075055207498721e+01 3.314444127889807912e-01 0.000000000000000000e+00
